"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"virK",2.97768191286487,9.42478522426482,165.377154798398,7.28255945116228e-14,3.20141313473094e-10,3.20141313473094e-10
"yfbE",1.47254307893318,7.73340686088797,116.32557399859,1.78307492563047e-12,2.61702443028368e-09,2.61702443028368e-09
"mig-14",2.10115267359776,9.35962490704855,117.628615571733,1.78595843740925e-12,2.61702443028368e-09,2.61702443028368e-09
"AmgR",1.91446920602984,9.14481272968423,103.404744410379,8.25145969638305e-12,9.06835420632497e-09,9.06835420632497e-09
"yjeH",1.18862321392102,8.55566774567068,90.6582146432832,4.34715135410604e-11,3.82201547053003e-08,3.82201547053003e-08
"SL1344_1602",1.40889330121333,7.95241015907348,84.7966607019444,9.89966869139389e-11,6.34541975732337e-08,6.34541975732337e-08
"phoN",1.44142100378059,7.93864068871995,84.6546512872634,1.01041715880945e-10,6.34541975732337e-08,6.34541975732337e-08
"cdh-a",1.29923620818235,9.38375298354878,81.0040700813862,1.72411379031653e-10,9.47400527778933e-08,9.47400527778933e-08
"SL1344_P1_0061",1.373799183965,8.80460255709695,79.1579465567898,2.27401646378361e-10,1.1107307083103e-07,1.1107307083103e-07
"pmrD",1.59307629439153,8.28742596060215,77.5649860568794,2.89834887370165e-10,1.27411416487925e-07,1.27411416487925e-07
"pagP",1.14252050152046,8.74925815996853,69.0962810920801,1.12033286038416e-09,4.47725750386254e-07,4.47725750386254e-07
"phoP",1.03556772570512,9.31742258178123,68.1757293190805,1.30653746633752e-09,4.78628225168311e-07,4.78628225168311e-07
"pagK",1.72712781768253,6.35236777648423,66.1493410857291,1.84206280326387e-09,6.22900621780615e-07,6.22900621780615e-07
"ais",1.33385676889697,6.49608548157458,64.7879047461921,2.32957868062819e-09,7.31487705717252e-07,7.31487705717252e-07
"pagO",2.28710633531991,5.49546801329334,58.6877365681001,6.95967278825756e-09,2.03964810514535e-06,2.03964810514535e-06
"SL1344_1783",1.4262467260388,6.74138944795525,57.8987956022106,8.06107884947494e-09,2.21478141389324e-06,2.21478141389324e-06
"ybjG",1.23160970112155,6.22403591798718,54.6602048585284,1.4939672052613e-08,3.86322343195804e-06,3.86322343195804e-06
"mdoB",1.1781669595376,9.1011513860628,52.6840420450491,2.20207927916928e-08,5.3779669506823e-06,5.3779669506823e-06
"ydiR",1.44059543759373,6.25553257356817,51.6711142603406,2.69610983002703e-08,6.23794674357833e-06,6.23794674357833e-06
"aroQ",1.96481252359821,5.27845729414469,50.5675549456525,3.37081920117008e-08,7.40906060417183e-06,7.40906060417183e-06
"gst",1.09438883165379,7.95930383776757,48.4952724848113,5.16965510294789e-08,1.08218113488376e-05,1.08218113488376e-05
"phoQ",0.876544141240806,8.49213714817055,48.0129348447902,5.71981515137092e-08,1.14292306388303e-05,1.14292306388303e-05
"yehU",1.04054467838959,6.71560336874028,45.932157816535,8.91180302960894e-08,1.70331678774613e-05,1.70331678774613e-05
"yjdB",1.10695771209729,8.42884826094001,42.3552570072609,1.96559337702638e-07,3.60031186891999e-05,3.60031186891999e-05
"pagN",1.53762780871309,5.87992739343018,42.0942151548554,2.08552504829874e-07,3.66718724492851e-05,3.66718724492851e-05
"yeiU",0.867117411687569,9.41861384499083,41.5131483641186,2.38123290278688e-07,4.02611532332736e-05,4.02611532332736e-05
"steA",1.30890562934516,7.53217488556017,41.3662301358958,2.85500148965704e-07,4.64836538834531e-05,4.64836538834531e-05
"yaiB",1.0794672841665,7.87114879550784,40.320663594518,3.1364733182434e-07,4.92426310964214e-05,4.92426310964214e-05
"mgtA",0.937040340586806,9.13040266013722,38.3277272252678,5.0226074773089e-07,7.61358016215514e-05,7.61358016215514e-05
"yihX",0.857219943090625,7.1280302789873,38.1100241628015,5.29203435618279e-07,7.75459434325984e-05,7.75459434325984e-05
"orgB",1.20523117935837,7.01280178846408,36.1634970026557,8.50695857420911e-07,0.000120634160942656,0.000120634160942656
"pdgL",1.66584397286224,5.45197334427245,35.3751906127608,1.03507826729722e-06,0.000142193876969955,0.000142193876969955
"pmrF",1.14349459122328,6.34743990759045,35.1339948785938,1.0996246172048e-06,0.000146483327794918,0.000146483327794918
"arnT",1.11400935505286,6.58453536150896,32.0485862507611,2.43268927046215e-06,0.000314532412733871,0.000314532412733871
"yfbG",1.11063364610062,6.72866119458555,30.3148437329543,3.86732143902961e-06,0.000485735572742118,0.000485735572742118
"rna",0.938807640222228,7.13061319156623,29.7545702638159,4.50508435162825e-06,0.000550120855826605,0.000550120855826605
"yeiG",0.747717871061795,7.06287062552435,28.9624399565609,5.60395320423326e-06,0.000665810223940795,0.000665810223940795
"pagC",1.96364895784136,6.17774263324595,30.8846126614777,7.06408612460672e-06,0.00081720322641503,0.00081720322641503
"yejG",0.834869913452228,7.13349653144075,26.7422886193034,1.04981490683942e-05,0.00116777619306293,0.00116777619306293
"SL1344_3560",0.774027728234615,6.86183337680319,26.7003718184399,1.06258070342395e-05,0.00116777619306293,0.00116777619306293
"SL1344_1872",0.928875217964768,7.08111342259975,26.2400481387929,1.21413002300381e-05,0.00130178428807921,0.00130178428807921
"rlgA",0.697057691649794,8.24570461426449,24.6128941600563,1.96259162396055e-05,0.00205417923307871,0.00205417923307871
"basS",0.858068525581399,7.3548287540776,24.5030735553953,2.02829507733708e-05,0.00207357794417995,0.00207357794417995
"yihR",1.19366769673336,5.1233565169388,24.2556236381823,2.18505175617202e-05,0.00218306534548459,0.00218306534548459
"SL1344_1786",1.04920920349415,6.42669297274673,24.0635168216523,2.31560395575689e-05,0.00221656679020405,0.00221656679020405
"iolR",0.827169714576696,7.27701702133775,24.0580639219732,2.31942839739277e-05,0.00221656679020405,0.00221656679020405
"rumA",0.656662158077272,7.95319144559636,23.4124895311231,2.82326113092532e-05,0.00264065019820164,0.00264065019820164
"citT",0.93267690138069,6.67062550400766,21.9625457838511,4.42961182574078e-05,0.00390116813301793,0.00390116813301793
"SL1344_1768",0.716842602377539,7.50395597769123,21.9571277170293,4.43717940516143e-05,0.00390116813301793,0.00390116813301793
"phnO",1.30731738977007,5.36857249254401,21.9815813939038,4.40313271624858e-05,0.00390116813301793,0.00390116813301793
"sodCa",1.15031735949991,5.74483534031849,21.5221493379426,5.09190975555741e-05,0.00438902652655497,0.00438902652655497
"lpxO",0.973195813470661,6.40290728569972,21.0158085031198,5.98567155011281e-05,0.00506019464121075,0.00506019464121075
"yjbA",0.909367051369491,5.85542231205624,20.6013002491125,6.84132251057417e-05,0.00567442523707246,0.00567442523707246
"pipB2",1.10351414761067,6.27780013424758,20.0035774063744,8.31149732708952e-05,0.00676617449071954,0.00676617449071954
"SL1344_0213",0.714298792891923,7.05531370262936,19.2280278218505,0.00010738213874594,0.00858276148958459,0.00858276148958459
"SL1344_0836",0.906217831787035,5.80701791629615,19.051508054757,0.00011389546299291,0.00894079384494343,0.00894079384494343
"yfcG",1.01689262524717,6.13947963615967,18.8206435762009,0.000123054734770055,0.00949032656226599,0.00949032656226599
"yehT",1.35547983309269,5.10159607915181,18.561494599446,0.00013427720602226,0.0100047897910823,0.0100047897910823
"rlgA2",0.66137289532311,7.18253585737046,18.5887977937647,0.00013304512697555,0.0100047897910823,0.0100047897910823
"ycaM",1.14753888697378,6.03591514253975,17.5875985380764,0.000187219492555913,0.0137169481545966,0.0137169481545966
"yicL",0.746260349844616,6.73369377063618,17.4926170001057,0.000193461048946002,0.0139418814945349,0.0139418814945349
"udg",0.927225352098743,6.22859649906152,17.4357606514408,0.000197302868600227,0.0139894098446226,0.0139894098446226
"gogB",0.934778205461441,5.65631185806702,17.2160337435829,0.000212930329088453,0.0148578051852832,0.0148578051852832
"orgC",0.753209999042856,7.35085389501873,16.2547222415007,0.000298536213485594,0.0205057061637918,0.0205057061637918
"gpO",1.40314170454793,4.04804570179902,15.8350687568217,0.000346797750313014,0.0234541986211694,0.0234541986211694
"lrhA",0.579072954263809,6.59367900960084,15.6281985030472,0.000373585863535155,0.02488308266819,0.02488308266819
"SL1344_4471",0.788102777848397,5.89177410041829,14.02580579196,0.000673178802163235,0.044168567377755,0.044168567377755
"slyB",0.757418821905735,10.1818154838233,13.6519224459198,0.000841558684567499,0.0536158257588221,0.0536158257588221
"SL1344_2269",0.842340226788879,5.58920832778212,13.4610650126984,0.000833044831949486,0.0536158257588221,0.0536158257588221
"rstA",0.539231669741317,9.63344709334489,13.1315727143492,0.00094464417322133,0.0593236540782995,0.0593236540782995
"SL1344_0082",0.902005335105718,6.54236178248361,12.9972631242793,0.000994617999043866,0.0615822637154484,0.0615822637154484
"SL1344_2549",1.16580790111138,4.15835293829119,12.8944391406142,0.00103478054031479,0.0631791007669975,0.0631791007669975
"basR",1.00904658276982,6.28956520473812,13.1984020595405,0.00105343774248639,0.0634371550132898,0.0634371550132898
"yijP",0.560081867765518,7.90530214368016,12.5088528102243,0.00120150702768625,0.0704243319161169,0.0704243319161169
"PinT",1.4539848216304,5.65611561919049,13.2142741974757,0.0012012292985375,0.0704243319161169,0.0704243319161169
"SL1344_P2_0047",1.54543162410532,4.37848315335088,12.4140716974099,0.00124673508706359,0.0721137821412046,0.0721137821412046
"yfiA",-0.685511822254744,7.81258083500768,12.230216768306,0.00133973226828561,0.0764865331348514,0.0764865331348514
"ccmF1",1.76429935961087,4.32934669338076,11.3537647967771,0.00189711521669115,0.106919467853517,0.106919467853517
"sbmA",0.681557687419006,6.01594910307694,11.111527832355,0.00209165874782946,0.116391542474156,0.116391542474156
"ybjX",0.413846894025077,9.33925728600575,11.0750572133457,0.00212274994412269,0.116645109429542,0.116645109429542
"phoR",0.495335021857617,6.24009821890017,10.8121925942272,0.00236199885491837,0.12818946871878,0.12818946871878
"SL1344_1795",1.08951652298669,4.77616913069028,10.6310828159405,0.00254353001957708,0.136358023976352,0.136358023976352
"yiiD",0.479190207120143,6.42801030416963,10.4344160245099,0.00275769157296073,0.146057977767896,0.146057977767896
"dacD",0.65930858058146,5.74926946767399,10.385533701324,0.00281386390093249,0.147258877482134,0.147258877482134
