"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"acpP",-2.24117283251056,11.781831588581,221.443436883313,2.17666501167279e-16,9.56861939131358e-13,9.56861939131358e-13
"virK",1.75761310641352,9.42478522426482,58.8146662957141,1.3170868465777e-08,2.89495688877778e-05,2.89495688877778e-05
"fabF",-1.15550295117296,10.0321515278824,50.4027517573513,3.48604413626245e-08,5.10821667433657e-05,5.10821667433657e-05
"mig-14",1.34660077098859,9.35962490704855,48.9031042394827,5.06249406913274e-08,5.56368098197688e-05,5.56368098197688e-05
"yfiA",1.09046140633885,7.81258083500768,37.855492960353,5.62660034736921e-07,0.000494690702540701,0.000494690702540701
"pagO",1.81768633020855,5.49546801329334,33.7629280890742,1.55753460141673e-06,0.00114115368463799,0.00114115368463799
"pagN",1.3332785134385,5.87992739343018,30.5556414735875,3.62332147391931e-06,0.00199101514991866,0.00199101514991866
"argC",0.945164694208591,6.80661421001945,30.5939296658004,3.58605375986929e-06,0.00199101514991866,0.00199101514991866
"SL1344_0066A",2.8265459971646,5.29599841963943,29.4835635706918,4.85279108166269e-06,0.00237031884388769,0.00237031884388769
"SL1344_2742",1.75276977284502,6.83457216316354,27.7276075276198,1.02285905569149e-05,0.00449648840881981,0.00449648840881981
"SL1344_1602",0.783177377814766,7.95241015907348,25.2617250313174,1.61779760784808e-05,0.00592653190341679,0.00592653190341679
"cdh-a",0.727126664008412,9.38375298354878,25.4017505958329,1.5521958310047e-05,0.00592653190341679,0.00592653190341679
"SL1344_P1_0061",0.773107499079348,8.80460255709695,24.883092172871,1.81036840343788e-05,0.00612183038577918,0.00612183038577918
"phoN",0.775721684049855,7.93864068871995,23.5288686974074,2.72448440471042e-05,0.00855488103079073,0.00855488103079073
"ccmE2",2.72541690086406,5.25023484838837,23.0728407249459,3.30915747717249e-05,0.00855709192332369,0.00855709192332369
"rluD",0.671433173470844,9.3374689576172,23.0804248735584,3.12658759839163e-05,0.00855709192332369,0.00855709192332369
"AmgR",0.910200191117412,9.14481272968423,23.0146141491355,3.19071116840732e-05,0.00855709192332369,0.00855709192332369
"pmgI",-0.811457169494889,6.82370737285034,22.6861076209378,3.53236310694881e-05,0.00862681567674831,0.00862681567674831
"pagP",0.624058685122446,8.74925815996853,20.4084027117427,7.28299668298955e-05,0.0168505544307485,0.0168505544307485
"phoQ",0.568644051556667,8.49213714817055,19.9933898062482,8.33929114915534e-05,0.0183297619458434,0.0183297619458434
"yfbE",0.621416816769208,7.73340686088797,19.6214133727148,9.42490265036251e-05,0.0197294628814255,0.0197294628814255
"yohJ",2.38475866103224,9.61820121088479,20.722205151645,0.000176273771019694,0.0334236590928589,0.0334236590928589
"yeiU",0.568231999263595,9.41861384499083,17.7980039665986,0.000174143089158205,0.0334236590928589,0.0334236590928589
"upp",-0.481012064134926,8.97455487092243,17.543657528713,0.000190079953894784,0.0334236590928589,0.0334236590928589
"orgB",0.856774271330672,7.01280178846408,17.546209126982,0.000189912585663418,0.0334236590928589,0.0334236590928589
"dps",-1.27761843778138,7.08496155100365,18.5115240834556,0.000229122158684939,0.0353608512484072,0.0353608512484072
"pagK",0.925280168146674,6.35236777648423,16.9894660292527,0.000230431473333396,0.0353608512484072,0.0353608512484072
"hisD",-0.635240063181283,7.17047359046316,16.954423523781,0.000233272221611422,0.0353608512484072,0.0353608512484072
"mgtA",0.631113069614702,9.13040266013722,17.2137770028095,0.000213097504123966,0.0353608512484072,0.0353608512484072
"yigI",2.24126308172734,6.5050991535418,18.7008855793968,0.000254544182571021,0.0372992075527403,0.0372992075527403
"rna",0.706327560272102,7.13061319156623,16.428284479819,0.000280713733748435,0.0385630491736912,0.0385630491736912
"SL1344_1783",0.788939974726227,6.74138944795525,16.4632239687505,0.000277264826632521,0.0385630491736912,0.0385630491736912
