"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"virK",2.33330440784275,9.42478522426482,103.335882634228,2.54735401468258e-11,1.11981682485446e-07,1.11981682485446e-07
"mig-14",1.61959598590056,9.35962490704855,70.5569723205228,9.67087174088854e-10,2.1256576086473e-06,2.1256576086473e-06
"SL1344_1602",1.05843486614561,7.95241015907348,46.8716883886336,7.28406499316074e-08,8.00518742748365e-05,8.00518742748365e-05
"yfbE",0.957712082782407,7.73340686088797,47.6834696543356,6.13106652637164e-08,8.00518742748365e-05,8.00518742748365e-05
"cdh-a",0.965368455195185,9.38375298354878,44.7750903211762,1.14634554072912e-07,0.000100786699940904,0.000100786699940904
"SL1344_P1_0061",1.02455197233376,8.80460255709695,43.863989085463,1.40151847401084e-07,0.000102684586862528,0.000102684586862528
"phoN",1.03736763474899,7.93864068871995,42.7437693762761,1.80044755069693e-07,0.000113068106183767,0.000113068106183767
"AmgR",1.2113330780556,9.14481272968423,41.1058583054359,2.61482031720523e-07,0.000143684376430427,0.000143684376430427
"phoP",0.793376440915462,9.31742258178123,39.9767390762153,3.3987465289415e-07,0.000166009886013632,0.000166009886013632
"pagO",1.93800200076133,5.49546801329334,39.1164625584409,4.16202774225268e-07,0.000182962739549428,0.000182962739549428
"pmrD",1.1172803297132,8.28742596060215,37.6192754364804,5.95720191895114e-07,0.00023807145123372,0.00023807145123372
"pagN",1.42049523137178,5.87992739343018,35.0210866447023,1.13129439833062e-06,0.000398891247588726,0.000398891247588726
"yjeH",0.741962272607733,8.55566774567068,34.8551192603662,1.17961469942071e-06,0.000398891247588726,0.000398891247588726
"phoQ",0.726279218638315,8.49213714817055,32.7339881431138,2.03252226396013e-06,0.000638211990883481,0.000638211990883481
"aroQ",1.62473402937471,5.27845729414469,32.3889209601684,2.22445695646136e-06,0.000651914185373611,0.000651914185373611
"mgtA",0.836585488328465,9.13040266013722,30.3910095039137,3.7883106647379e-06,0.00104083835513674,0.00104083835513674
"pagP",0.735403839131898,8.74925815996853,28.3819627782237,6.58822999614264e-06,0.0017036387684143,0.0017036387684143
"mdoB",0.85895553773467,9.1011513860628,27.9401296236529,7.45981232931744e-06,0.00182185194442664,0.00182185194442664
"pdgL",1.49688989369873,5.45197334427245,27.4609139814063,8.5451494950942e-06,0.00197707774633864,0.00197707774633864
