"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"acpP",-2.35038772223437,11.781831588581,241.808842301217,5.92718754625559e-17,2.60559164533396e-13,2.60559164533396e-13
"SL1344_0066A",4.76238989962145,5.29599841963943,130.388261962344,3.88868567663286e-13,5.69822074482602e-10,5.69822074482602e-10
"SL1344_2742",3.53976695338415,6.83457216316354,146.482895666976,3.09946988249292e-13,5.69822074482602e-10,5.69822074482602e-10
"mgtA",1.70024944678342,9.13040266013722,126.821107882472,5.64923992231332e-13,6.20851467462234e-10,6.20851467462234e-10
"hfq",-1.30893526685047,10.4141478524746,92.702483602616,3.29272988123643e-11,2.89496811158307e-08,2.89496811158307e-08
"SL1344_1472",3.12071231457493,5.86588575954836,91.3406336142301,5.79736243539717e-11,3.71007359707958e-08,3.71007359707958e-08
"deoA",2.90801118358277,7.93225959957771,110.745607124431,5.90776050490378e-11,3.71007359707958e-08,3.71007359707958e-08
"ccmE2",4.42293656044139,5.25023484838837,89.1425165011437,6.88673924400551e-11,3.78426321458103e-08,3.78426321458103e-08
"recJ",1.71903181562739,8.34086013749965,84.0850528622897,1.16757740317283e-10,5.70296696038638e-08,5.70296696038638e-08
"yfiA",1.58244512518002,7.81258083500768,82.1981048142237,1.44493031207093e-10,6.18628171947265e-08,6.18628171947265e-08
"SL1344_3487",3.5344065591457,6.33268731552519,97.328051953569,1.54797768230662e-10,6.18628171947265e-08,6.18628171947265e-08
"yihO",3.47183815235921,7.56876972314074,108.097458352137,1.97654175810031e-10,7.24073130717412e-08,7.24073130717412e-08
"nirB",2.48631646966085,6.49960474437668,83.3633525991187,2.57852749466514e-10,8.71938989734459e-08,8.71938989734459e-08
"tdcE",3.09085750879992,7.2997291094938,96.5674423773221,3.52517184359229e-10,1.06882313538459e-07,1.06882313538459e-07
"ccmE1",4.32784086282446,5.48014019792305,83.9284010222152,3.6470307167354e-10,1.06882313538459e-07,1.06882313538459e-07
"iolC",3.42108945746048,6.46387523508066,89.2760534999367,4.31647860097233e-10,1.18595249561715e-07,1.18595249561715e-07
"dcoB",3.60909395178637,4.80442065432832,73.8866514378903,5.14527682452349e-10,1.33050805415325e-07,1.33050805415325e-07
"SL1344_0971",2.78646950395487,6.08323925088881,75.9315696471293,7.41947443604299e-10,1.81200053449139e-07,1.81200053449139e-07
"gnd",-1.4460249249723,7.970329662183,70.4978707265906,8.88872836830728e-10,2.05657104774099e-07,2.05657104774099e-07
"iroC",1.86019696609379,7.25450086365955,72.2061167552614,1.04853012417843e-09,2.30466921294419e-07,2.30466921294419e-07
"phrB",2.02828545940551,7.04668816197354,73.0426400552306,1.14582634576364e-09,2.37488561027114e-07,2.37488561027114e-07
"lysA",1.75393370824432,6.91201346985254,68.7415274805864,1.18852328084543e-09,2.37488561027114e-07,2.37488561027114e-07
"sseG",2.77428658619359,5.70893077807774,67.757200630523,1.68059431993053e-09,2.71249706463477e-07,2.71249706463477e-07
"fliN",2.59259871387557,7.58126790213412,82.4021093038499,1.66440972921338e-09,2.71249706463477e-07,2.71249706463477e-07
"yraM",1.81570925900209,8.61065138905713,72.1519622299292,1.5937039856324e-09,2.71249706463477e-07,2.71249706463477e-07
"yidH",2.94461085734351,7.20184819911761,84.0074732710747,1.68587770894598e-09,2.71249706463477e-07,2.71249706463477e-07
"nrfC",3.3249542884801,5.47466541450989,70.5584911408881,1.43756885820503e-09,2.71249706463477e-07,2.71249706463477e-07
"pefC",3.34001309948016,7.41816238565938,89.0742126686822,1.72770513671004e-09,2.71249706463477e-07,2.71249706463477e-07
"SL1344_2680",4.83192479010194,4.47805925203754,66.312863475321,1.79123241892753e-09,2.7152612805536e-07,2.7152612805536e-07
"SL1344_0082",1.878855050283,6.54236178248361,65.6413055722046,2.00997193820468e-09,2.91688402936342e-07,2.91688402936342e-07
"SL1344_2692",5.43356070063085,4.81140773262763,67.2033026897957,2.05694733644827e-09,2.91688402936342e-07,2.91688402936342e-07
"SL1344_4149",2.923504489426,7.00487886624581,79.0614075757972,3.04215003725247e-09,4.17915361367558e-07,4.17915361367558e-07
