"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"mgtA",1.77935919043892,9.13040266013722,138.440270335533,1.72347736996887e-13,7.57640651838317e-10,7.57640651838317e-10
"SL1344_0066A",4.5812707950052,5.29599841963943,115.981596475309,1.85404554076864e-12,4.07519209860946e-09,4.07519209860946e-09
"SL1344_2742",3.20281126843904,6.83457216316354,115.477029896208,6.10270920238277e-12,8.94250321789156e-09,8.94250321789156e-09
"yfiA",1.52550193943079,7.81258083500768,75.928668582045,3.73235812317173e-10,4.10186157736573e-07,4.10186157736573e-07
"yihO",3.307544257604,7.56876972314074,97.2597977299611,5.63387036149757e-10,4.95329882182866e-07,4.95329882182866e-07
"speA",-1.33845971145451,9.37822956184849,68.176709129924,1.30632268428448e-09,7.17824315014324e-07,7.17824315014324e-07
"iolC",3.2816460392056,6.46387523508066,80.4080007630749,1.28410675345385e-09,7.17824315014324e-07,7.17824315014324e-07
"deoA",2.55247137882915,7.93225959957771,84.4657154111691,1.01142494921853e-09,7.17824315014324e-07,7.17824315014324e-07
"dksA",-1.47742179625952,10.8349195730655,66.4132939582829,1.76075239682992e-09,8.60029726273812e-07,8.60029726273812e-07
"SL1344_0971",2.64185131733633,6.08323925088881,66.6305126637056,3.11006454755493e-09,8.75898151764759e-07,8.75898151764759e-07
"ccmE2",3.96911874319116,5.25023484838837,65.3948150000296,2.5283034760536e-09,8.75898151764759e-07,8.75898151764759e-07
"napC",4.41679538005937,4.96914552297821,65.1019048843846,2.90901833316657e-09,8.75898151764759e-07,8.75898151764759e-07
"recJ",1.50613802991783,8.34086013749965,64.2206831540877,2.6979124086268e-09,8.75898151764759e-07,8.75898151764759e-07
"tdcE",2.79524097801775,7.2997291094938,77.4612166478676,3.18798235401186e-09,8.75898151764759e-07,8.75898151764759e-07
"SL1344_3487",3.15109450807007,6.33268731552519,73.8111987383249,2.82355761820087e-09,8.75898151764759e-07,8.75898151764759e-07
"ccmE1",4.04962879935906,5.48014019792305,69.7573202934522,2.70691790363902e-09,8.75898151764759e-07,8.75898151764759e-07
"hutU",3.97533382095252,6.60222744714734,75.8664220049503,8.24470007668651e-09,2.13198244335964e-06,2.13198244335964e-06
"nirB",2.15577323429931,6.49960474437668,60.213583909403,9.08710824965912e-09,2.21927377030564e-06,2.21927377030564e-06
"yddG",4.13433243393996,8.87581986348446,80.5401743521864,1.06490710550422e-08,2.36371595391289e-06,2.36371595391289e-06
"cpsG",3.78122528406796,4.70191338746838,56.3709880883847,1.07539397357274e-08,2.36371595391289e-06,2.36371595391289e-06
"dcoB",3.25796501454336,4.80442065432832,55.9095452866973,1.17436155480278e-08,2.45833018805381e-06,2.45833018805381e-06
"virK",1.75276055823621,9.42478522426482,58.6227543434392,1.36175015035962e-08,2.72102439135494e-06,2.72102439135494e-06
"barA",3.38123879023155,9.72462559200116,74.3922446704865,1.66091776439942e-08,3.17451934447819e-06,3.17451934447819e-06
"cbiJ",3.8558931970808,6.69742496928511,70.2705515312257,1.86559424863968e-08,3.40447012332299e-06,3.40447012332299e-06
"yohJ",4.6598447518896,9.61820121088479,76.9169703701166,1.93611813200807e-08,3.40447012332299e-06,3.40447012332299e-06
"ybbY",2.34875366212811,5.42953630925521,52.4254911660266,2.3183003123629e-08,3.83735686424542e-06,3.83735686424542e-06
