"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"AmgR",3.71670444591165,9.14481272968423,361.821821457385,1.30312053325622e-19,5.72851786419434e-16,5.72851786419434e-16
"cigR",3.45969038847387,6.96745880329746,336.222050167832,4.04207955313234e-19,8.88449085778488e-16,8.88449085778488e-16
"mgtA",2.71987441063445,9.13040266013722,311.943524402184,1.27483835177029e-18,1.86806313146073e-15,1.86806313146073e-15
"phoN",2.4777511197755,7.93864068871995,252.24623882129,3.15766488994479e-17,3.47027371404932e-14,3.47027371404932e-14
"virK",4.01418192940464,9.42478522426482,284.44201395631,4.99975383066792e-17,4.39578356792324e-14,4.39578356792324e-14
"SL1344_4388",2.45619090837358,7.75431107805955,211.196531181793,4.35934249133496e-16,3.19394493198474e-13,3.19394493198474e-13
"SL1344_1602",2.13911270169013,7.95241015907348,196.615293977876,1.23382602265486e-15,7.74842742227252e-13,7.74842742227252e-13
"yjeH",1.73444819948166,8.55566774567068,191.704762933815,1.77793864091348e-15,9.76977283181958e-13,9.76977283181958e-13
"mig-14",2.62194044386101,9.35962490704855,178.878366539636,5.88604410977197e-15,2.87500554517306e-12,2.87500554517306e-12
"yehU",1.93051396941171,6.71560336874028,168.028354778861,1.1674323194178e-14,5.13203247616066e-12,5.13203247616066e-12
"pagO",3.50971558777284,5.49546801329334,162.074316937135,1.94076282563508e-14,7.75599398317439e-12,7.75599398317439e-12
"yicL",2.15103402436991,6.73369377063618,159.979687324543,2.32937453498782e-14,8.5332753798387e-12,8.5332753798387e-12
"pmrD",2.27864358256058,8.28742596060215,157.275869527682,2.95695954373918e-14,9.99907242636727e-12,9.99907242636727e-12
"pagK",2.55440385099399,6.35236777648423,153.010537820057,4.33837749962857e-14,1.36225053488337e-11,1.36225053488337e-11
"cdh-a",1.73450763156109,9.38375298354878,142.33560169171,1.17863651624312e-13,3.45419075026985e-11,3.45419075026985e-11
"pagP",1.63799698006359,8.74925815996853,140.794790362749,1.36839717300496e-13,3.75967123283112e-11,3.75967123283112e-11
"SL1344_P1_0061",1.82743186517412,8.80460255709695,138.536810856915,1.70714475885345e-13,4.41447550583517e-11,4.41447550583517e-11
"yfbE",1.60009980872833,7.73340686088797,136.323768278802,2.12645647514107e-13,5.19327925817786e-11,5.19327925817786e-11
