"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PmrAB",17,"Up",1.18117919333686e-10,1.57096832713802e-08,5.26617078555522e-12,2.33466904826281e-10,"PmrAB"
"PhoPQ",15,"Up",2.57856713632345e-09,1.71474714565509e-07,1.46511413605951e-08,4.87150450239787e-07,"PhoPQ"
"path:sey01503",36,"Up",2.45049794528009e-05,0.00108638742240751,1.94757307425111e-13,1.34742918371752e-11,"Cationic antimicrobial peptide (CAMP) resistance"
"CpxR",31,"Up",0.000744450647236298,0.0247529840206069,0.0114894897977151,0.117546318699701,"CpxR"
"path:sey02020",176,"Up",0.00452292081217899,0.120309693603961,2.35653404886606e-07,5.22365047498642e-06,"Two-component system"
"path:sey00540",40,"Up",0.02151897055665,0.464027869194662,3.0949946784394e-08,8.23268584464881e-07,"Lipopolysaccharide biosynthesis"
"path:sey00550",26,"Up",0.024422519431298,0.464027869194662,2.07120995185678e-05,0.00034433865449619,"Peptidoglycan biosynthesis"
"path:sey03430",25,"Down",0.0371727909071259,0.487991181585339,0.802366861242585,1,"Mismatch repair"
"path:sey00740",12,"Up",0.0379625281275171,0.487991181585339,1.62932260397244e-05,0.000309571294754764,"Riboflavin metabolism"
"path:sey00860",31,"Down",0.0387826214340882,0.487991181585339,0.1709221781409,0.841949988619987,"Porphyrin and chlorophyll metabolism"
"SlyA",8,"Up",0.0442652256231128,0.487991181585339,0.111017737226849,0.670968149877643,"SlyA"
"path:sey01502",8,"Up",0.0480970614168005,0.487991181585339,0.0545700911650946,0.403212340275421,"Vancomycin resistance"
"path:sey03410",14,"Down",0.0511758324049504,0.487991181585339,0.437338242635741,1,"Base excision repair"
"path:sey00261",8,"Up",0.0527710702617482,0.487991181585339,0.999282726772564,1,"Monobactam biosynthesis"
"path:sey03030",19,"Down",0.0550365994269179,0.487991181585339,0.781673347480295,1,"DNA replication"
"path:sey00520",48,"Up",0.0706620549105487,0.53990333234281,2.02620929882334e-13,1.34742918371752e-11,"Amino sugar and nucleotide sugar metabolism"
"path:sey01212",20,"Down",0.0847643838944587,0.53990333234281,0.420009433197833,1,"Fatty acid metabolism"
"path:sey00440",3,"Up",0.0888612167152967,0.53990333234281,0.664206101609049,1,"Phosphonate and phosphinate metabolism"
"path:sey00903",2,"Down",0.0895126435538884,0.53990333234281,1,1,"Limonene and pinene degradation"
"path:sey00930",2,"Down",0.0895126435538884,0.53990333234281,1,1,"Caprolactam degradation"
"path:sey00564",27,"Up",0.0901034029643353,0.53990333234281,4.18660739775165e-05,0.000556818783900969,"Glycerophospholipid metabolism"
"path:sey00250",33,"Down",0.0958584559824486,0.53990333234281,0.93981533496497,1,"Alanine, aspartate and glutamate metabolism"
"path:sey00480",24,"Up",0.0965420296595308,0.53990333234281,0.000184881769120379,0.00204910627441753,"Glutathione metabolism"
"path:sey00410",9,"Down",0.0974261652347927,0.53990333234281,0.629378029848246,1,"beta-Alanine metabolism"
"path:sey00620",59,"Down",0.10741947133969,0.541660930531334,0.446356527602339,1,"Pyruvate metabolism"
"path:sey00785",3,"Down",0.108771495991845,0.541660930531334,1,1,"Lipoic acid metabolism"
"path:sey00030",36,"Down",0.109961241536436,0.541660930531334,0.83976394990914,1,"Pentose phosphate pathway"
"path:sey00220",17,"Down",0.117429305531342,0.557789201273873,0.756630905668251,1,"Arginine biosynthesis"
"path:sey00627",4,"Up",0.142989451267768,0.604788025124167,1,1,"Aminobenzoate degradation"
"path:sey00401",4,"Down",0.147447933960561,0.604788025124167,1,1,"Novobiocin biosynthesis"
"path:sey01220",10,"Up",0.149279264274209,0.604788025124167,0.847960924695556,1,"Degradation of aromatic compounds"
