"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PmrAB",17,"Up",4.97889732537298e-06,0.000662193344274606,5.28330259092665e-07,7.02679244593245e-05,"PmrAB"
"PhoPQ",15,"Up",6.83199855342565e-05,0.00344236599825116,1.19675065022622e-05,0.000530559454933625,"PhoPQ"
"path:sey03430",25,"Down",7.76473533440112e-05,0.00344236599825116,0.0685921820399627,0.304092007043835,"Mismatch repair"
"path:sey02020",176,"Up",0.00752682979732862,0.250267090761177,0.00334295593390466,0.044461313920932,"Two-component system"
"path:sey01503",36,"Up",0.00949372554891904,0.252533099601247,5.83882771998818e-06,0.000388282043379214,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey02060",39,"Up",0.0141016080006453,0.262273238155533,0.0113573341114574,0.113103781370703,"Phosphotransferase system (PTS)"
"path:sey00250",33,"Down",0.0154570021606192,0.262273238155533,0.32993987875449,0.725745627765958,"Alanine, aspartate and glutamate metabolism"
"path:sey00260",36,"Down",0.015775833874017,0.262273238155533,0.00770662788935667,0.0854151257737031,"Glycine, serine and threonine metabolism"
"path:sey00440",3,"Up",0.0195690127608206,0.289186521909905,1,1,"Phosphonate and phosphinate metabolism"
"path:sey03440",29,"Down",0.0237497137782366,0.315871193250547,0.346111419079736,0.728014192991855,"Homologous recombination"
"path:sey03030",19,"Down",0.0395947551527429,0.455034674612663,0.56134294942877,0.951528350500616,"DNA replication"
"path:sey00053",15,"Up",0.0454439870633602,0.455034674612663,0.165545097234599,0.478641259395688,"Ascorbate and aldarate metabolism"
"path:sey00520",48,"Up",0.0532358318036342,0.455034674612663,0.000551865055483209,0.0183495130948167,"Amino sugar and nucleotide sugar metabolism"
"path:sey00270",35,"Down",0.0611487403146881,0.455034674612663,0.428361866976602,0.825683018954899,"Cysteine and methionine metabolism"
"path:sey00061",13,"Down",0.0730433716866639,0.455034674612663,0.0189217007551491,0.132451905286044,"Fatty acid biosynthesis"
"path:sey00903",2,"Up",0.0738734990289909,0.455034674612663,1,1,"Limonene and pinene degradation"
"path:sey00930",2,"Up",0.0738734990289909,0.455034674612663,1,1,"Caprolactam degradation"
"path:sey00633",8,"Up",0.0809721127866745,0.455034674612663,0.795848204571743,1,"Nitrotoluene degradation"
"path:sey00592",3,"Up",0.0815574593858466,0.455034674612663,1,1,"alpha-Linolenic acid metabolism"
"path:sey00220",17,"Up",0.0832875803573688,0.455034674612663,0.012296645907411,0.113103781370703,"Arginine biosynthesis"
"path:sey04122",17,"Down",0.0857910841752263,0.455034674612663,0.676112783929249,0.977439309447408,"Sulfur relay system"
"path:sey01210",29,"Up",0.0870671293264925,0.455034674612663,0.0733576526892523,0.314727993795824,"2-Oxocarboxylic acid metabolism"
"path:sey00627",4,"Up",0.0894732636866427,0.455034674612663,1,1,"Aminobenzoate degradation"
"path:sey00790",24,"Down",0.0912958668394924,0.455034674612663,0.179886040100791,0.509039219859686,"Folate biosynthesis"
"path:sey01220",10,"Up",0.0920228315639114,0.455034674612663,0.607872781893003,0.974061204720114,"Degradation of aromatic compounds"
"path:sey05132",33,"Up",0.0920678769027963,0.455034674612663,0.275273858090664,0.631231433207902,"Salmonella infection"
"path:sey00052",28,"Up",0.0973972122719913,0.455034674612663,0.254453686804892,0.602156002998287,"Galactose metabolism"
"path:sey00281",5,"Up",0.101927879784937,0.455034674612663,0.72930429836335,0.989770119207403,"Geraniol degradation"
"path:sey00640",35,"Up",0.105081087478994,0.455034674612663,0.123432033109536,0.394956592743525,"Propanoate metabolism"
