"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PmrAB",17,"Up",4.49051388029027e-08,5.97238346078606e-06,1.05236176975752e-09,1.3996411537775e-07,"PmrAB"
"PhoPQ",15,"Up",3.72479508407967e-07,2.47698873091298e-05,4.17840132867663e-07,1.85242458904664e-05,"PhoPQ"
"path:sey01503",36,"Up",0.000522144253435735,0.0231483952356509,2.68967140794565e-09,1.78863148628386e-07,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey02020",176,"Up",0.00102924425564334,0.0342223715001412,0.0026985301191515,0.0512720722638786,"Two-component system"
"path:sey03430",25,"Down",0.00220297221922423,0.0585990610313646,0.393533663583185,1,"Mismatch repair"
"path:sey03030",19,"Down",0.00342082008305071,0.0758281785076241,0.338421194620644,1,"DNA replication"
"path:sey03440",29,"Down",0.0138358580081286,0.248440848529307,0.171317796609645,1,"Homologous recombination"
"path:sey00633",8,"Up",0.0149438104378531,0.248440848529307,0.921594925924324,1,"Nitrotoluene degradation"
"path:sey00480",24,"Up",0.0190990282669911,0.260502487858097,0.0791139078718488,0.715946376383097,"Glutathione metabolism"
"path:sey00440",3,"Up",0.0195866532224133,0.260502487858097,0.726083274242673,1,"Phosphonate and phosphinate metabolism"
"path:sey00640",35,"Up",0.0580862640542924,0.70231573811099,0.652584343819298,1,"Propanoate metabolism"
"path:sey00521",10,"Down",0.0777787835336731,0.776106843141441,0.40882013037468,1,"Streptomycin biosynthesis"
"path:sey00472",2,"Up",0.0807679753078976,0.776106843141441,1,1,"D-Arginine and D-ornithine metabolism"
"CpxR",31,"Up",0.0816954571727832,0.776106843141441,0.0625094393515969,0.692812952813533,"CpxR"
"path:sey00360",7,"Down",0.0941823840881404,0.801357189576523,0.995026672775127,1,"Phenylalanine metabolism"
"path:sey00540",40,"Up",0.106217704678301,0.801357189576523,0.00016543558210076,0.00550073310485028,"Lipopolysaccharide biosynthesis"
"path:sey00261",8,"Up",0.111839809055027,0.801357189576523,0.853322446793417,1,"Monobactam biosynthesis"
"SlyA",8,"Up",0.119926734117403,0.801357189576523,0.372679259403221,1,"SlyA"
