"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",176,"Up",8.69835618405753e-08,9.12770955475175e-06,1.13745426366829e-09,5.85080508273411e-09,"Two-component system"
"ArcA",222,"Up",1.37258790297019e-07,9.12770955475175e-06,1.23156189202917e-09,6.06658265332889e-09,"ArcA"
"PmrAB",17,"Up",2.1109325449913e-07,9.3584676161281e-06,1.01240324032038e-11,2.29615286722266e-10,"PmrAB"
"path:sey02060",39,"Up",3.76086363666115e-07,1.25048715918983e-05,1.66991409176985e-10,1.48065716136927e-09,"Phosphotransferase system (PTS)"
"path:sey00280",10,"Up",1.40086284267261e-06,3.72629516150915e-05,0.000163597740228799,0.000255982346475651,"Valine, leucine and isoleucine degradation"
"path:sey00910",21,"Up",2.6700416090036e-06,5.91859223329132e-05,8.17505674064035e-10,4.9421933932053e-09,"Nitrogen metabolism"
"OxyR",41,"Down",5.68070949213044e-06,8.53926800074259e-05,6.7554921441338e-12,2.29615286722266e-10,"OxyR"
"path:sey00051",40,"Up",6.02731200051336e-06,8.53926800074259e-05,8.96153230830552e-10,5.18210346523754e-09,"Fructose and mannose metabolism"
"path:sey00053",15,"Up",6.38644174479354e-06,8.53926800074259e-05,7.79257969357551e-06,1.38188413232739e-05,"Ascorbate and aldarate metabolism"
"RpoE",26,"Down",6.42050225619743e-06,8.53926800074259e-05,7.59824860562297e-08,1.98150404813305e-07,"RpoE"
"path:sey00633",8,"Up",1.0572407460885e-05,0.000127830017481609,0.00599488549718781,0.00797319771125978,"Nitrotoluene degradation"
"path:sey03440",29,"Down",1.30129431089039e-05,0.000144226786123685,2.54780127403707e-11,4.23571961808662e-10,"Homologous recombination"
"path:sey00362",9,"Up",1.87496993499076e-05,0.000191823847195208,0.00141726418411029,0.00200527804773051,"Benzoate degradation"
"path:sey00061",13,"Down",2.31737449190067e-05,0.000204823494416133,0.000217680456169965,0.000332775869777073,"Fatty acid biosynthesis"
"path:sey00650",31,"Up",2.38502050500982e-05,0.000204823494416133,5.86161793562307e-09,2.05156627746807e-08,"Butanoate metabolism"
"path:sey02010",166,"Up",2.46404203808882e-05,0.000204823494416133,1.82922459360869e-09,8.10956236499853e-09,"ABC transporters"
