"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"ArcA",222,"Up",1.93299999662802e-07,2.3134411178998e-05,3.91955139035254e-08,2.17208472882037e-07,"ArcA"
"path:sey02020",176,"Up",3.47885882390947e-07,2.3134411178998e-05,2.06252413097715e-08,1.3062652829522e-07,"Two-component system"
"path:sey02060",39,"Up",2.36975447582548e-06,0.00010505911509493,2.07398928294067e-09,3.06489527367899e-08,"Phosphotransferase system (PTS)"
"path:sey00280",10,"Up",3.54332815697092e-06,0.000117815661219283,0.000267179819625304,0.000461492415716435,"Valine, leucine and isoleucine degradation"
"PmrAB",17,"Up",3.1118010272851e-05,0.000659129055359133,8.25030108537059e-09,7.31526696236192e-08,"PmrAB"
"path:sey00053",15,"Up",3.20799293925116e-05,0.000659129055359133,4.93815759896309e-05,9.25035155862101e-05,"Ascorbate and aldarate metabolism"
"path:sey01501",20,"Up",3.49000767001327e-05,0.000659129055359133,5.02008174446853e-07,1.39098098336315e-06,"beta-Lactam resistance"
"path:sey00910",21,"Up",3.97969523512878e-05,0.000659129055359133,1.30105293264541e-08,9.10737052851784e-08,"Nitrogen metabolism"
"path:sey00633",8,"Up",4.82596743644574e-05,0.000659129055359133,0.00514494244249523,0.0071278890088736,"Nitrotoluene degradation"
"path:sey00640",35,"Up",4.95585755909123e-05,0.000659129055359133,1.38961819517616e-08,9.24096099792143e-08,"Propanoate metabolism"
"path:sey00410",9,"Up",8.36375023400083e-05,0.000960324133140112,0.000616148131033231,0.00099936221252951,"beta-Alanine metabolism"
"path:sey00362",9,"Up",8.66457864487319e-05,0.000960324133140112,0.00277953342802344,0.00403235400980529,"Benzoate degradation"
"path:sey02010",166,"Up",0.000110133892244144,0.00112675443603624,2.50696514525788e-08,1.51557438326954e-07,"ABC transporters"
"path:sey00650",31,"Up",0.000134946078852835,0.00128198774910193,5.0872440937937e-08,2.25534488158187e-07,"Butanoate metabolism"
"path:sey00970",26,"Down",0.000172472053059722,0.00145690804489379,5.73333599729848e-06,1.27088947940116e-05,"Aminoacyl-tRNA biosynthesis"
"path:sey00750",9,"Down",0.000175267133220306,0.00145690804489379,0.00103663631353312,0.00160317011278959,"Vitamin B6 metabolism"
"path:sey03430",25,"Down",0.000187149649588161,0.00146417078795443,3.28866649191201e-09,4.37392643424297e-08,"Mismatch repair"
"path:sey00472",2,"Up",0.000272445415889351,0.00199372289247514,0.659139503026091,0.706980273407017,"D-Arginine and D-ornithine metabolism"
"path:sey01040",3,"Down",0.000296599288956023,0.00199372289247514,0.826088966509625,0.871982797982382,"Biosynthesis of unsaturated fatty acids"
"path:sey00903",2,"Up",0.000314798351443444,0.00199372289247514,0.567469744451811,0.623747735637115,"Limonene and pinene degradation"
"path:sey00930",2,"Up",0.000314798351443444,0.00199372289247514,0.567469744451811,0.623747735637115,"Caprolactam degradation"
"path:sey03060",18,"Down",0.000353988955463485,0.00211190461814769,8.94892823183959e-05,0.000163042117100639,"Protein export"
"path:sey00281",5,"Up",0.000378055018930967,0.00211190461814769,0.0907111996361276,0.114900852872428,"Geraniol degradation"
"path:sey01210",29,"Up",0.000389937213472883,0.00211190461814769,4.68342312907718e-08,2.20903902301948e-07,"2-Oxocarboxylic acid metabolism"
"path:sey00051",40,"Up",0.000396974552283401,0.00211190461814769,1.12689109646384e-08,8.61151459021772e-08,"Fructose and mannose metabolism"
"path:sey00920",35,"Up",0.000433284566456288,0.00221641720533409,4.81670162914022e-08,2.20903902301948e-07,"Sulfur metabolism"
"RpoE",26,"Down",0.000522496860687056,0.00257378083227327,5.50929306734618e-05,0.000101768885827367,"RpoE"
"path:sey03440",29,"Down",0.000579296142133758,0.00264632055198552,6.5065547087731e-08,2.79152185892523e-07,"Homologous recombination"
"path:sey00071",13,"Up",0.0005917650840566,0.00264632055198552,3.27899737035862e-06,7.51908017685683e-06,"Fatty acid degradation"
"path:sey00600",2,"Up",0.000596914410222298,0.00264632055198552,0.650343682067034,0.703217152153785,"Sphingolipid metabolism"
"path:sey00310",14,"Up",0.000647370484631738,0.00277742820825875,0.000207797394919308,0.000368494046990239,"Lysine degradation"
"path:sey01220",10,"Up",0.000696978155618307,0.00287838733989129,0.00278929751054201,0.00403235400980529,"Degradation of aromatic compounds"
"OmpR",24,"Up",0.000714186332454229,0.00287838733989129,7.55886164401618e-06,1.64807966992484e-05,"OmpR"
"path:sey00061",13,"Down",0.000845996497064582,0.00330933923851733,0.001510594954676,0.00228305828377168,"Fatty acid biosynthesis"
"Lrp",143,"Up",0.000919800036511154,0.00347962131340069,1.0668708193461e-09,2.02705455675758e-08,"Lrp"
"path:sey00562",10,"Up",0.00097198048961665,0.00347962131340069,4.59645767627933e-05,8.73326958493073e-05,"Inositol phosphate metabolism"
"path:sey00626",4,"Up",0.00098757258175201,0.00347962131340069,0.232896292509088,0.276564347354542,"Naphthalene degradation"
"path:sey01120",253,"Up",0.000994177518114484,0.00347962131340069,1.96350845292996e-07,6.69606728819703e-07,"Microbial metabolism in diverse environments"
