"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",176,"Up",1.01460742422505e-08,7.79190516137734e-07,9.0882982656572e-10,6.01545576494201e-09,"Two-component system"
"path:sey00640",35,"Up",1.17171506186125e-08,7.79190516137734e-07,8.46523059710759e-10,5.92566141797531e-09,"Propanoate metabolism"
"ArcA",222,"Up",7.24559543902554e-08,2.59375699099682e-06,1.59018535831721e-09,8.45978610624754e-09,"ArcA"
"path:sey02010",166,"Up",7.80077290525358e-08,2.59375699099682e-06,1.12809181911052e-09,6.52331356268255e-09,"ABC transporters"
"path:sey02060",39,"Up",1.24713763957704e-07,3.31738612127492e-06,1.48014336019526e-10,1.59718661753741e-09,"Phosphotransferase system (PTS)"
"path:sey00280",10,"Up",2.6203244712653e-07,5.80838591130474e-06,0.000129036236425336,0.000199556040053136,"Valine, leucine and isoleucine degradation"
"path:sey00910",21,"Up",5.23901165055117e-07,9.95412213604723e-06,1.58269264625195e-09,8.45978610624754e-09,"Nitrogen metabolism"
"path:sey00051",40,"Up",1.77581970064545e-06,2.95230025232305e-05,7.21942811511989e-10,5.33435521839414e-09,"Fructose and mannose metabolism"
"path:sey00053",15,"Up",2.58959735577635e-06,3.82684942575839e-05,3.16763011200723e-06,5.85131673468002e-06,"Ascorbate and aldarate metabolism"
"PmrAB",17,"Up",3.79760184244877e-06,5.05081045045686e-05,4.00191320825027e-11,6.65318070871608e-10,"PmrAB"
"path:sey01210",29,"Up",6.50331887856763e-06,7.31551058540086e-05,7.23607436495152e-09,2.91635724405622e-08,"2-Oxocarboxylic acid metabolism"
"path:sey01501",20,"Up",6.60046067855717e-06,7.31551058540086e-05,4.01428892435987e-09,1.77966808979954e-08,"beta-Lactam resistance"
"path:sey01120",253,"Up",7.80812268615413e-06,7.41773173718113e-05,1.63308772803059e-08,5.43001669570171e-08,"Microbial metabolism in diverse environments"
"path:sey00650",31,"Up",7.80813867071698e-06,7.41773173718113e-05,2.03564581423221e-09,1.04131112804955e-08,"Butanoate metabolism"
"path:sey00362",9,"Up",9.53531032584444e-06,8.45464182224873e-05,0.00122477726799436,0.00167933377982732,"Benzoate degradation"
"path:sey00920",35,"Up",1.24287068154358e-05,9.76610974934566e-05,9.49808804990844e-10,6.01545576494201e-09,"Sulfur metabolism"
"path:sey00633",8,"Up",1.24829974239757e-05,9.76610974934566e-05,0.00366581535254262,0.00482726180087295,"Nitrotoluene degradation"
"path:sey00310",14,"Up",1.35133640082075e-05,9.80280068501951e-05,2.0582220485349e-05,3.50953246737361e-05,"Lysine degradation"
"path:sey00440",3,"Up",1.40040009785993e-05,9.80280068501951e-05,0.232961734717409,0.269425310586221,"Phosphonate and phosphinate metabolism"
"RcsB",22,"Up",1.61055281696973e-05,0.000106609749450649,1.13618743372117e-11,3.21587316434509e-10,"RcsB"
"path:sey00860",31,"Up",1.6833118334313e-05,0.000106609749450649,1.65657684632574e-10,1.59718661753741e-09,"Porphyrin and chlorophyll metabolism"
"path:sey00220",17,"Up",2.06003572307316e-05,0.000113862144892024,7.94965408293825e-08,1.95797035746442e-07,"Arginine biosynthesis"
"path:sey00785",3,"Down",2.09865876165831e-05,0.000113862144892024,0.270232426403158,0.308053953276208,"Lipoic acid metabolism"
"path:sey00071",13,"Up",2.1337444996103e-05,0.000113862144892024,2.97057378180329e-06,5.63348443870277e-06,"Fatty acid degradation"
"path:sey01100",858,"Up",2.14026588142901e-05,0.000113862144892024,1.62443774610472e-08,5.43001669570171e-08,"Metabolic pathways"
"path:sey01040",3,"Down",2.42973822688562e-05,0.000124290455452226,0.51933290891577,0.566158007260634,"Biosynthesis of unsaturated fatty acids"
"path:sey03018",16,"Down",2.73352910646645e-05,0.000131236278480744,7.44356266668401e-05,0.000117856408889163,"RNA degradation"
"path:sey00281",5,"Up",2.78119121770871e-05,0.000131236278480744,0.0521189542632444,0.0641835270093658,"Geraniol degradation"
"RpoE",26,"Down",2.86154291424179e-05,0.000131236278480744,9.4050889571628e-07,1.95449504891039e-06,"RpoE"
"OmpR",24,"Up",3.12882446344447e-05,0.000138711217879371,1.12996671512345e-07,2.63658900195472e-07,"OmpR"
"path:sey00410",9,"Up",3.2409521092724e-05,0.000139047300172009,0.000171552929349479,0.000262259075902077,"beta-Alanine metabolism"
"path:sey00592",3,"Up",3.70556024551501e-05,0.000154012347704218,0.340789743624103,0.377708632516714,"alpha-Linolenic acid metabolism"
"path:sey00052",28,"Up",4.66723477741061e-05,0.000188103704665337,1.319368260884e-11,3.21587316434509e-10,"Galactose metabolism"
"path:sey00500",35,"Up",5.73505768083009e-05,0.000221104002328466,1.41603301292325e-08,5.09006461402141e-08,"Starch and sucrose metabolism"
"Lrp",143,"Up",5.8185263770649e-05,0.000221104002328466,3.87848922030535e-10,3.22399416437882e-09,"Lrp"
"path:sey01220",10,"Up",7.99668245043122e-05,0.00029543299052982,0.000533953939826399,0.000771911673879468,"Degradation of aromatic compounds"
"path:sey00061",13,"Down",8.94111290446266e-05,0.00031378881763983,0.000305159183428318,0.000450957459955181,"Fatty acid biosynthesis"
"path:sey03060",18,"Down",8.96539478970944e-05,0.00031378881763983,2.19866209096308e-05,3.65527572622612e-05,"Protein export"
"path:sey00790",24,"Down",0.00012963498084334,0.000442088524414466,2.07877963200413e-07,4.64946017352532e-07,"Folate biosynthesis"
"path:sey03430",25,"Down",0.000141137706840674,0.000469282875245241,9.06529721628597e-11,1.20568452976603e-09,"Mismatch repair"
"path:sey00290",20,"Up",0.000198732208755774,0.000644667896695559,5.54590769453661e-07,1.18968665060221e-06,"Valine, leucine and isoleucine biosynthesis"
"path:sey03440",29,"Down",0.000207734865631323,0.000648294336652885,1.45076984857673e-11,3.21587316434509e-10,"Homologous recombination"
"path:sey00562",10,"Up",0.000209598920872737,0.000648294336652885,2.19315146751299e-05,3.65527572622612e-05,"Inositol phosphate metabolism"
"path:sey00900",12,"Down",0.000255809114665809,0.000771328632017672,0.000105743864685067,0.000165458047095457,"Terpenoid backbone biosynthesis"
"path:sey00620",59,"Up",0.00026097585293831,0.000771328632017672,3.36559112680466e-08,9.52390680563872e-08,"Pyruvate metabolism"
"path:sey00970",26,"Down",0.000291830796695304,0.000843771651314683,5.38619683513272e-06,9.81320793250207e-06,"Aminoacyl-tRNA biosynthesis"
"path:sey00450",15,"Up",0.000329124434337126,0.000931352122698675,1.09329506215065e-06,2.23704989640057e-06,"Selenocompound metabolism"
"path:sey00350",15,"Up",0.00038869582527236,0.00104049795055512,3.00734883569847e-06,5.63348443870277e-06,"Tyrosine metabolism"
"path:sey00903",2,"Up",0.000391164643065835,0.00104049795055512,0.5383305404139,0.577402918347167,"Limonene and pinene degradation"
"path:sey00930",2,"Up",0.000391164643065835,0.00104049795055512,0.5383305404139,0.577402918347167,"Caprolactam degradation"
