"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",176,"Up",1.03479943051096e-08,8.46928379865682e-07,3.9620658785397e-10,2.6347738092289e-09,"Two-component system"
"path:sey00640",35,"Up",1.27357651107621e-08,8.46928379865682e-07,2.00119745972318e-10,1.6634953883949e-09,"Propanoate metabolism"
"ArcA",222,"Up",4.63364472073926e-08,1.60112841561305e-06,7.22690849594393e-10,3.43278153557336e-09,"ArcA"
"path:sey02060",39,"Up",4.81542380635505e-08,1.60112841561305e-06,1.61578699444746e-10,1.50209472941021e-09,"Phosphotransferase system (PTS)"
"path:sey00910",21,"Up",8.11926613835372e-08,2.15972479280209e-06,6.50602000537012e-10,3.32807946428548e-09,"Nitrogen metabolism"
"path:sey02010",166,"Up",2.99856904612702e-07,6.64682805224822e-06,9.81851577631924e-10,4.45146518807425e-09,"ABC transporters"
"path:sey00051",40,"Up",3.50159241119198e-07,6.65302558126476e-06,5.05059370541627e-10,2.79887067841818e-09,"Fructose and mannose metabolism"
"path:sey00280",10,"Up",4.09976897521654e-07,6.8158659212975e-06,7.72673751654733e-05,0.000120900716435388,"Valine, leucine and isoleucine degradation"
"path:sey00790",24,"Down",1.59220338189153e-06,2.35292277546192e-05,7.00055233691192e-10,3.43278153557336e-09,"Folate biosynthesis"
"path:sey01120",253,"Up",1.9938797872227e-06,2.65186011700619e-05,1.19320521567977e-08,3.44991942794368e-08,"Microbial metabolism in diverse environments"
"path:sey01501",20,"Up",2.36422522849241e-06,2.85856323081355e-05,1.51049612411267e-09,6.27799951584328e-09,"beta-Lactam resistance"
"path:sey00410",9,"Up",2.86845244377499e-06,3.17920145851728e-05,4.36018948929103e-05,6.98680966356274e-05,"beta-Alanine metabolism"
"path:sey00053",15,"Up",3.34893891194528e-06,3.21039068590961e-05,7.02974506909127e-06,1.23020538709097e-05,"Ascorbate and aldarate metabolism"
"PmrAB",17,"Up",3.37935861674696e-06,3.21039068590961e-05,9.21999546818431e-11,1.02188283105709e-09,"PmrAB"
"path:sey00650",31,"Up",4.04711577372336e-06,3.47402462045059e-05,1.03755955511505e-09,4.45146518807425e-09,"Butanoate metabolism"
"path:sey00633",8,"Up",4.27779242284265e-06,3.47402462045059e-05,0.00454329787003662,0.00586658851179486,"Nitrotoluene degradation"
"path:sey01220",10,"Up",4.65248009127743e-06,3.47402462045059e-05,0.00018637477997755,0.000278515120640609,"Degradation of aromatic compounds"
"path:sey00220",17,"Up",4.9421727919274e-06,3.47402462045059e-05,2.29979370197494e-08,5.51959338559281e-08,"Arginine biosynthesis"
"path:sey00920",35,"Up",5.11028054534503e-06,3.47402462045059e-05,5.32692836381342e-10,2.83392588954874e-09,"Sulfur metabolism"
"path:sey01210",29,"Up",5.22409717360991e-06,3.47402462045059e-05,7.88623292821132e-09,2.43923018477234e-08,"2-Oxocarboxylic acid metabolism"
"path:sey00860",31,"Up",6.10005428593986e-06,3.86336771442858e-05,1.62885883292225e-10,1.50209472941021e-09,"Porphyrin and chlorophyll metabolism"
"path:sey00052",28,"Up",6.96029673439323e-06,4.207815753065e-05,3.85928724491876e-12,8.9184412721197e-11,"Galactose metabolism"
"path:sey03430",25,"Down",1.15793508404276e-05,6.69588548598641e-05,5.05072536123351e-12,9.59637818634367e-11,"Mismatch repair"
"path:sey00500",35,"Up",1.38449038947492e-05,7.67238424167353e-05,1.08826673020753e-08,3.21643278039113e-08,"Starch and sucrose metabolism"
