"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_2624",-1.32700143497723,7.81258083500768,49.5550875516566,4.14841744042554e-08,0.000182364430681107,"yfiA"
"SL1344_4071",-1.18983493847485,6.80661421001945,42.643236350975,1.84171969431413e-07,0.000404809988810246,"argC"
"SL1344_2634",-1.24441661099415,6.10647736704105,27.2185797873024,9.15669873101342e-06,0.013417615873845,"SL1344_2634"
"SL1344_4080",-0.905399067170392,8.61464812878896,25.9088680798668,1.33726905203259e-05,0.0146965868818382,"murI"
"SL1344_4113",-0.833270517208455,8.40542796653625,21.4297023702534,5.24385701130098e-05,0.0461039908433582,"hydG"
"SL1344_1799",0.824139142185125,6.35236777648423,18.1007205568998,0.000157006625192074,0.0973863908543229,"pagK"
"SL1344_3936",-0.779918919082586,8.2406754147887,17.7468985782175,0.000177227280899587,0.0973863908543229,"fadB"
"SL1344_4111",-1.17898253649873,5.73308628704352,18.1228801671478,0.000155824705953467,0.0973863908543229,"zraP"
"SL1344_3854",-0.634248558977066,8.81331599206779,17.2114802256234,0.000213267788355409,0.104169466401153,"yieO"
"SL1344_2266",0.514830996150771,7.73340686088797,16.029514817694,0.000323477224759981,0.120623434446873,"yfbE"
"SL1344_2591",1.39128817988942,4.04804570179902,15.9596726960303,0.000331655480714349,0.120623434446873,"gpO"
"SL1344_3366",-0.675051236583563,8.2543428796766,15.8139995796914,0.000349430078895386,0.120623434446873,"yrdA"
"AmgR",0.703136127974241,9.14481272968423,15.7565861739651,0.000356711703323329,0.120623434446873,"AmgR"
"SL1344_4349",0.492731323277593,7.94796445010941,15.5285656149657,0.000387265878447508,0.121601485832517,"mpl"
"SL1344_3368",-0.615396910016924,9.25051881399507,15.1794930868346,0.000439561876377315,0.128820933903645,"SL1344_3368"
"SL1344_0244",-0.552244157918659,7.92707977452251,14.3610402304059,0.000594028748714736,0.163209398709374,"yaeB"
"SL1344_0245",-0.480463861713543,7.91357531335752,13.611822639025,0.000786751464127827,0.192142190905885,"rcsF"
"SL1344_4265",0.446660941313284,8.55566774567068,13.6757690695024,0.000767950920552605,0.192142190905885,"yjeH"
"SL1344_0209",0.82770644859225,5.47605789290493,13.2664166693325,0.000897156470730849,0.201514212561592,"dgt"
"SL1344_3367",-0.693653059045263,7.46909215563185,13.2097151305733,0.000916807154511335,0.201514212561592,"yrdB"
"SL1344_2265",0.545927840401814,6.49608548157458,12.5282448710246,0.00119247109243512,0.249623948683086,"ais"
"SL1344_3940",-0.601599496652035,8.15052397820142,12.3010821063376,0.00130303887111361,0.260370858064338,"hemG"
"SL1344_3857",-0.578124459532966,8.50593768476341,12.0344572008618,0.00144694740505802,0.276555686636307,"yieP"
"SL1344_3375",-0.529497876085609,8.38497998837988,11.7821426038344,0.00159884361810309,0.281140661807247,"fmu"
"SL1344_3938",-0.609150063699058,7.67863679983795,11.8298941514154,0.00156883981095029,0.281140661807247,"yigZ"
"SL1344_3910",-2.31063495675581,6.5050991535418,12.6665080542113,0.00168418734461655,0.28475721411286,"yigI"
"SL1344_1383",0.515312389722961,7.95930383776757,11.4990195324346,0.00178980851824286,0.291407342451689,"gst"
"SL1344_3849",-0.609458700448267,7.10334379823994,11.1745776762584,0.00203905127015755,0.320131049414735,"rbsA"
"SL1344_2625",-0.491605527168744,8.24505163994865,10.9903333406623,0.00219690048568747,0.33217828018641,"pheA"
"SL1344_2630",-0.522112586520466,7.42144036145127,10.9130985544193,0.00226691274012564,0.33217828018641,"yfiN"
"SL1344_4079",-0.515937240949035,9.26574903530856,10.7745248482036,0.00239857985469681,0.340134098104748,"btuB"
"SL1344_2635",-1.14049717639167,5.01574495466075,10.6624976282894,0.00251100198283151,0.344948897391478,"cIIb"
"SL1344_4371",-5.31523386996236,4.16508554331981,10.7623628004999,0.00274419761277948,0.365560385023593,"SL1344_4371"
"SL1344_3943",-0.545432704105598,7.24381443322793,10.0180748489504,0.00327744702155314,0.423754620786694,"yihD"
"SL1344_1287",0.567252909958753,6.25553257356817,9.54307778999881,0.00400155407062769,0.46291662353893,"ydiR"
