"","genename","logFC","logCPM","F","PValue","FDR"
"SL1344_2742","SL1344_2742",3.79361871097455,6.83457216316354,172.245158598933,3.79339682767102e-14,1.66757724544418e-10
"SL1344_0066A","SL1344_0066A",4.74057077544349,5.29599841963943,129.634720153866,4.20499734761561e-13,9.24258417005911e-10
"SL1344_1133","acpP",-1.61910487803722,11.781831588581,121.250063397086,1.02969317883386e-12,1.50884373805121e-09
"SL1344_3018","recJ",1.96736088348905,8.34086013749965,110.333297431514,3.85997009829601e-12,4.24210713802732e-09
"SL1344_1339","sseG",3.36977263628243,5.70893077807774,108.574869826358,5.8103412092554e-12,5.10845199117734e-09
"SL1344_1472","SL1344_1472",3.31800659770702,5.86588575954836,106.454519428735,8.7681391025839e-12,5.50639135642269e-09
"SL1344_4495","deoA",3.18080259413529,7.93225959957771,132.949579077679,7.99561822822861e-12,5.50639135642269e-09
"SL1344_2692","SL1344_2692",6.13220717215429,4.81140773262763,99.3524241950147,2.08562376162403e-11,1.1460502570124e-08
"SL1344_2624","yfiA",1.66319702419231,7.81258083500768,91.4510379332438,3.90100995223049e-11,1.90542663888947e-08
"SL1344_2223C","ccmE2",4.46699745005094,5.25023484838837,92.2057198261642,4.56130332748229e-11,2.00514894276122e-08
"SL1344_2991","lysA",1.95625424226422,6.91201346985254,87.0867457312825,7.14315555286627e-11,2.85466471003637e-08
"SL1344_2759","iroC",2.04195301825604,7.25450086365955,88.2032103229002,1.04141774714357e-10,3.81506034703595e-08
"SL1344_0517","ybbY",2.82731457605677,5.42953630925521,82.7855832091912,1.32554431652798e-10,3.88042750263036e-08
"SL1344_0741","SL1344_0741",3.98066117529179,5.42298829447001,87.0775992090317,1.56021922667091e-10,3.88042750263036e-08
"SL1344_0971","SL1344_0971",2.95802618716473,6.08323925088881,87.8341311831576,1.4112296345035e-10,3.88042750263036e-08
"SL1344_1318","ttrC",3.93344439608491,4.46009269126657,81.1898594556255,1.67716384326608e-10,3.88042750263036e-08
"SL1344_3213","tdcE",3.19244512763975,7.2997291094938,103.801891459282,1.67540234143057e-10,3.88042750263036e-08
"SL1344_3441","nirB",2.53648927276974,6.49960474437668,87.7470540877222,1.42757962698252e-10,3.88042750263036e-08
"SL1344_4361","iolC",3.54555319007578,6.46387523508066,97.6340528881138,1.66411862301801e-10,3.88042750263036e-08
"SL1344_0745","dcoB",3.67230185779207,4.80442065432832,77.8987848692627,2.75389341631274e-10,6.0530577290554e-08
"SL1344_2553","SL1344_2553",3.2103799976571,5.64298650947287,80.8791669517583,3.1062971827004e-10,6.20170820179608e-08
"SL1344_2914","cysD",2.98238893012673,5.11843969147043,76.7629802892709,3.27926220380707e-10,6.20170820179608e-08
"SL1344_3487","SL1344_3487",3.41856964014132,6.33268731552519,90.5465559295953,3.36410951003745e-10,6.20170820179608e-08
"SL1344_3963","yihO",3.37872200712522,7.56876972314074,102.411569475999,3.38582795366483e-10,6.20170820179608e-08
"SL1344_1556","trg",2.28850117844851,5.57241953368363,76.1853340889071,3.58629248480284e-10,6.30613670527731e-08
"SL1344_2007","cbiE",3.49851877556229,4.57684688405656,75.5594903967883,3.95360767488829e-10,6.6846382072342e-08
"SL1344_4215","nrfC",3.464635230659,5.47466541450989,78.7966839298691,4.14311525633677e-10,6.74560543216906e-08
"SL1344_2225","napC",4.65099218080884,4.96914552297821,76.6864555845446,4.59049965531981e-10,6.94966529669451e-08
"SL1344_2680","SL1344_2680",5.00726508307247,4.47805925203754,74.4011529305331,4.74271972021918e-10,6.94966529669451e-08
"SL1344_3048","SL1344_3048",3.92063816505381,4.47072267258474,74.5723577562707,4.61627843763417e-10,6.94966529669451e-08
"SL1344_3782","ccmE1",4.26689884420701,5.48014019792305,81.3918448871331,5.12103693605033e-10,7.26196076479911e-08
"SL1344_0784","ybhM",4.24369538141604,5.23417734953315,79.123491658308,5.572041873657e-10,7.6545925239363e-08
"SL1344_0082","SL1344_0082",1.96023364646962,6.54236178248361,72.698718401088,6.21960053087497e-10,7.81181826677896e-08
"SL1344_0690","phrB",2.07958174165574,7.04668816197354,77.4370924919358,5.9762877995752e-10,7.81181826677896e-08
"SL1344_P1_0088","pefC",3.51349432994736,7.41816238565938,99.3875113798522,6.07481051094812e-10,7.81181826677896e-08
"SL1344_3237","yraM",1.87969473225486,8.61065138905713,77.4108691052259,7.38443111423659e-10,9.0172108828289e-08
"SL1344_2093","wzc",3.88163830274962,6.55741491112261,94.9991401573811,7.74081616385949e-10,9.19692644765576e-08
"SL1344_2977","comO",3.44458373031071,5.30003005061375,74.9228783420931,8.12548045605733e-10,9.39989791706001e-08
"SL1344_2143","yehZ",3.51402980684602,5.95156766267133,82.5928947317491,8.87516092317724e-10,1.00038993380223e-07
"SL1344_0266","sciG",1.76870382850419,7.56976291657019,73.5779812077384,9.77108169055442e-10,1.05494117406467e-07
"SL1344_4400","yjgD",-1.55925750028778,7.31173327878459,69.8803032838206,9.83907828404264e-10,1.05494117406467e-07
"SL1344_P2_0032","SL1344_P2_0032",4.89038390284306,4.7362633059139,71.7367356842678,1.12466227453385e-09,1.1771465140121e-07
"SL1344_2081","cpsG",4.02797037736944,4.70191338746838,68.0442628775371,1.33569804996741e-09,1.36551828550156e-07
"SL1344_0533","ybcI",3.19828144079578,5.59871481901298,73.3422588467201,1.61708445252028e-09,1.57971183406203e-07
"SL1344_3773","yidH",2.94728622854117,7.20184819911761,84.4878542927545,1.59425623152259e-09,1.57971183406203e-07
"SL1344_2318","yfcG",1.78380342232526,6.13947963615967,66.6620673636722,1.68759351238862e-09,1.61275240879573e-07
"SL1344_1906","fliN",2.58391840480205,7.58126790213412,82.1055167030527,1.72499553322186e-09,1.61342135405176e-07
"SL1344_1720","appC",3.2339869628664,5.16011089733494,67.2560310530974,1.97182262297331e-09,1.80586088553973e-07
"SL1344_4149","SL1344_4149",2.94756750853373,7.00487886624581,80.7950104872989,2.46575496783211e-09,2.21213445685509e-07
"SL1344_3461","nudE",1.44386602814563,7.56943753270227,64.1145600774864,2.61965648705456e-09,2.30320198341837e-07
"SL1344_2494","SL1344_2494",1.98229865071243,8.58196477498069,72.9412473877154,2.79548661183658e-09,2.40959983247718e-07
"SL1344_0767","hutU",4.14154936906655,6.60222744714734,84.5128459723361,3.06461452268864e-09,2.56916924642121e-07
"SL1344_2701","SL1344_2701",2.339509894581,5.86016871037977,64.205853024232,3.0974970441384e-09,2.56916924642121e-07
"SL1344_0354","SL1344_0354",2.80230379079808,5.1355832998346,62.7499362032163,3.33152618169593e-09,2.71210909161765e-07
"SL1344_P2_0052","trbA",2.9375450766776,7.18314077525041,81.0189540292341,3.40544080285846e-09,2.72187595806651e-07
"SL1344_1509","narY",3.27044469169863,5.16054114912801,64.4618573722469,3.60845833034013e-09,2.832639789317e-07
"SL1344_3430","yheU",2.33835656815309,6.11707913272956,65.2765265221648,3.87591393535954e-09,2.98921362453342e-07
"SL1344_1502","yddG",4.38645460737602,8.87581986348446,90.237354381938,3.9891837694613e-09,3.00817688010368e-07
"SL1344_2165","mglC",2.30766200858974,5.26568899228792,61.6730726104879,4.03736205473424e-09,3.00817688010368e-07
"SL1344_2291","nuoH",1.92375099178663,7.19988612851089,65.8348493639855,4.21132140656919e-09,3.08549481721303e-07
"SL1344_0703","SL1344_0703",3.9940282814762,4.56857791055969,60.8434518073679,4.68867958928984e-09,3.27165642452669e-07
"SL1344_1034","copS",1.97655985436581,6.05733046056952,60.9117269941215,4.63108964042146e-09,3.27165642452669e-07
"SL1344_2894","hyi",2.54807168098186,4.77456910765028,60.8946233220028,4.64544582111544e-09,3.27165642452669e-07
"SL1344_2510","asrA",3.82363346938151,4.95842691536409,63.2864644504394,5.04959502425451e-09,3.46844058228481e-07
"SL1344_2939","barA",3.63606780193014,9.72462559200116,84.885119216859,5.26359133961789e-09,3.55980731214773e-07
"SL1344_1845","SL1344_1845",2.47517566139401,6.35743483823932,66.8099479725189,5.43610553458269e-09,3.62077574697356e-07
"SL1344_P2_0025","yccB",3.11496429161538,5.38771714170744,63.3337093499891,5.54297428903836e-09,3.63685298128547e-07
"SL1344_4012","sbp",2.20795631256421,6.19091879678946,62.5643054504138,5.93196786516388e-09,3.83484275518535e-07
"SL1344_2002","cbiJ",4.04729061560735,6.69742496928511,79.5709910013045,6.15694504688153e-09,3.92259861247698e-07
"SL1344_3537","rsmD",1.44536898905879,6.73916407602994,58.7810996437228,6.84029997810216e-09,4.23520545123058e-07
"SL1344_4413","idnO",3.18073123354232,5.75879740525806,66.7740056259936,6.77197734231506e-09,4.23520545123058e-07
"SL1344_3350","SL1344_3350",2.416336493373,7.04139181128606,68.5151169280642,7.77972493844578e-09,4.74995428186218e-07
"SL1344_1484","SL1344_1484",2.88887591363665,5.5224702259408,60.6618835207794,8.17436735185880e-09,4.92253683270839e-07
"SL1344_2442","aegA",2.65683695328789,5.10075065829122,57.6925402987222,8.37850406981376e-09,4.97728430958125e-07
"SL1344_1544","SL1344_1544",3.24302736693001,5.112331064645,59.4265022983556,8.74383802979516e-09,5.10316424129234e-07
"SL1344_2181","fruA",3.21018851839083,7.45653473595532,77.2137186964837,8.82257694126975e-09,5.10316424129234e-07
"SL1344_0345","SL1344_0345",2.85320788980848,5.77515300061122,64.1324925488594,9.03740257617959e-09,5.13743608889418e-07
"SL1344_1416","ynfM",2.04858493976274,5.96974996276015,57.1615215997385,9.25826274718331e-09,5.13743608889418e-07
"SL1344_2158","yohJ",4.89410586287376,9.61820121088479,83.989551509996,9.27044640806175e-09,5.13743608889418e-07
"SL1344_2569","SL1344_2569",2.98348219886385,5.39889631787965,60.0493363534141,9.34929224548531e-09,5.13743608889418e-07
"SL1344_4320","sgaU",3.29635382456253,5.37554377351608,60.8520473704552,1.00793595759574e-08,5.47023020937144e-07
"SL1344_3228","SL1344_3228",2.67600162959889,5.53063197037078,58.5286107749329,1.04414827059504e-08,5.597653411629e-07
"SL1344_0417","ispA",1.57897165361941,7.89084070420536,59.0542217818676,1.11201593419486e-08,5.81955005561975e-07
"SL1344_2572","SL1344_2572",1.80118462214208,5.96190121407733,56.2385548433898,1.10285948646155e-08,5.81955005561975e-07
"SL1344_0708","SL1344_0708",3.37985373151892,4.86015581909914,57.3035293231764,1.14273483979188e-08,5.90995571261775e-07
"SL1344_1015","helD",2.77518661043751,8.85451848359894,72.9338697302591,1.34319006247844e-08,6.78696955707496e-07
"SL1344_3796","dgoK",2.79747966101361,6.1242383170725,63.108729205635,1.33946798809524e-08,6.78696955707496e-07
"SL1344_3781","ccmF1",3.20272643757624,4.32934669338076,54.3668220709588,1.58164756044289e-08,7.90104849512154e-07
"SL1344_2287","nuoL",1.25024014107217,7.49200169985926,53.9441463916743,1.71768300044289e-08,8.46474275901773e-07
"SL1344_2446","dapE",1.25637763066838,7.46373530386885,53.8987917167854,1.73300010989899e-08,8.46474275901773e-07
"SL1344_0115","leuO",3.77999680067552,6.34445311892162,70.7894912324627,1.76753644305684e-08,8.53856066338225e-07
"SL1344_0513","SL1344_0513",4.7977423383838,7.07826857145009,74.13613255866,1.96208201730306e-08,9.1758644128343e-07
"SL1344_1675","oppC",1.95218431891592,5.99027665978006,53.2943391919306,1.95154760813643e-08,9.1758644128343e-07
"SL1344_2474","shdA",3.38852169596979,9.08797263520326,73.4087933182088,1.92891844948268e-08,9.1758644128343e-07
"SL1344_3863","ilvE",1.15461254898247,8.1995572896496,53.1629892265215,2.00279476653583e-08,9.26766925651736e-07
"SL1344_0833","SL1344_0833",3.22864341296552,7.49700542487649,70.7694859819531,2.25655162372838e-08,1.02265989050618e-06
"SL1344_4354","iolA",1.96371017373891,5.30103358660663,52.5725312331789,2.25142855439063e-08,1.02265989050618e-06
"SL1344_2127","stcC",2.20529951125674,5.75487824146143,54.0020700655839,2.34433870332221e-08,1.0425291266129e-06
"SL1344_4498","stjA",1.79480337495622,5.97879538708489,52.3619959319413,2.34782492117099e-08,1.0425291266129e-06
"SL1344_2654","grpE",-1.08864106612798,9.44426208584376,52.1008125771178,2.47352934943439e-08,1.08736350201136e-06
"SL1344_0083A","SL1344_0083A",2.57428774702786,5.15666694036354,51.8621708139962,2.59463029471848e-08,1.12930641342401e-06
"SL1344_0025","bcfE",3.69011764560354,5.19369251947733,55.9252635998646,2.75644776232361e-08,1.18797493756614e-06
"SL1344_1613","tyrR",2.10307235349756,8.19011717981258,62.0189790565639,2.79096946101646e-08,1.19117492724547e-06
"SL1344_4167","malK",4.3603586447162,6.38610082939909,68.7951977146488,2.82311606541936e-08,1.19330944457534e-06
"SL1344_0003","thrB",2.1419846928263,8.15868573992438,61.861100769987,2.91639082103468e-08,1.22099562373985e-06
"SL1344_4187","yjbR",3.31172608605918,6.74361928191961,66.4095329631182,3.05622381298439e-08,1.26746791338485e-06
"SL1344_0523","ylbE",4.21050393497998,4.94524872881546,54.9076827443437,3.15840915671742e-08,1.29760436008689e-06
"SL1344_P3_0008","SL1344_P3_0008",1.42384232330643,6.69573997655319,50.7900745016903,3.22160519891495e-08,1.31131263466946e-06
"SL1344_0920","rec2",1.91910039436389,5.98791502608647,50.7257577875051,3.26400072728819e-08,1.31638047680357e-06
"SL1344_3910","yigI",3.77623092159329,6.5050991535418,66.3659892462623,3.32331112207855e-08,1.32811597205976e-06
"SL1344_4061","frwC",3.60384630982954,4.67010480962637,52.3934198841551,3.46079974428084e-08,1.37060141223951e-06
"SL1344_2996","kduI",4.14518445310202,6.98317425902628,68.2605265759441,3.54899997595931e-08,1.39298249056403e-06
"SL1344_2532","SL1344_2532",2.34410885091946,5.25936334906059,50.1789638446541,3.64923662593913e-08,1.40816316755271e-06
"SL1344_3734","SL1344_3734",2.92724752783618,5.0667905676652,51.2097375969033,3.65174251822131e-08,1.40816316755271e-06
"SL1344_0599","SL1344_0599",3.38556299377759,6.20850309199224,61.4082529145129,4.16045730749904e-08,1.59038002815354e-06
"SL1344_0593","ybdN",1.74481593373032,5.52001622191059,49.2447395477256,4.4232433891347e-08,1.67625671884795e-06
"SL1344_0609","citF",4.17627084523359,4.3134377114421,48.9172794818882,4.73425706332312e-08,1.77878581627081e-06
"SL1344_0334","SL1344_0334",4.51149757622132,4.78327108969642,52.0742748078638,5.41163519176208e-08,2.0160634155073e-06
"SL1344_2993","ygeA",2.26517557113027,6.83751055675544,55.8268926753379,5.50713114310323e-08,2.03439903404049e-06
"SL1344_0061","citE2",3.69105374941747,5.00723562111144,51.6081697317893,5.75761016662165e-08,2.10725484478012e-06
"SL1344_0107","thiP",1.44024615070782,7.58418379912045,49.6960412313576,5.80022375383064e-08,2.10725484478012e-06
"SL1344_2477","ratA",2.37505455817262,7.97779169078381,60.1946913206301,5.97453714970332e-08,2.15279223853244e-06
"SL1344_3096","SL1344_3096",1.39092969604944,6.3445874812391,47.1816799849259,6.81874529549057e-08,2.43700848121761e-06
"SL1344_0916","ycaL",2.05210386206728,6.16616218269658,49.785582947088,7.02629448133512e-08,2.46182309259313e-06
"SL1344_P1_0039","SL1344_P1_0039",2.54271171819811,5.15378837324219,47.8093319705452,7.05618083864273e-08,2.46182309259313e-06
"SL1344_P1_0099","SL1344_P1_0099",1.20716259351433,7.3404794996184,47.0848497890055,6.96061404957553e-08,2.46182309259313e-06
"SL1344_0930","mukE",2.26841429437143,7.75710459429792,57.6963566036853,7.45082439190748e-08,2.55889250209573e-06
"SL1344_2517","glyA",1.52555973954466,9.12228284918398,50.0924965447794,7.44181288281751e-08,2.55889250209573e-06
"SL1344_1854","cheM",1.79618534622271,8.45293906939277,53.4620812859339,7.70689290620179e-08,2.62631792369481e-06
"SL1344_2668","SL1344_2668",3.58403963370414,6.61006030528893,61.1381293638733,7.7927192400752e-08,2.63513798302851e-06
"SL1344_4378","SL1344_4378",2.17380304388702,7.092698893751,54.5128455990248,7.91314099264647e-08,2.655432656769e-06
"SL1344_1603","SL1344_1603",2.2226081644731,5.14447419386379,46.3491791496002,8.14621952879223e-08,2.71293795822505e-06
"SL1344_0653","gltJ",2.32633002091259,5.8055911498834,48.7069727142971,8.3475021849487e-08,2.75906914323567e-06
"SL1344_0058","SL1344_0058",2.96692592966345,5.61812615067212,51.1650956441623,8.80912310114646e-08,2.88991829497312e-06
"SL1344_0338","SL1344_0338",1.62781714739211,5.69652663982101,45.8698506496474,9.03258547483431e-08,2.93248944519804e-06
"SL1344_1715","SL1344_1715",3.8753186600012,6.94912710960107,61.2596227238333,9.13901396706396e-08,2.93248944519804e-06
"SL1344_3672","yigQ",1.58762454138025,7.52786644860452,49.192877666546,9.08061061575284e-08,2.93248944519804e-06
"SL1344_2375","ypeC",1.85104222749465,6.41196504821733,48.2436449839913,9.21854061788869e-08,2.93657279393034e-06
"SL1344_1242","astE",2.86718226519117,4.94679390625858,46.9712152924385,9.42402059700776e-08,2.98043126219037e-06
"SL1344_3481","malP",2.44153807665918,6.72586617201479,54.3502658517303,9.69223247972351e-08,3.04336099863318e-06
"SL1344_4221","SC4B5.11c",2.40608297633544,7.06197839967295,55.6959243897488,9.93980768416419e-08,3.09896415458055e-06
"SL1344_1079","csgD",3.73666542677038,4.63064453947035,46.9710100206031,1.08519356837528e-07,3.31683524354781e-06
"SL1344_1554","SL1344_1554",2.41313417908797,5.11953342408671,45.5064793828846,1.08649744101657e-07,3.31683524354781e-06
"SL1344_1993","cobS",1.84960169896033,5.62312077784434,45.0686185474182,1.0750248143761e-07,3.31683524354781e-06
"SL1344_1757","yoaE",1.63363746401641,5.66834992318711,44.9729846514048,1.09773059222377e-07,3.32801633339014e-06
"SL1344_3705","ligB",1.74871833309169,5.86466020297406,44.6534707572987,1.1773509112192e-07,3.544955209397e-06
"SL1344_0438","ampG",1.379657299925,8.15981394478249,46.3775700765479,1.22483509338645e-07,3.63809126386948e-06
"SL1344_1640","yciM",1.87785949286554,7.83003136248844,51.8410678199981,1.21939102173695e-07,3.63809126386948e-06
"SL1344_3526","livF",2.79791162129356,5.73019871349087,49.5849593512293,1.28399689741223e-07,3.78822171880817e-06
"SL1344_2016","dhaB",3.41790608454466,4.29840282115225,44.1088210261208,1.32751755681629e-07,3.89051145317627e-06
"SL1344_1682","hns",-0.964279441777834,9.90123752703983,44.0142611611713,1.35559527170385e-07,3.91997198361717e-06
"SL1344_3435","argDb",1.67615700785731,7.07342713527506,47.2104878435157,1.36385936839229e-07,3.91997198361717e-06
"SL1344_3728","mgtB",2.58062033791678,8.6186405900174,55.4371230708954,1.36432145926621e-07,3.91997198361717e-06
