"","genename","logFC","logCPM","F","PValue","FDR"
"SL1344_2742","SL1344_2742",4.0519235232924,6.83457216316354,198.803825507915,5.66516341782922e-15,2.49040583847772e-11
"SL1344_3018","recJ",2.25331693189772,8.34086013749965,143.696372006845,1.14016516082424e-13,2.50608302349167e-10
"SL1344_0066A","SL1344_0066A",4.78740577794313,5.29599841963943,132.056854745408,3.27456868965389e-13,4.31154732265875e-10
"SL1344_1472","SL1344_1472",3.68672544219588,5.86588575954836,135.482201704503,3.92315497967129e-13,4.31154732265875e-10
"SL1344_2223C","ccmE2",4.96233119144815,5.25023484838837,121.843924741915,1.3387361691713e-12,1.17701683993541e-09
"SL1344_4495","deoA",3.30956758277794,7.93225959957771,143.455240754672,3.41673193750213e-12,2.50332559954322e-09
"SL1344_1339","sseG",3.41999580046955,5.70893077807774,111.524685921407,4.12413428518295e-12,2.58995633109489e-09
"SL1344_0745","dcoB",4.10514936483899,4.80442065432832,103.020204217542,8.65548337244751e-12,3.76082946553566e-09
"SL1344_2654","grpE",-1.55661520624177,9.44426208584376,102.349948440127,9.4106287809127e-12,3.76082946553566e-09
"SL1344_2759","iroC",2.28027642468615,7.25450086365955,110.265276028075,6.86747149231173e-12,3.76082946553566e-09
"SL1344_4361","iolC",3.98082855305969,6.46387523508066,126.880410243604,9.24119742541198e-12,3.76082946553566e-09
"SL1344_2692","SL1344_2692",6.20385231757605,4.81140773262763,102.276706544246,1.45568000321481e-11,5.33264107844359e-09
"SL1344_0971","SL1344_0971",3.2008278890505,6.08323925088881,104.436945466361,1.81042687155886e-11,5.68474037669483e-09
"SL1344_2991","lysA",2.07282138953147,6.91201346985254,97.6849735125271,1.70445554976192e-11,5.68474037669483e-09
"SL1344_3441","nirB",2.72126025627801,6.49960474437668,101.676491961331,2.50104823296635e-11,7.32973868808006e-09
"SL1344_2553","SL1344_2553",3.51048557368583,5.64298650947287,99.3894676715845,2.71543841010181e-11,7.46066703175473e-09
"SL1344_0517","ybbY",2.98730634721355,5.42953630925521,93.2834600244837,3.04528944687219e-11,7.87476024026479e-09
"SL1344_3213","tdcE",3.44255213911566,7.2997291094938,121.125149798605,3.30563160613831e-11,8.07308696699111e-09
"SL1344_0082","SL1344_0082",2.18913610299014,6.54236178248361,91.6908243471477,3.77583616002558e-11,8.7360925049855e-09
"SL1344_0690","phrB",2.32375186132339,7.04668816197354,97.152775841368,4.33086693388018e-11,9.51924552066863e-09
"SL1344_4215","nrfC",3.73427634532967,5.47466541450989,94.0026311804936,5.24379354287427e-11,1.09770078164168e-08
"SL1344_2572","SL1344_2572",2.21474421754453,5.96190121407733,87.7415610918207,6.51426022256192e-11,1.30166763356283e-08
"SL1344_0784","ybhM",4.56309248499417,5.23417734953315,94.7554113076901,7.1323464815142e-11,1.33927914781502e-08
"SL1344_3487","SL1344_3487",3.6374136527163,6.33268731552519,103.868454450728,7.61646467137752e-11,1.33927914781502e-08
"SL1344_4354","iolA",2.46218487023176,5.30103358660663,86.7475390406928,7.49394327082205e-11,1.33927914781502e-08
"SL1344_3237","yraM",2.07998369348376,8.61065138905713,94.1411505919725,8.0541021644036e-11,1.36176281210455e-08
"SL1344_2701","SL1344_2701",2.69441894784514,5.86016871037977,87.4616420488669,8.67240660797546e-11,1.4119962758763e-08
"SL1344_2007","cbiE",3.67927780423014,4.57684688405656,84.9563212163744,9.6749725579618e-11,1.5189706916e-08
"SL1344_2165","mglC",2.65861212659279,5.26568899228792,84.5496363152895,1.02582765764863e-10,1.5550132355253e-08
"SL1344_1556","trg",2.40173663259331,5.57241953368363,84.0616324532997,1.10077920032067e-10,1.61300845486989e-08
"SL1344_2318","yfcG",1.9890767238345,6.13947963615967,83.7898476277395,1.14501868081316e-10,1.62371036156602e-08
"SL1344_1416","ynfM",2.43813509166947,5.96974996276015,83.2870179017867,1.23190818870041e-10,1.66941971701518e-08
"SL1344_2914","cysD",3.09623947334085,5.11843969147043,83.1695094197635,1.25320406418337e-10,1.66941971701518e-08
"SL1344_3782","ccmE1",4.48109002303291,5.48014019792305,91.8628910513393,1.32268704888483e-10,1.71015654908756e-08
"SL1344_0741","SL1344_0741",3.94919777274011,5.42298829447001,84.6067120948031,2.17542229382668e-10,2.53012893115931e-08
"SL1344_1318","ttrC",3.91776817486878,4.46009269126657,79.4731407483962,2.16833324430786e-10,2.53012893115931e-08
"SL1344_1906","fliN",2.87166310337882,7.58126790213412,101.43222512709,2.02189603309747e-10,2.53012893115931e-08
"SL1344_2225","napC",4.77219935305777,4.96914552297821,81.7232868470629,2.18709962202125e-10,2.53012893115931e-08
"SL1344_3963","yihO",3.43441997731817,7.56876972314074,105.550479756885,2.50806049702287e-10,2.82703434484937e-08
"SL1344_3773","yidH",3.20242704042549,7.20184819911761,100.248153543232,2.89012752028165e-10,3.17625014478953e-08
"SL1344_0445","hupB",-1.71944733918081,11.2490525261427,76.6534860340072,3.33524753396068e-10,3.53717081875924e-08
"SL1344_2143","yehZ",3.66460651830285,5.95156766267133,90.5078948795275,3.37946256569354e-10,3.53717081875924e-08
"SL1344_2680","SL1344_2680",5.06446810885009,4.47805925203754,76.206004824386,3.57479549402756e-10,3.65460488180119e-08
"SL1344_2291","nuoH",2.14806439028148,7.19988612851089,82.3314898529036,3.68550339022425e-10,3.68215293259677e-08
