"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_0066A",-3.50540900480543,5.29599841963943,93.9945516443259,2.76895553936402e-11,5.23775550531396e-08,"SL1344_0066A"
"SL1344_1799",2.28270526563335,6.35236777648423,98.7284157458315,1.48966598849802e-11,5.23775550531396e-08,"pagK"
"SL1344_2742",-2.80962492160388,6.83457216316354,99.7349273487014,3.57444643219788e-11,5.23775550531396e-08,"SL1344_2742"
"SL1344_2624",-1.56988182223442,7.81258083500768,80.5559406854194,1.84318332673659e-10,2.02565847608351e-07,"yfiA"
"SL1344_4495",-2.74980793639735,7.93225959957771,95.8337054144584,2.74492858305307e-10,2.41334121022026e-07,"deoA"
"SL1344_3062",1.36418145870666,9.37822956184849,70.8917787955909,8.3337484324627e-10,6.105859684851e-07,"speA"
"SL1344_4361",-3.28512890073066,6.46387523508066,82.3459004713068,1.00425038862612e-09,6.30669244057205e-07,"iolC"
"SL1344_2991",-1.86441826388173,6.91201346985254,68.1091370504017,1.32122305846875e-09,7.0689074099653e-07,"lysA"
"SL1344_3782",-4.15498655059575,5.48014019792305,73.9799787552325,1.44722854162165e-09,7.0689074099653e-07,"ccmE1"
"SL1344_3487",-3.12594635179071,6.33268731552519,75.013132042402,2.39578103108691e-09,1.05318534126581e-06,"SL1344_3487"
"SL1344_0025",-5.43497526154488,5.19369251947733,69.870904833334,2.87252365507973e-09,1.1479649079755e-06,"bcfE"
"SL1344_3213",-2.75206021363358,7.2997291094938,77.028655815388,3.3666261435814e-09,1.23330737726532e-06,"tdcE"
"SL1344_0690",-1.93656856298033,7.04668816197354,63.2245430613963,5.4604370786452e-09,1.71457724269459e-06,"phrB"
"SL1344_2572",-1.93596393966851,5.96190121407733,60.3095195509928,5.16609166330703e-09,1.71457724269459e-06,"SL1344_2572"
"SL1344_4149",-2.89259437390054,7.00487886624581,72.7646331438344,6.73001390734006e-09,1.97234274244446e-06,"SL1344_4149"
"SL1344_1502",-4.12647378039639,8.87581986348446,81.1578345182866,9.97580762407412e-09,2.74085314471436e-06,"yddG"
