"","genename","logFC","logCPM","F","PValue","FDR"
"SL1344_2764","virK",2.81938001139551,9.42478522426482,148.901424768791,2.80817083035946e-13,1.23447189702602e-09
"AmgR","AmgR",1.91581663086483,9.14481272968423,103.326407780647,8.33211466814546e-12,1.83139880405837e-08
"SL1344_2765","mig-14",1.87308575283359,9.35962490704855,93.927865116668,3.15871473878104e-11,4.62856999722715e-08
"SL1344_4387","mgtA",1.43186544383526,9.13040266013722,89.699103119915,4.96025357238578e-11,5.45131867605197e-08
"SL1344_2266","yfbE",1.21864989227289,7.73340686088797,78.4139178565549,2.54573815209365e-10,2.23752272312135e-07
"SL1344_4255","phoN",1.38142462726387,7.93864068871995,77.2246172126514,3.05394366213105e-10,2.23752272312135e-07
"SL1344_1602","SL1344_1602",1.33423625977488,7.95241015907348,75.5084082756298,3.98529921482224e-10,2.50276790690837e-07
"SL1344_4013","cdh-a",1.2080153261511,9.38375298354878,70.0237884641939,9.60906163478589e-10,5.28017936831485e-07
"SL1344_1169","phoP",0.996455246502587,9.31742258178123,63.0352359790604,3.16732460306803e-09,1.54706210612078e-06
"SL1344_4265","yjeH",0.979972159438164,8.55566774567068,61.2365781449902,4.36716423381538e-09,1.91980539718524e-06
"SL1344_2273","pmrD",1.40262800795414,8.28742596060215,59.7194350210011,5.75423764189568e-09,2.29960260670668e-06
"SL1344_0616","pagP",1.04284713638778,8.74925815996853,57.3864983836924,8.8741403477514e-09,3.2508934140596e-06
"SL1344_P1_0061","SL1344_P1_0061",1.13250953529354,8.80460255709695,53.6323915022659,1.82594011168837e-08,6.17448671614004e-06
"SL1344_1168","phoQ",0.906170380086842,8.49213714817055,51.1968575650037,2.96663269417051e-08,9.3152266596954e-06
"SL1344_1799","pagK",1.52042205201062,6.35236777648423,49.6956319436913,4.02996818549212e-08,1.18104934289489e-05
"SL1344_1204","aroQ",1.94583779706824,5.27845729414469,49.0847237089532,4.57242508674127e-08,1.18953735549353e-05
"SL1344_4472","mdoB",1.13775433050016,9.1011513860628,49.0556253117071,4.6001217114172e-08,1.18953735549353e-05
"SL1344_1514","steA",1.39153425203797,7.53217488556017,46.750840143919,8.85899489536142e-08,2.16356342000049e-05
"SL1344_0841","ybjG",1.11794373711732,6.22403591798718,44.1179665949121,1.32483484340037e-07,3.06524945873054e-05
"SL1344_1872","SL1344_1872",1.1870227522414,7.08111342259975,43.635278577839,1.47460496907565e-07,3.24118172202828e-05
"SL1344_0605","rna",1.11949602405279,7.13061319156623,42.706889359808,1.81547298793801e-07,3.80039012141689e-05
"SL1344_1793","pagO",2.00268798353024,5.49546801329334,42.3939814354912,1.94843428785591e-07,3.89332596791573e-05
"SL1344_2849","orgB",1.29026631775933,7.01280178846408,41.5564060168941,2.35775663929942e-07,4.50639051580881e-05
"SL1344_0378","yaiB",1.05387079943184,7.87114879550784,38.1874794540287,5.19446110731196e-07,9.51452126155975e-05
"SL1344_1783","SL1344_1783",1.1713808599942,6.74138944795525,37.8424115207693,5.64439011878395e-07,9.92509558486969e-05
"SL1344_1287","ydiR",1.2409842202623,6.25553257356817,37.1085148070898,6.74453255760992e-07,0.000114034481243282
"SL1344_0302","pagN",1.42460884278205,5.87992739343018,35.2763588877023,1.06102694160896e-06,0.000172750905011593
"SL1344_1768","SL1344_1768",0.901407171199354,7.50395597769123,34.9576867583976,1.1495003376884e-06,0.00018047155301708
"SL1344_4230","yjdB",1.0008103431823,8.42884826094001,34.4647793445256,1.30209779111061e-06,0.000197380065162836
"SL1344_1530","pdgL",1.63182685295684,5.45197334427245,33.4852808587219,1.67281163155717e-06,0.000245122664410845
"SL1344_2265","ais",0.952210452716967,6.49608548157458,31.4053116544405,2.88485352184686e-06,0.00040909084135609
"SL1344_1383","gst",0.882939818968081,7.95930383776757,31.1384418943939,3.09788620319266e-06,0.000425572117163592
"SL1344_2190","yeiU",0.747255479378378,9.41861384499083,30.7808714591119,3.40984417904757e-06,0.000454232576093731
"SL1344_2848","orgC",0.993832619563528,7.35085389501873,28.8546163304273,5.77424947699573e-06,0.000746576491202154
"SL1344_3972","yihX",0.742150420593985,7.1280302789873,28.0846203076462,7.16204013432304e-06,0.000899552240870974
"SL1344_2137","yehU",0.821499397079812,6.71560336874028,27.685858315002,8.01618631912887e-06,0.000978865418302515
"SL1344_2057","udg",1.12669752174278,6.22859649906152,26.2082433680378,1.22541562536353e-05,0.00145592624029677
"SL1344_1184","pagC",1.82509562242147,6.17774263324595,26.1160154080405,2.32394647892603e-05,0.00261950480034842
"SL1344_4388","SL1344_4388",0.84868448213535,7.75431107805955,24.075561157463,2.30718025645462e-05,0.00261950480034842
"SL1344_2267","pmrF",0.955822776656178,6.34743990759045,23.9044248397751,2.42998836200656e-05,0.00267055720984521
"SL1344_2938","rumA",0.650908848627621,7.95319144559636,22.8845340482928,3.32160109147119e-05,0.00356140448734326
"SL1344_0983","sodCa",1.17289092052444,5.74483534031849,22.2243563370286,4.07978514247779e-05,0.00427017511579342
"SL1344_4224","phnO",1.29614281728248,5.36857249254401,21.4054740799747,5.28447059188208e-05,0.00540244947021247
"SL1344_2268","yfbG",0.940340526272562,6.72866119458555,21.2171399648667,5.61180038262308e-05,0.0056066987459116
"SL1344_2270","arnT",0.90450018504073,6.58453536150896,20.5504506037895,6.95491825502912e-05,0.00679418236646844
"SL1344_0606","citT",0.873405422823269,6.67062550400766,18.9802749754093,0.000116641663210018,0.0109232193371471
"SL1344_4162","yjbA",0.87785692281039,5.85542231205624,18.9765802054875,0.000116786012021363,0.0109232193371471
"SL1344_1786","SL1344_1786",0.94067147123008,6.42669297274673,18.910637349909,0.000119394490541415,0.0109345454254179
"SL1344_P1_0062","rlgA",0.60536789910012,8.24570461426449,18.4267755195225,0.000140536682980639,0.012608148130263
"SL1344_0906","ycaM",1.17243555666515,6.03591514253975,18.2721155623216,0.000148107344354397,0.0130215977156386
"SL1344_1795","SL1344_1795",1.38602761453014,4.77616913069028,18.1056790004418,0.000156741332993843,0.01334178680279
"SL1344_3560","SL1344_3560",0.643876310032708,6.86183337680319,18.0855896079531,0.000157819134154931,0.01334178680279
"SL1344_0213","SL1344_0213",0.693324153412035,7.05531370262936,17.9650186952293,0.000164455628824483,0.0136405083832534
"SL1344_2763","pipB2",1.04483800071821,6.27780013424758,17.6385631299501,0.000183959054105644,0.0149756296638595
"SL1344_4223","lpxO",0.884717534576233,6.40290728569972,17.0376115070069,0.000226588395224491,0.018110592461943
"SL1344_2136","yehT",1.30099060433812,5.10159607915181,16.7669214116826,0.00024911876538629,0.0195558230828237
"SL1344_0836","SL1344_0836",0.848102050096091,5.80701791629615,16.4105273719902,0.00028248402518569,0.021785960959935
"SL1344_1766","cspC",0.710647961031525,7.6391290676372,15.6975454289445,0.000364368459112701,0.0276166163148178
"SL1344_0879","ybjX",0.484903327626006,9.33925728600575,15.193291202437,0.00043735787506658,0.0312664005128715
"SL1344_3728","mgtB",1.47611141070492,8.6186405900174,16.748402001806,0.000440972891673802,0.0312664005128715
"SL1344_3781","ccmF1",1.99188747552335,4.32934669338076,15.239931158826,0.000429994683572883,0.0312664005128715
"SL1344_4228","basS",0.682638648026416,7.3548287540776,15.2485550445876,0.000428647725570129,0.0312664005128715
"SL1344_2318","yfcG",0.911517153353251,6.13947963615967,14.7014991193911,0.00052370903726035,0.0365432528221667
"SL1344_1910","fliR",-0.982521420793776,4.93680163448908,13.9515690433385,0.00069218274282259,0.0475443021476267
"SL1344_2171","yeiG",0.515153681383479,7.06287062552435,13.376587915292,0.000860247828116273,0.0581792223446021
"SL1344_P1_0063","rlgA2",0.560532053178338,7.18253585737046,13.1670184136208,0.000931907085590538,0.0620706598220607
"SL1344_2622","rluD",0.489652100799367,9.3374689576172,12.2201649359919,0.00134502570282419,0.0882497461136587
"SL1344_4350","iolR",0.587914405590922,7.27701702133775,11.838984786685,0.00156319632694792,0.101056044900927
"SL1344_4229","basR",0.967298450402087,6.28956520473812,11.9762654354786,0.00166361659198238,0.105989254179052
"SL1344_3730","yicL",0.613633419973843,6.73369377063618,11.5632653461333,0.001744432804993,0.10955038015356
"SL1344_2758","iroB",1.40781300348634,5.08518907605287,11.4780301713764,0.00192508801073485,0.119192773171696
"SL1344_3200","yqjB",0.661343509035087,6.35584044649872,10.9739965750951,0.00221151436081831,0.135025237918851
"SL1344_2299","lrhA",0.487983978680791,6.59367900960084,10.8838201648212,0.00229407359427591,0.138147226307355
"SL1344_1025","yccA",0.709082004537514,7.26159305348817,10.8601652491128,0.00245011291670752,0.145549951106031
"SL1344_1567","SL1344_1567",0.785986257460746,5.40774092701291,10.4669865068792,0.0027209306826016,0.157384358956798
"SL1344_2283","SL1344_2283",-0.515718125301902,6.5735245412336,10.47903860271,0.002707461230423,0.157384358956798
"SL1344_1265","SL1344_1265",0.757833266319256,5.58279679636347,9.98932359593897,0.00331702094864336,0.184577520129572
