"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_3727",3.40890251955935,6.96745880329746,341.409585558626,3.1936138254929e-19,1.40391263768668e-15,"cigR"
"SL1344_1783",3.11565416918401,6.74138944795525,248.786989391402,3.88042643571414e-17,8.52917730569969e-14,"SL1344_1783"
"SL1344_4388",2.58288265837522,7.75431107805955,235.722475921754,8.65304214508135e-17,1.26795910899259e-13,"SL1344_4388"
"SL1344_4387",2.22671625088373,9.13040266013722,223.477341527988,1.90270307102109e-16,1.67285654004174e-13,"mgtA"
"AmgR",2.76225839256482,9.14481272968423,226.672781611796,1.54354098062022e-16,1.67285654004174e-13,"AmgR"
"SL1344_0378",2.35579433148861,7.87114879550784,186.095658516382,2.72558490928964e-15,1.99694521020621e-12,"yaiB"
"SL1344_4255",1.95834923731419,7.93864068871995,173.279070542072,7.54987891729043e-15,4.74132396005839e-12,"phoN"
"SL1344_3730",2.1027746446553,6.73369377063618,160.220464019117,2.28078239155686e-14,1.25328992416049e-11,"yicL"
"SL1344_0616",1.65419269786835,8.74925815996853,145.511759264241,8.70007338827153e-14,4.24950251276018e-11,"pagP"
"SL1344_1799",2.3270777235543,6.35236777648423,139.447658161622,1.56088007728106e-13,6.86162881972754e-11,"pagK"
"SL1344_1287",2.21778319480972,6.25553257356817,132.161078475692,3.23978781744054e-13,1.29473702231533e-10,"ydiR"
"SL1344_3018",-2.04212018215629,8.34086013749965,120.233535746419,1.25360746043032e-12,4.59238199670975e-10,"recJ"
"SL1344_2273",1.90529716671486,8.28742596060215,117.353019385403,1.58770932592138e-12,5.36890015134645e-10,"pmrD"
"SL1344_1169",1.34677966229174,9.31742258178123,115.624172316158,1.93097014854086e-12,6.0632462664183e-10,"phoP"
"SL1344_1602",1.53985163931773,7.95241015907348,112.614723354315,2.72988271585118e-12,7.14159551722502e-10,"SL1344_1602"
"SL1344_2742",-2.81227284634245,6.83457216316354,123.148373434285,2.7617635075711e-12,7.14159551722502e-10,"SL1344_2742"
"SL1344_3727A",4.49512735481185,4.11416363274919,113.280516527993,2.52702743790756e-12,7.14159551722502e-10,"mgtR"
"SL1344_4265",1.27492595496553,8.55566774567068,109.99744638491,3.7109029338952e-12,9.0628496096685e-10,"yjeH"
"SL1344_1383",1.60225547265979,7.95930383776757,108.277555805691,4.55450557029741e-12,1.05376876247513e-09,"gst"
"SL1344_2299",1.45833859776615,6.59367900960084,106.109898836458,5.91736048101009e-12,1.30063583372602e-09,"lrhA"
"SL1344_2764",2.28201495227163,9.42478522426482,113.820484014179,7.97406766624342e-12,1.66923816480029e-09,"virK"
"SL1344_1514",1.97877461230264,7.53217488556017,102.781971147264,1.28984440658925e-11,2.57734364153015e-09,"steA"
"SL1344_2007",-4.42479416520873,4.57684688405656,96.9944674778747,1.86447033480286e-11,3.56357025730147e-09,"cbiE"
"SL1344_4354",-2.71802681339204,5.30103358660663,96.5258722693838,1.98207585088242e-11,3.6305022668663e-09,"iolA"
"SL1344_P1_0061",1.48659488146972,8.80460255709695,96.1127525375721,2.0922834595552e-11,3.67907123528186e-09,"SL1344_P1_0061"
"SL1344_2137",1.35801681260622,6.71560336874028,94.9962110274399,2.42390531450879e-11,3.94647694910395e-09,"yehU"
"SL1344_4013",1.39023927589523,9.38375298354878,95.0177001165516,2.41702214221606e-11,3.94647694910395e-09,"cdh-a"
"SL1344_3560",1.3979976063641,6.86183337680319,92.0638044865233,3.58951739701278e-11,5.63554231331006e-09,"SL1344_3560"
"SL1344_1768",1.38541527354589,7.50395597769123,86.9406628216097,7.292044450533e-11,9.86149446434772e-09,"SL1344_1768"
"SL1344_2894",-3.2813099742616,4.77456910765028,86.8825981779973,7.35213446675778e-11,9.86149446434772e-09,"hyi"
"SL1344_2991",-1.95382556340806,6.91201346985254,87.0409259289062,7.18950570352964e-11,9.86149446434772e-09,"lysA"
"SL1344_4230",1.5929894625834,8.42884826094001,86.9317885813,7.30119444835796e-11,9.86149446434772e-09,"yjdB"
"SL1344_4495",-2.76491559134121,7.93225959957771,108.445427418448,7.40285071254492e-11,9.86149446434772e-09,"deoA"
"SL1344_2517",-2.15572353908221,9.12228284918398,94.9676006665411,8.85732113647444e-11,1.14519952105711e-08,"glyA"
"SL1344_1339",-2.78169559155507,5.70893077807774,83.9472658623323,1.39829616401374e-10,1.72507401327456e-08,"sseG"
"SL1344_1472",-2.59652033066837,5.86588575954836,84.8024438834506,1.41270847310928e-10,1.72507401327456e-08,"SL1344_1472"
"SL1344_2977",-4.05201947821137,5.30003005061375,86.6119255334963,1.55337876564744e-10,1.81709459471818e-08,"comO"
"SL1344_3237",-2.0218810920182,8.61065138905713,88.8376687745845,1.57073691081189e-10,1.81709459471818e-08,"yraM"
"SL1344_0745",-3.28976116459847,4.80442065432832,79.2491983501132,2.24287007382882e-10,2.4113197618182e-08,"dcoB"
"SL1344_1906",-2.8872618876021,7.58126790213412,100.394756178966,2.24895610178676e-10,2.4113197618182e-08,"fliN"
"SL1344_3179",1.81631731598594,6.30394548116445,79.3076259945835,2.22316494016864e-10,2.4113197618182e-08,"folB"
"SL1344_0971",-2.76676308409869,6.08323925088881,84.1255054004394,2.32284793702853e-10,2.4312475074232e-08,"SL1344_0971"
"SL1344_2223C",-3.26091379587288,5.25023484838837,79.0794622191948,2.88149882739122e-10,2.94582996400275e-08,"ccmE2"
"SL1344_2759",-1.90201060556405,7.25450086365955,80.6322259200208,2.98002526467278e-10,2.9773161507958e-08,"iroC"
"SL1344_0354",-3.40871683493438,5.1355832998346,76.4935176330233,3.41886849566519e-10,3.33985464598759e-08,"SL1344_0354"
"SL1344_0517",-2.60063284073837,5.42953630925521,75.5200771983784,3.97803612656088e-10,3.80161887225252e-08,"ybbY"
"SL1344_0784",-3.99210175612783,5.23417734953315,81.1734908057605,4.18626762710517e-10,3.91549627420305e-08,"ybhM"
"SL1344_2765",1.60554323974679,9.35962490704855,74.977228072329,4.78554022877382e-10,4.3604171630658e-08,"mig-14"
"SL1344_2938",1.15852256558269,7.95319144559636,74.2461823315452,4.86033760214341e-10,4.3604171630658e-08,"rumA"
"SL1344_2937",1.09184585647076,8.55467810934145,71.2417059500749,7.87149507573424e-10,6.92061847058555e-08,"relA"
"SL1344_0392",1.18234691017162,7.43023084065007,70.7409221036991,8.541825119831e-10,7.31751199365597e-08,"phoB"
"SL1344_2849",1.562930406796,7.01280178846408,70.6599050275401,8.65583766310533e-10,7.31751199365597e-08,"orgB"
"SL1344_P1_0062",1.17087134701503,8.24570461426449,70.3563766344319,9.09752893687445e-10,7.54579947292455e-08,"rlgA"
"SL1344_2692",-3.96303218999202,4.81140773262763,71.897624389267,9.64609277494481e-10,7.85263404419581e-08,"SL1344_2692"
"SL1344_0445",1.63041854722755,11.2490525261427,69.178360214035,1.10515411242865e-09,8.71558934308088e-08,"hupB"
"SL1344_0690",-1.97081863977797,7.04668816197354,73.2512536157519,1.11026615835425e-09,8.71558934308088e-08,"phrB"
"SL1344_4149",-3.02171592083689,7.00487886624581,87.0258761359267,1.19152741589816e-09,9.18939389524267e-08,"SL1344_4149"
"SL1344_4472",1.33242455506113,9.1011513860628,68.5790611875081,1.2212081943742e-09,9.2559159008086e-08,"mdoB"
"SL1344_3213",-2.69284725178478,7.2997291094938,84.2760137539923,1.39064078600155e-09,1.03614523648522e-07,"tdcE"
"SL1344_4361",-2.78140038080173,6.46387523508066,79.4534834651805,1.45179236544895e-09,1.0636798730856e-07,"iolC"
"SL1344_1416",-2.14137175425361,5.96974996276015,66.7983566143395,1.64888573953151e-09,1.1882789690132e-07,"ynfM"
"SL1344_3487",-2.88725311331532,6.33268731552519,76.102179525186,2.06789629568581e-09,1.46620517997336e-07,"SL1344_3487"
"SL1344_4413",-3.39531933691725,5.75879740525806,74.7358548189544,2.15709399936936e-09,1.50517225733773e-07,"idnO"
"SL1344_2494",-2.02477870601247,8.58196477498069,74.6760765199797,2.19605803496305e-09,1.50841736276524e-07,"SL1344_2494"
"SL1344_2266",1.04681224024379,7.73340686088797,64.2052127346707,2.57846846620983e-09,1.74383805807052e-07,"yfbE"
"SL1344_P2_0052",-2.98246277635093,7.18314077525041,83.1155514146749,2.67487054697198e-09,1.78162589764982e-07,"trbA"
"SL1344_2442",-2.68211637537579,5.10075065829122,62.7204196777325,3.34902187030736e-09,2.17240779571572e-07,"aegA"
"SL1344_3972",1.0725894132455,7.1280302789873,62.7012906573167,3.36041242285416e-09,2.17240779571572e-07,"yihX"
"SL1344_0393",1.16168320791647,6.24009821890017,62.2439871438888,3.64530573683322e-09,2.32242956798824e-07,"phoR"
"SL1344_1720",-3.15495800163877,5.16011089733494,63.001977260282,4.05115842959714e-09,2.544127493787e-07,"appC"
"SL1344_0653",-2.80438009086474,5.8055911498834,65.5964659608556,4.1360170386619e-09,2.56083533830391e-07,"gltJ"
"SL1344_0750",-1.75101691054803,6.8229542234648,61.7330290579008,4.74227250760448e-09,2.89542082547629e-07,"galM"
"SL1344_1793",1.70585630789808,5.49546801329334,60.5228504949751,4.96943845578087e-09,2.99255499337161e-07,"pagO"
"SL1344_0656",-1.74426590635945,7.83230685680753,64.5295495862208,5.17085714330118e-09,3.07176864891243e-07,"ybeX"
"SL1344_2190",1.03655501068386,9.41861384499083,60.0407456748729,5.42566615945064e-09,3.18016379159267e-07,"yeiU"
"SL1344_1993",-2.14707830821502,5.62312077784434,58.7414561903259,6.89072035511307e-09,3.98573772119435e-07,"cobS"
"SL1344_3782",-3.21086419135047,5.48014019792305,63.6254373040554,7.06392065750631e-09,4.03285652083088e-07,"ccmE1"
"SL1344_4162",1.39489999577352,5.85542231205624,57.6245901385766,8.48595818237733e-09,4.78259899611933e-07,"yjbA"
"SL1344_2572",-1.71722801491192,5.96190121407733,57.3306514700429,8.9678895647589e-09,4.99023323122533e-07,"SL1344_2572"
"SL1344_2701",-2.05907398996378,5.86016871037977,57.5924236067648,1.00593818668893e-08,5.52763033585567e-07,"SL1344_2701"
"SL1344_2287",-1.29071144822891,7.49200169985926,56.50970609798,1.04740084756456e-08,5.68441250110344e-07,"nuoL"
