"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",15,"Up",6.83199855342565e-05,0.00465884120064067,1.19675065022622e-05,0.000718050390135733,"PhoPQ"
"path:sey03430",25,"Down",7.76473533440112e-05,0.00465884120064067,0.0685921820399627,0.342960910199813,"Mismatch repair"
"path:sey02020",176,"Up",0.00752682979732862,0.270442866411721,0.00334295593390466,0.0445727457853955,"Two-component system"
"path:sey01503",36,"Up",0.00949372554891904,0.270442866411721,5.83882771998818e-06,0.000700659326398582,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey02060",39,"Up",0.0141016080006453,0.270442866411721,0.0113573341114574,0.102048524544995,"Phosphotransferase system (PTS)"
"path:sey00250",33,"Down",0.0154570021606192,0.270442866411721,0.32993987875449,0.776283076601021,"Alanine, aspartate and glutamate metabolism"
"path:sey00260",36,"Down",0.015775833874017,0.270442866411721,0.00770662788935667,0.0770662788935667,"Glycine, serine and threonine metabolism"
"path:sey00440",3,"Up",0.0195690127608206,0.29353519141231,1,1,"Phosphonate and phosphinate metabolism"
"path:sey03440",29,"Down",0.0237497137782366,0.316662850376488,0.346111419079736,0.776283076601021,"Homologous recombination"
"path:sey03030",19,"Down",0.0395947551527429,0.423801394739904,0.56134294942877,0.982945272174549,"DNA replication"
"path:sey00053",15,"Up",0.0454439870633602,0.423801394739904,0.165545097234599,0.522773991267154,"Ascorbate and aldarate metabolism"
"path:sey00520",48,"Up",0.0532358318036342,0.423801394739904,0.000551865055483209,0.0220746022193284,"Amino sugar and nucleotide sugar metabolism"
"path:sey00270",35,"Down",0.0611487403146881,0.423801394739904,0.428361866976602,0.871244475206648,"Cysteine and methionine metabolism"
"path:sey00061",13,"Down",0.0730433716866639,0.423801394739904,0.0189217007551491,0.133564946506935,"Fatty acid biosynthesis"
"path:sey00903",2,"Up",0.0738734990289909,0.423801394739904,1,1,"Limonene and pinene degradation"
"path:sey00930",2,"Up",0.0738734990289909,0.423801394739904,1,1,"Caprolactam degradation"
"path:sey00633",8,"Up",0.0809721127866745,0.423801394739904,0.795848204571743,1,"Nitrotoluene degradation"
"path:sey00592",3,"Up",0.0815574593858466,0.423801394739904,1,1,"alpha-Linolenic acid metabolism"
"path:sey00220",17,"Up",0.0832875803573688,0.423801394739904,0.012296645907411,0.102048524544995,"Arginine biosynthesis"
"path:sey04122",17,"Down",0.0857910841752263,0.423801394739904,0.676112783929249,1,"Sulfur relay system"
