"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",15,"Up",3.72479508407967e-07,4.4697541008956e-05,4.17840132867663e-07,2.50704079720598e-05,"PhoPQ"
"path:sey01503",36,"Up",0.000522144253435735,0.0313286552061441,2.68967140794565e-09,3.22760568953478e-07,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey02020",176,"Up",0.00102924425564334,0.0411697702257338,0.0026985301191515,0.0539706023830301,"Two-component system"
"path:sey03430",25,"Down",0.00220297221922423,0.066089166576727,0.393533663583185,1,"Mismatch repair"
"path:sey03030",19,"Down",0.00342082008305071,0.0820996819932171,0.338421194620644,1,"DNA replication"
"path:sey03440",29,"Down",0.0138358580081286,0.256179607506053,0.171317796609645,1,"Homologous recombination"
"path:sey00633",8,"Up",0.0149438104378531,0.256179607506053,0.921594925924324,1,"Nitrotoluene degradation"
"path:sey00480",24,"Up",0.0190990282669911,0.261155376298844,0.0791139078718488,0.795035883548609,"Glutathione metabolism"
"path:sey00440",3,"Up",0.0195866532224133,0.261155376298844,0.726083274242673,1,"Phosphonate and phosphinate metabolism"
"path:sey00640",35,"Up",0.0580862640542924,0.697035168651509,0.652584343819298,1,"Propanoate metabolism"
"path:sey00521",10,"Down",0.0777787835336731,0.807679753078976,0.40882013037468,1,"Streptomycin biosynthesis"
"path:sey00472",2,"Up",0.0807679753078976,0.807679753078976,1,1,"D-Arginine and D-ornithine metabolism"
"path:sey00360",7,"Down",0.0941823840881404,0.835257260923216,0.995026672775127,1,"Phenylalanine metabolism"
"path:sey00540",39,"Up",0.108228521761585,0.835257260923216,0.000116979229338792,0.00467916917355167,"Lipopolysaccharide biosynthesis"
"path:sey00261",8,"Up",0.111839809055027,0.835257260923216,0.853322446793417,1,"Monobactam biosynthesis"
"path:sey01220",10,"Up",0.121443707503473,0.835257260923216,0.86271818183071,1,"Degradation of aromatic compounds"
"path:sey01502",8,"Up",0.122563129015931,0.835257260923216,0.0861288873844327,0.795035883548609,"Vancomycin resistance"
"path:sey00785",3,"Down",0.126530082564714,0.835257260923216,1,1,"Lipoic acid metabolism"
"path:sey02060",39,"Up",0.154032626067856,0.835257260923216,0.276646510372872,1,"Phosphotransferase system (PTS)"
"path:sey00053",15,"Up",0.164300927935511,0.835257260923216,0.61201817197121,1,"Ascorbate and aldarate metabolism"
"path:sey00401",4,"Down",0.167856548789591,0.835257260923216,1,1,"Novobiocin biosynthesis"
"path:sey03410",14,"Down",0.180427662335896,0.835257260923216,0.577661610613872,1,"Base excision repair"
"path:sey00250",33,"Down",0.182682569254973,0.835257260923216,0.581995935885462,1,"Alanine, aspartate and glutamate metabolism"
"path:sey00670",13,"Down",0.197826171489121,0.835257260923216,0.978882747252615,1,"One carbon pool by folate"
"path:sey00900",12,"Down",0.206075198472132,0.835257260923216,0.648471809614895,1,"Terpenoid backbone biosynthesis"
"path:sey00626",4,"Up",0.209101941814626,0.835257260923216,1,1,"Naphthalene degradation"
"path:sey00627",4,"Up",0.211126901014224,0.835257260923216,1,1,"Aminobenzoate degradation"
"path:sey00520",48,"Up",0.227401874191593,0.835257260923216,0.000218821516109906,0.00656464548329717,"Amino sugar and nucleotide sugar metabolism"
"path:sey00903",2,"Up",0.228975477871255,0.835257260923216,1,1,"Limonene and pinene degradation"
"path:sey00930",2,"Up",0.228975477871255,0.835257260923216,1,1,"Caprolactam degradation"
"path:sey01054",1,"Up",0.230641236075974,0.835257260923216,0.230641236075974,1,"Nonribosomal peptide structures"
"path:sey05132",33,"Up",0.234659260425415,0.835257260923216,0.270907000323745,1,"Salmonella infection"
"path:sey01240",152,"Down",0.251894642804755,0.835257260923216,0.72164422750084,1,"Biosynthesis of cofactors"
"path:sey00625",5,"Up",0.255423206954844,0.835257260923216,1,1,"Chloroalkane and chloroalkene degradation"
"path:sey00280",10,"Up",0.255737788143994,0.835257260923216,0.935314380626038,1,"Valine, leucine and isoleucine degradation"
"path:sey00190",43,"Up",0.257364121911415,0.835257260923216,0.419000740163858,1,"Oxidative phosphorylation"
"path:sey00270",35,"Down",0.257757103467406,0.835257260923216,0.285154046702835,1,"Cysteine and methionine metabolism"
"path:sey00220",17,"Up",0.264673238960618,0.835257260923216,0.42899942090804,1,"Arginine biosynthesis"
"path:sey00471",5,"Up",0.271458609800045,0.835257260923216,1,1,"D-Glutamine and D-glutamate metabolism"
"path:sey00400",23,"Up",0.285370346393142,0.850624889391813,0.000531584470401097,0.0127580272896263,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:sey01501",20,"Up",0.290630170542203,0.850624889391813,0.545618794075792,1,"beta-Lactam resistance"
"path:sey00550",26,"Up",0.303964082960674,0.865658545280281,0.0600133635005238,0.720160362006286,"Peptidoglycan biosynthesis"
"path:sey00790",24,"Down",0.310194312058767,0.865658545280281,0.605342661454129,1,"Folate biosynthesis"
"path:sey00071",13,"Up",0.345342464782003,0.883966622851718,0.713809517806698,1,"Fatty acid degradation"
"path:sey00770",25,"Down",0.365701545639877,0.883966622851718,0.327365160826119,1,"Pantothenate and CoA biosynthesis"
"path:sey03420",8,"Down",0.368053725834476,0.883966622851718,0.996654875078,1,"Nucleotide excision repair"
"path:sey00450",15,"Down",0.37749964071297,0.883966622851718,0.281099818103478,1,"Selenocompound metabolism"
"path:sey04122",17,"Down",0.379038735571424,0.883966622851718,0.979939359636505,1,"Sulfur relay system"
"path:sey00630",30,"Up",0.384661699922915,0.883966622851718,0.572419693955617,1,"Glyoxylate and dicarboxylate metabolism"
"path:sey03060",18,"Down",0.402610039947835,0.883966622851718,0.537316276342007,1,"Protein export"
"path:sey00130",21,"Down",0.40976992226965,0.883966622851718,0.809894653664257,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:sey00350",15,"Up",0.414474091196307,0.883966622851718,0.329886394147909,1,"Tyrosine metabolism"
"path:sey00380",8,"Up",0.414492922800642,0.883966622851718,0.94075770299616,1,"Tryptophan metabolism"
"path:sey00860",31,"Down",0.421988636211254,0.883966622851718,0.802567004703622,1,"Porphyrin and chlorophyll metabolism"
"path:sey00362",9,"Up",0.42285946437467,0.883966622851718,0.921081134736595,1,"Benzoate degradation"
"path:sey01210",29,"Up",0.427017522588348,0.883966622851718,0.491599819203519,1,"2-Oxocarboxylic acid metabolism"
"path:sey00430",3,"Down",0.437052811906183,0.883966622851718,1,1,"Taurine and hypotaurine metabolism"
"path:sey03020",4,"Down",0.438972858730964,0.883966622851718,0.958840723259328,1,"RNA polymerase"
"path:sey00750",9,"Down",0.440053805354777,0.883966622851718,0.948683998386684,1,"Vitamin B6 metabolism"
"path:sey00561",12,"Down",0.44350671932763,0.883966622851718,0.757903902349973,1,"Glycerolipid metabolism"
"path:sey00760",25,"Up",0.449349699949623,0.883966622851718,0.607886067058163,1,"Nicotinate and nicotinamide metabolism"
"path:sey00970",26,"Down",0.465565685141183,0.893263794818067,0.740379637747267,1,"Aminoacyl-tRNA biosynthesis"
"path:sey02010",166,"Up",0.468963492279485,0.893263794818067,0.601495914233291,1,"ABC transporters"
"path:sey00332",2,"Up",0.4875596446247,0.914174333671313,1,1,"Carbapenem biosynthesis"
"path:sey05100",10,"Up",0.506944559440194,0.935897648197282,0.80304252336007,1,"Bacterial invasion of epithelial cells"
"path:sey00740",12,"Up",0.524736803599222,0.944802307328307,0.0269794285710958,0.359725714281277,"Riboflavin metabolism"
"path:sey00230",68,"Down",0.53915303664831,0.944802307328307,0.593908852375805,1,"Purine metabolism"
"path:sey01100",860,"Up",0.546200140238673,0.944802307328307,0.262549385153044,1,"Metabolic pathways"
"path:sey00920",35,"Up",0.557917010948993,0.944802307328307,0.564134136937568,1,"Sulfur metabolism"
"path:sey00030",36,"Down",0.558928632467106,0.944802307328307,0.697861390531575,1,"Pentose phosphate pathway"
"path:sey00310",14,"Up",0.57448829992835,0.944802307328307,0.660247289006926,1,"Lysine degradation"
"path:sey00780",14,"Up",0.574706341151492,0.944802307328307,0.861625836462927,1,"Biotin metabolism"
"path:sey00592",3,"Up",0.612756693250793,0.944802307328307,1,1,"alpha-Linolenic acid metabolism"
"path:sey01120",253,"Up",0.622764565440137,0.944802307328307,0.444688718148128,1,"Microbial metabolism in diverse environments"
"path:sey00590",2,"Up",0.63367734378923,0.944802307328307,1,1,"Arachidonic acid metabolism"
"path:sey00364",1,"Down",0.647040241758157,0.944802307328307,0.647040241758157,1,"Fluorobenzoate degradation"
"path:sey00623",1,"Down",0.647040241758157,0.944802307328307,0.647040241758157,1,"Toluene degradation"
"path:sey00620",55,"Down",0.661011145887984,0.944802307328307,0.709120306346065,1,"Pyruvate metabolism"
"path:sey00040",29,"Up",0.663061423700123,0.944802307328307,0.241721930341101,1,"Pentose and glucuronate interconversions"
"path:sey00910",21,"Up",0.663100606830707,0.944802307328307,0.0111847848022591,0.167771772033887,"Nitrogen metabolism"
"path:sey00473",4,"Down",0.67498546636721,0.944802307328307,1,1,"D-Alanine metabolism"
"path:sey00650",31,"Up",0.675573773375044,0.944802307328307,0.904933235900756,1,"Butanoate metabolism"
"path:sey00281",5,"Up",0.681479141739024,0.944802307328307,1,1,"Geraniol degradation"
"path:sey00260",36,"Down",0.689746410477374,0.944802307328307,0.662851604610752,1,"Glycine, serine and threonine metabolism"
"path:sey00525",3,"Up",0.699474334928639,0.944802307328307,1,1,"Acarbose and validamycin biosynthesis"
"path:sey01040",3,"Down",0.704268784428156,0.944802307328307,1,1,"Biosynthesis of unsaturated fatty acids"
"path:sey02040",45,"Down",0.705393539072919,0.944802307328307,0.601897588928914,1,"Flagellar assembly"
"path:sey03018",16,"Down",0.705959332605422,0.944802307328307,0.902571446625873,1,"RNA degradation"
"path:sey03010",56,"Down",0.710765226984667,0.944802307328307,0.498461843352633,1,"Ribosome"
"path:sey00061",13,"Down",0.716555335958454,0.944802307328307,0.762862761604631,1,"Fatty acid biosynthesis"
"path:sey03070",34,"Down",0.717339844650604,0.944802307328307,0.471850977759039,1,"Bacterial secretion system"
"path:sey00240",43,"Down",0.731019462798723,0.944802307328307,0.580244928205535,1,"Pyrimidine metabolism"
"path:sey00330",23,"Up",0.73238600895661,0.944802307328307,0.679574445655892,1,"Arginine and proline metabolism"
"path:sey00562",10,"Down",0.740095140740507,0.944802307328307,0.769305845475256,1,"Inositol phosphate metabolism"
"path:sey01200",107,"Down",0.771211190251302,0.961038259185475,0.586263847310452,1,"Carbon metabolism"
"path:sey02024",60,"Down",0.779305322260986,0.961038259185475,0.535923822408784,1,"Quorum sensing"
"path:sey00541",26,"Up",0.782824159778854,0.961038259185475,0.567688724644926,1,"O-Antigen nucleotide sugar biosynthesis"
"path:sey00564",27,"Up",0.785895646294463,0.961038259185475,0.00518920826128669,0.0889578559077717,"Glycerophospholipid metabolism"
"path:sey00660",16,"Down",0.792856563828017,0.961038259185475,0.970796291168637,1,"C5-Branched dibasic acid metabolism"
"path:sey00523",5,"Up",0.801018244480585,0.961221893376702,1,1,"Polyketide sugar unit biosynthesis"
"path:sey01110",348,"Down",0.826243699315211,0.970645620410995,0.242039774815009,1,"Biosynthesis of secondary metabolites"
"path:sey00340",12,"Up",0.831644503803823,0.970645620410995,0.664618697849515,1,"Histidine metabolism"
"path:sey00460",8,"Down",0.83313749085277,0.970645620410995,0.803838915075497,1,"Cyanoamino acid metabolism"
"path:sey00600",2,"Down",0.844926583099764,0.974915288192036,1,1,"Sphingolipid metabolism"
"path:sey00300",13,"Down",0.861488722849358,0.981484453406956,0.943848057022038,1,"Lysine biosynthesis"
"path:sey00680",29,"Up",0.874011768927424,0.981484453406956,0.379233706491176,1,"Methane metabolism"
"path:sey02030",23,"Down",0.876613337106666,0.981484453406956,0.75837362872235,1,"Bacterial chemotaxis"
"path:sey00361",2,"Down",0.897424614097939,0.981484453406956,1,1,"Chlorocyclohexane and chlorobenzene degradation"
"path:sey01053",8,"Up",0.90185759753952,0.981484453406956,0.911640820816827,1,"Biosynthesis of siderophore group nonribosomal peptides"
"path:sey01212",20,"Up",0.918740498793521,0.981484453406956,0.571815717768748,1,"Fatty acid metabolism"
"path:sey00020",27,"Down",0.918803669792331,0.981484453406956,0.890910935960907,1,"Citrate cycle (TCA cycle)"
"path:sey00052",28,"Up",0.941860608480712,0.981484453406956,0.0851117040586285,0.795035883548609,"Galactose metabolism"
"path:sey00500",35,"Down",0.944035733394915,0.981484453406956,0.286863242487185,1,"Starch and sucrose metabolism"
"path:sey00565",1,"Up",0.950146133287085,0.981484453406956,0.950146133287085,1,"Ether lipid metabolism"
"path:sey00051",40,"Up",0.95482689330786,0.981484453406956,0.648964660238479,1,"Fructose and mannose metabolism"
"path:sey01230",127,"Down",0.95627120319106,0.981484453406956,0.202071795699087,1,"Biosynthesis of amino acids"
"path:sey00290",20,"Down",0.968684250049839,0.981484453406956,0.887487424920765,1,"Valine, leucine and isoleucine biosynthesis"
"path:sey00010",43,"Down",0.971789340625108,0.981484453406956,0.253929758329998,1,"Glycolysis / Gluconeogenesis"
"path:sey00730",14,"Up",0.973305416295231,0.981484453406956,0.696755598131704,1,"Thiamine metabolism"
"path:sey00410",9,"Down",0.985741523487049,0.985741523487049,0.977731955749211,1,"beta-Alanine metabolism"
