"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",176,"Up",8.69835618405753e-08,1.0438027420869e-05,1.13745426366829e-09,6.86259844290618e-09,"Two-component system"
"path:sey02060",39,"Up",3.76086363666115e-07,2.25651818199669e-05,1.66991409176985e-10,2.00389691012382e-09,"Phosphotransferase system (PTS)"
"path:sey00280",10,"Up",1.40086284267261e-06,5.60345137069045e-05,0.000163597740228799,0.000265293632803459,"Valine, leucine and isoleucine degradation"
"path:sey00910",21,"Up",2.6700416090036e-06,8.01012482701082e-05,8.17505674064035e-10,6.13129255548026e-09,"Nitrogen metabolism"
"path:sey00051",40,"Up",6.02731200051336e-06,0.000127728834895871,8.96153230830552e-10,6.30302758766709e-09,"Fructose and mannose metabolism"
"path:sey00053",15,"Up",6.38644174479354e-06,0.000127728834895871,7.79257969357551e-06,1.46110869254541e-05,"Ascorbate and aldarate metabolism"
"path:sey00633",8,"Up",1.0572407460885e-05,0.000181241270758028,0.00599488549718781,0.00817484385980155,"Nitrotoluene degradation"
"path:sey03440",29,"Down",1.30129431089039e-05,0.000195194146633558,2.54780127403707e-11,6.11472305768896e-10,"Homologous recombination"
"path:sey00362",9,"Up",1.87496993499076e-05,0.000246404203808882,0.00141726418411029,0.00207404514747847,"Benzoate degradation"
"path:sey00061",13,"Down",2.31737449190067e-05,0.000246404203808882,0.000217680456169965,0.00034370598342626,"Fatty acid biosynthesis"
"path:sey00650",31,"Up",2.38502050500982e-05,0.000246404203808882,5.86161793562307e-09,2.26901339443474e-08,"Butanoate metabolism"
"path:sey02010",166,"Up",2.46404203808882e-05,0.000246404203808882,1.82922459360869e-09,9.54378048839318e-09,"ABC transporters"
"path:sey03018",16,"Down",3.2817429908949e-05,0.00029617118322318,3.85452944344108e-06,7.70905888688216e-06,"RNA degradation"
"path:sey00052",28,"Up",3.46766651183624e-05,0.00029617118322318,5.89665659317129e-11,1.17933131863426e-09,"Galactose metabolism"
"path:sey03430",25,"Down",3.70213979028976e-05,0.00029617118322318,7.10014500244334e-11,1.21716771470457e-09,"Mismatch repair"
"path:sey00920",35,"Up",6.83759140984028e-05,0.000512819355738021,9.45454138150063e-10,6.30302758766709e-09,"Sulfur metabolism"
