"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",176,"Up",3.47885882390947e-07,4.17463058869137e-05,2.06252413097715e-08,1.45589938657211e-07,"Two-component system"
"path:sey02060",39,"Up",2.36975447582548e-06,0.000141733126278837,2.07398928294067e-09,4.14797856588134e-08,"Phosphotransferase system (PTS)"
"path:sey00280",10,"Up",3.54332815697092e-06,0.000141733126278837,0.000267179819625304,0.000478531020224426,"Valine, leucine and isoleucine degradation"
"path:sey00053",15,"Up",3.20799293925116e-05,0.000743378633863684,4.93815759896309e-05,9.55772438508986e-05,"Ascorbate and aldarate metabolism"
"path:sey01501",20,"Up",3.49000767001327e-05,0.000743378633863684,5.02008174446853e-07,1.45031848225787e-06,"beta-Lactam resistance"
"path:sey00910",21,"Up",3.97969523512878e-05,0.000743378633863684,1.30105293264541e-08,1.04084234611632e-07,"Nitrogen metabolism"
"path:sey00633",8,"Up",4.82596743644574e-05,0.000743378633863684,0.00514494244249523,0.00726344815411092,"Nitrotoluene degradation"
"path:sey00640",35,"Up",4.95585755909123e-05,0.000743378633863684,1.38961819517616e-08,1.04221364638212e-07,"Propanoate metabolism"
"path:sey00410",9,"Up",8.36375023400083e-05,0.00103974943738478,0.000616148131033231,0.00104137712287307,"beta-Alanine metabolism"
"path:sey00362",9,"Up",8.66457864487319e-05,0.00103974943738478,0.00277953342802344,0.00413229260821038,"Benzoate degradation"
"path:sey02010",166,"Up",0.000110133892244144,0.00120146064266339,2.50696514525788e-08,1.66101963428859e-07,"ABC transporters"
"path:sey00650",31,"Up",0.000134946078852835,0.00134946078852835,5.0872440937937e-08,2.54362204689685e-07,"Butanoate metabolism"
"path:sey00970",26,"Down",0.000172472053059722,0.00149719719670529,5.73333599729848e-06,1.29811381070909e-05,"Aminoacyl-tRNA biosynthesis"
"path:sey00750",9,"Down",0.000175267133220306,0.00149719719670529,0.00103663631353312,0.00165861810165299,"Vitamin B6 metabolism"
"path:sey03430",25,"Down",0.000187149649588161,0.00149719719670529,3.28866649191201e-09,5.63771398613487e-08,"Mismatch repair"
"path:sey00472",2,"Up",0.000272445415889351,0.00198820011437964,0.659139503026091,0.712583246514693,"D-Arginine and D-ornithine metabolism"
"path:sey01040",3,"Down",0.000296599288956023,0.00198820011437964,0.826088966509625,0.877262619302257,"Biosynthesis of unsaturated fatty acids"
"path:sey00903",2,"Up",0.000314798351443444,0.00198820011437964,0.567469744451811,0.630521938279791,"Limonene and pinene degradation"
"path:sey00930",2,"Up",0.000314798351443444,0.00198820011437964,0.567469744451811,0.630521938279791,"Caprolactam degradation"
"path:sey03060",18,"Down",0.000353988955463485,0.00207117157713079,8.94892823183959e-05,0.000170455775844564,"Protein export"
"path:sey00281",5,"Up",0.000378055018930967,0.00207117157713079,0.0907111996361276,0.118318956047123,"Geraniol degradation"
"path:sey01210",29,"Up",0.000389937213472883,0.00207117157713079,4.68342312907718e-08,2.51306171955142e-07,"2-Oxocarboxylic acid metabolism"
"path:sey00051",40,"Up",0.000396974552283401,0.00207117157713079,1.12689109646384e-08,9.98972691453828e-08,"Fructose and mannose metabolism"
"path:sey00920",35,"Up",0.000433284566456288,0.00216642283228144,4.81670162914022e-08,2.51306171955142e-07,"Sulfur metabolism"
"path:sey03440",29,"Down",0.000579296142133758,0.00265295293432132,6.5065547087731e-08,3.12314626021109e-07,"Homologous recombination"
"path:sey00071",13,"Up",0.0005917650840566,0.00265295293432132,3.27899737035862e-06,7.56691700851988e-06,"Fatty acid degradation"
"path:sey00600",2,"Up",0.000596914410222298,0.00265295293432132,0.650343682067034,0.709465834982219,"Sphingolipid metabolism"
"path:sey00310",14,"Up",0.000647370484631738,0.00277444493413602,0.000207797394919308,0.00038362595985103,"Lysine degradation"
"path:sey01220",10,"Up",0.000696978155618307,0.00288404754048954,0.00278929751054201,0.00413229260821038,"Degradation of aromatic compounds"
"path:sey00061",13,"Down",0.000845996497064582,0.00338398598825833,0.001510594954676,0.00235417395533922,"Fatty acid biosynthesis"
"path:sey00562",10,"Up",0.00097198048961665,0.00360941474707732,4.59645767627933e-05,9.04221182218885e-05,"Inositol phosphate metabolism"
"path:sey00626",4,"Up",0.00098757258175201,0.00360941474707732,0.232896292509088,0.282298536374652,"Naphthalene degradation"
"path:sey01120",253,"Up",0.000994177518114484,0.00360941474707732,1.96350845292996e-07,7.14003073792711e-07,"Microbial metabolism in diverse environments"
"path:sey00860",31,"Up",0.00102266751167191,0.00360941474707732,6.26152738888571e-09,6.83075715151169e-08,"Porphyrin and chlorophyll metabolism"
"path:sey00440",3,"Up",0.00126463598623665,0.00433589480995423,0.377162935821899,0.439413129112892,"Phosphonate and phosphinate metabolism"
"path:sey00230",68,"Down",0.00149791338488239,0.00499304461627463,3.24448300096711e-07,1.0814943336557e-06,"Purine metabolism"
"path:sey00625",5,"Up",0.00162600455744614,0.00527352829441991,0.146095388814377,0.186504751677928,"Chloroalkane and chloroalkene degradation"
"path:sey00785",3,"Down",0.00183715756594585,0.00571414949121329,0.759947811082849,0.814229797588767,"Lipoic acid metabolism"
"path:sey00790",24,"Down",0.00185709858464432,0.00571414949121329,0.000121620005412676,0.000228037510148768,"Folate biosynthesis"
"path:sey00040",29,"Up",0.00256093511301338,0.00739483398015455,5.16876057996034e-09,6.2025126959524e-08,"Pentose and glucuronate interconversions"
"path:sey00500",35,"Up",0.00257877909721787,0.00739483398015455,6.11674600409086e-07,1.70699888486257e-06,"Starch and sucrose metabolism"
"path:sey00290",20,"Up",0.00262788017106238,0.00739483398015455,3.71987454285619e-07,1.13739124395494e-06,"Valine, leucine and isoleucine biosynthesis"
"path:sey00052",28,"Up",0.00272015274674347,0.00739483398015455,3.68227396783206e-10,1.10949426188733e-08,"Galactose metabolism"
"path:sey00900",12,"Down",0.00274797280555925,0.00739483398015455,0.0015592926242715,0.00239891172964846,"Terpenoid backbone biosynthesis"
"path:sey03020",4,"Down",0.00277306274255796,0.00739483398015455,0.384660608131537,0.4396121235789,"RNA polymerase"
"PhoPQ",15,"Up",0.00308918051165587,0.00787510177333277,3.76419732559888e-09,5.64629598839832e-08,"PhoPQ"
"path:sey00521",10,"Down",0.00313308127623259,0.00787510177333277,0.00421141514326014,0.00608879297820743,"Streptomycin biosynthesis"
"path:sey00220",17,"Up",0.00315004070933311,0.00787510177333277,3.49249477991488e-07,1.12654882465388e-06,"Arginine biosynthesis"
"path:sey00350",15,"Up",0.00380433739897683,0.00931674465055551,8.2053985835081e-06,1.79026878185631e-05,"Tyrosine metabolism"
"path:sey01100",860,"Up",0.00442952142003207,0.0106157511240371,2.1849332981608e-07,7.49119987940846e-07,"Metabolic pathways"
"path:sey00770",25,"Up",0.00451169422771575,0.0106157511240371,3.56740461140396e-07,1.12654882465388e-06,"Pantothenate and CoA biosynthesis"
"path:sey00550",26,"Down",0.00486575290617791,0.0110639877141895,2.0595670420168e-09,4.14797856588134e-08,"Peptidoglycan biosynthesis"
"path:sey00332",2,"Down",0.00488659457376704,0.0110639877141895,1,1,"Carbapenem biosynthesis"
"path:sey00401",4,"Down",0.00551599970559331,0.0122577771235407,0.204040254923085,0.255050318653856,"Novobiocin biosynthesis"
"path:sey00360",7,"Down",0.00765902784854661,0.0167106062150108,0.113956550636479,0.147040710498683,"Phenylalanine metabolism"
"path:sey00627",4,"Up",0.00916720275053546,0.0196440058940046,0.381765288788617,0.4396121235789,"Aminobenzoate degradation"
"path:sey03018",16,"Down",0.00935402759588526,0.0196926896755479,0.000326817141886249,0.00057673613274044,"RNA degradation"
"path:sey00460",8,"Up",0.01097793859075,0.0224808056680403,0.00380156784231739,0.0055632700131474,"Cyanoamino acid metabolism"
"path:sey05132",33,"Up",0.0110530627867865,0.0224808056680403,1.66963208149422e-07,6.46309192836472e-07,"Salmonella infection"
"path:sey00680",29,"Down",0.0149242840648266,0.0298485681296532,8.83516855395637e-07,2.3560449477217e-06,"Methane metabolism"
"path:sey01240",152,"Down",0.0161220175376903,0.0317154443364399,1.14344292667073e-08,9.98972691453828e-08,"Biosynthesis of cofactors"
"path:sey03030",19,"Down",0.0178830688509994,0.034612391324515,1.09526052983422e-05,2.30581164175626e-05,"DNA replication"
"path:sey00592",3,"Up",0.0182465577921977,0.0347553481756147,0.58468040410102,0.643684848551581,"alpha-Linolenic acid metabolism"
"path:sey00780",14,"Down",0.0199922428816581,0.036943980348281,0.00527273438078254,0.00735730378713843,"Biotin metabolism"
"path:sey00660",16,"Up",0.0200113226886522,0.036943980348281,3.33332741343429e-05,6.77964897647652e-05,"C5-Branched dibasic acid metabolism"
