"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",176,"Up",1.01460742422505e-08,7.03029037116753e-07,9.0882982656572e-10,7.12356603743133e-09,"Two-component system"
"path:sey00640",35,"Up",1.17171506186125e-08,7.03029037116753e-07,8.46523059710759e-10,7.12356603743133e-09,"Propanoate metabolism"
"path:sey02010",166,"Up",7.80077290525358e-08,3.12030916210143e-06,1.12809181911052e-09,7.96300107607423e-09,"ABC transporters"
"path:sey02060",39,"Up",1.24713763957704e-07,3.74141291873112e-06,1.48014336019526e-10,2.01749888531041e-09,"Phosphotransferase system (PTS)"
"path:sey00280",10,"Up",2.6203244712653e-07,6.28877873103671e-06,0.000129036236425336,0.000206457978280538,"Valine, leucine and isoleucine degradation"
"path:sey00910",21,"Up",5.23901165055117e-07,1.04780233011023e-05,1.58269264625195e-09,1.05512843083463e-08,"Nitrogen metabolism"
"path:sey00051",40,"Up",1.77581970064545e-06,3.04426234396362e-05,7.21942811511989e-10,6.66408749087990e-09,"Fructose and mannose metabolism"
"path:sey00053",15,"Up",2.58959735577635e-06,3.88439603366453e-05,3.16763011200723e-06,6.23140349903062e-06,"Ascorbate and aldarate metabolism"
"path:sey01210",29,"Up",6.50331887856763e-06,7.80813867071698e-05,7.23607436495152e-09,3.33972662997762e-08,"2-Oxocarboxylic acid metabolism"
"path:sey01501",20,"Up",6.60046067855717e-06,7.80813867071698e-05,4.01428892435987e-09,2.0944116127095e-08,"beta-Lactam resistance"
"path:sey01120",253,"Up",7.80812268615413e-06,7.80813867071698e-05,1.63308772803059e-08,5.93606097052969e-08,"Microbial metabolism in diverse environments"
"path:sey00650",31,"Up",7.80813867071698e-06,7.80813867071698e-05,2.03564581423221e-09,1.28567104056771e-08,"Butanoate metabolism"
"path:sey00362",9,"Up",9.53531032584444e-06,8.80182491616409e-05,0.00122477726799436,0.00172909731952145,"Benzoate degradation"
"path:sey00920",35,"Up",1.24287068154358e-05,9.88517716136421e-05,9.49808804990844e-10,7.12356603743133e-09,"Sulfur metabolism"
"path:sey00633",8,"Up",1.24829974239757e-05,9.88517716136421e-05,0.00366581535254262,0.00499883911710357,"Nitrotoluene degradation"
"path:sey00310",14,"Up",1.35133640082075e-05,9.88517716136421e-05,2.0582220485349e-05,3.68636784812221e-05,"Lysine degradation"
"path:sey00440",3,"Up",1.40040009785993e-05,9.88517716136421e-05,0.232961734717409,0.274072629079305,"Phosphonate and phosphinate metabolism"
"path:sey00860",31,"Up",1.6833118334313e-05,0.00011222078889542,1.65657684632574e-10,2.01749888531041e-09,"Porphyrin and chlorophyll metabolism"
"path:sey00220",17,"Up",2.06003572307316e-05,0.000116386063615107,7.94965408293825e-08,2.1199077554502e-07,"Arginine biosynthesis"
"path:sey00785",3,"Down",2.09865876165831e-05,0.000116386063615107,0.270232426403158,0.312686343551038,"Lipoic acid metabolism"
"path:sey01100",860,"Up",2.10974759432821e-05,0.000116386063615107,1.66215235164934e-08,5.93606097052969e-08,"Metabolic pathways"
"path:sey00071",13,"Up",2.1337444996103e-05,0.000116386063615107,2.97057378180329e-06,6.01469767139694e-06,"Fatty acid degradation"
"path:sey01040",3,"Down",2.42973822688562e-05,0.000126768950967946,0.51933290891577,0.571742652017361,"Biosynthesis of unsaturated fatty acids"
"path:sey03018",16,"Down",2.73352910646645e-05,0.000133497178450018,7.44356266668401e-05,0.00012235993424686,"RNA degradation"
"path:sey00281",5,"Up",2.78119121770871e-05,0.000133497178450018,0.0521189542632444,0.0658344685430455,"Geraniol degradation"
"path:sey00410",9,"Up",3.2409521092724e-05,0.000149582405043342,0.000171552929349479,0.000270873046341283,"beta-Alanine metabolism"
"path:sey00592",3,"Up",3.70556024551501e-05,0.000164691566467334,0.340789743624103,0.382194104998994,"alpha-Linolenic acid metabolism"
"path:sey00052",28,"Up",4.66723477741061e-05,0.000200024347603312,1.319368260884e-11,4.35230954573019e-10,"Galactose metabolism"
"path:sey00500",35,"Up",5.73505768083009e-05,0.000237312731620555,1.41603301292325e-08,5.664132051693e-08,"Starch and sucrose metabolism"
"path:sey01220",10,"Up",7.99668245043122e-05,0.000319867298017249,0.000533953939826399,0.000791042873816887,"Degradation of aromatic compounds"
"path:sey00061",13,"Down",8.94111290446266e-05,0.000336202304614104,0.000305159183428318,0.000463532936853141,"Fatty acid biosynthesis"
"path:sey03060",18,"Down",8.96539478970944e-05,0.000336202304614104,2.19866209096308e-05,3.82376015819666e-05,"Protein export"
"path:sey00790",24,"Down",0.00012963498084334,0.000471399930339417,2.07877963200413e-07,5.03400199238832e-07,"Folate biosynthesis"
"path:sey03430",25,"Down",0.000141137706840674,0.000498133082967084,9.06529721628597e-11,1.55405095136331e-09,"Mismatch repair"
"path:sey00290",20,"Up",0.000198732208755774,0.000679780283911581,5.54590769453661e-07,1.27982485258537e-06,"Valine, leucine and isoleucine biosynthesis"
"path:sey03440",29,"Down",0.000207734865631323,0.000679780283911581,1.45076984857673e-11,4.35230954573019e-10,"Homologous recombination"
"path:sey00562",10,"Up",0.000209598920872737,0.000679780283911581,2.19315146751299e-05,3.82376015819666e-05,"Inositol phosphate metabolism"
"path:sey00900",12,"Down",0.000255809114665809,0.000807818256839396,0.000105743864685067,0.000171476537327135,"Terpenoid backbone biosynthesis"
"path:sey00970",26,"Down",0.000291830796695304,0.000897940912908628,5.38619683513272e-06,1.02594225431099e-05,"Aminoacyl-tRNA biosynthesis"
"path:sey00620",55,"Up",0.000303026429421425,0.000909079288264274,4.77631021940729e-08,1.3646600626878e-07,"Pyruvate metabolism"
"path:sey00450",15,"Up",0.000329124434337126,0.000963291027328173,1.09329506215065e-06,2.42954458255701e-06,"Selenocompound metabolism"
"path:sey00350",15,"Up",0.00038869582527236,0.00106681266290682,3.00734883569847e-06,6.01469767139694e-06,"Tyrosine metabolism"
"path:sey00903",2,"Up",0.000391164643065835,0.00106681266290682,0.5383305404139,0.581978962609621,"Limonene and pinene degradation"
"path:sey00930",2,"Up",0.000391164643065835,0.00106681266290682,0.5383305404139,0.581978962609621,"Caprolactam degradation"
"path:sey00627",4,"Up",0.000503066904448635,0.00130029371961313,0.182043933183056,0.222910938591497,"Aminobenzoate degradation"
"path:sey00630",30,"Up",0.000504357673736848,0.00130029371961313,1.46836561317796e-08,5.68399592197919e-08,"Glyoxylate and dicarboxylate metabolism"
"path:sey00521",10,"Down",0.000509281706848476,0.00130029371961313,0.00885380754263533,0.0119377180350139,"Streptomycin biosynthesis"
"path:sey00600",2,"Up",0.000616414947334128,0.00154103736833532,0.618154899494981,0.650689367889453,"Sphingolipid metabolism"
"path:sey00020",27,"Up",0.000652745344640297,0.00159856002769052,1.71020096062032e-08,5.93606097052969e-08,"Citrate cycle (TCA cycle)"
"path:sey00040",29,"Up",0.00088489384683788,0.00208628499043228,7.29606449635948e-11,1.55405095136331e-09,"Pentose and glucuronate interconversions"
"path:sey03030",19,"Down",0.000886671120933718,0.00208628499043228,9.19790979866089e-09,4.08795991051595e-08,"DNA replication"
"path:sey03020",4,"Down",0.00119356462081963,0.00275437989419914,0.307270891445647,0.351166733080739,"RNA polymerase"
"path:sey00626",4,"Up",0.00158595885074173,0.00359085022809448,0.16986270027558,0.210139423021336,"Naphthalene degradation"
"path:sey00330",23,"Up",0.00178534739656322,0.00385049570670981,4.19765066177292e-08,1.25929519853187e-07,"Arginine and proline metabolism"
"path:sey00400",23,"Up",0.00179440370639598,0.00385049570670981,6.46256405040874e-10,6.46256405040874e-09,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:sey00460",8,"Up",0.00179689799646458,0.00385049570670981,0.00184322327285921,0.00254237692808166,"Cyanoamino acid metabolism"
"path:sey03010",56,"Down",0.0020669032792799,0.00435137532479979,0.000318082757342253,0.000477124136013379,"Ribosome"
"path:sey00625",5,"Up",0.00213318081502271,0.00441347754832285,0.0951967372274249,0.118995921534281,"Chloroalkane and chloroalkene degradation"
"path:sey01110",348,"Up",0.00223147598884127,0.00453859523154157,5.92798261349388e-09,2.84543165447706e-08,"Biosynthesis of secondary metabolites"
"path:sey00472",2,"Up",0.00279956537129572,0.00559913074259144,1,1,"D-Arginine and D-ornithine metabolism"
"path:sey00750",9,"Down",0.00391202304326569,0.00769578303593251,0.00095391076227754,0.00137914809003982,"Vitamin B6 metabolism"
"path:sey04122",17,"Down",0.00456403762957455,0.00883362121853138,1.80245709268636e-06,3.8624080557565e-06,"Sulfur relay system"
"path:sey00380",8,"Up",0.00464369784222172,0.00884513874708899,0.0122610930946664,0.0161684744105492,"Tryptophan metabolism"
"path:sey01230",127,"Up",0.0132037878538998,0.0247571022260622,4.70134690918735e-09,2.35067345459367e-08,"Biosynthesis of amino acids"
"path:sey02024",60,"Up",0.0135952303219002,0.0250988867481234,9.56425649959399e-09,4.09896707125457e-08,"Quorum sensing"
"path:sey00361",2,"Up",0.013992672494463,0.0254412227172055,1,1,"Chlorocyclohexane and chlorobenzene degradation"
"path:sey00770",25,"Up",0.0151327596571122,0.0271034501321412,1.96769742826054e-08,6.4380281907216e-08,"Pantothenate and CoA biosynthesis"
"path:sey01212",20,"Down",0.0170355072069912,0.0300626597770433,2.49066422822651e-08,7.8652554575574e-08,"Fatty acid metabolism"
"path:sey00230",68,"Down",0.0173598545052446,0.0301910513134689,2.19432728927574e-09,1.31659637356544e-08,"Purine metabolism"
"path:sey00523",5,"Down",0.0198143467879617,0.0339674516365057,0.6718889961989,0.701101561251026,"Polyketide sugar unit biosynthesis"
"path:sey01502",8,"Up",0.0208873872957836,0.0353026264154089,0.0103747486837232,0.0138329982449643,"Vancomycin resistance"
"path:sey00300",13,"Up",0.0230060793780092,0.0379787345147653,2.92016281420206e-06,6.01469767139694e-06,"Lysine biosynthesis"
"path:sey00780",14,"Down",0.0231037301631489,0.0379787345147653,0.000295618834889877,0.000454798207522887,"Biotin metabolism"
"path:sey00660",16,"Up",0.0237437413655026,0.0385033643764907,1.1441379392114e-05,2.14525863602138e-05,"C5-Branched dibasic acid metabolism"
"path:sey00364",1,"Up",0.0345222275562902,0.0545087803520371,0.0345222275562902,0.0445448097500519,"Fluorobenzoate degradation"
"path:sey00623",1,"Up",0.0345222275562902,0.0545087803520371,0.0345222275562902,0.0445448097500519,"Toluene degradation"
"PhoPQ",15,"Up",0.0366219327192319,0.0569588377460157,1.26561342762758e-05,2.33651709715861e-05,"PhoPQ"
"path:sey01240",152,"Down",0.0370232445349102,0.0569588377460157,1.68124907109201e-10,2.01749888531041e-09,"Biosynthesis of cofactors"
"path:sey00261",8,"Up",0.0411114437486718,0.0624477626562103,0.00147646935264063,0.00206018979438227,"Monobactam biosynthesis"
"path:sey00260",36,"Up",0.0421772751221441,0.0632659126832161,2.44015119295965e-09,1.39437211026266e-08,"Glycine, serine and threonine metabolism"
"path:sey00332",2,"Down",0.0549054068245556,0.081341343443786,1,1,"Carbapenem biosynthesis"
"path:sey02030",23,"Up",0.0622576031301653,0.0908578371219555,1.2054994453503e-06,2.63018060803702e-06,"Bacterial chemotaxis"
"path:sey00525",3,"Down",0.0628433373426859,0.0908578371219555,1,1,"Acarbose and validamycin biosynthesis"
"path:sey05132",33,"Up",0.0765118819898305,0.109302688556901,6.66333818055732e-08,1.8595362364346e-07,"Salmonella infection"
"path:sey00010",43,"Up",0.0798602465426133,0.112743877471925,4.44780393838248e-08,1.30179627464853e-07,"Glycolysis / Gluconeogenesis"
"path:sey02040",45,"Down",0.101802510421327,0.142050014541386,0.0011545040382468,0.00164929148320972,"Flagellar assembly"
"path:sey00540",39,"Down",0.107829292879824,0.148730059144585,4.27799001188582e-06,8.27998066816611e-06,"Lipopolysaccharide biosynthesis"
"path:sey00760",25,"Up",0.12531936559162,0.170890043988573,8.25927926421008e-11,1.55405095136331e-09,"Nicotinate and nicotinamide metabolism"
"path:sey00401",4,"Down",0.152867773253232,0.206113851577392,0.203800974225597,0.244210961610564,"Novobiocin biosynthesis"
"path:sey00190",43,"Up",0.17318740706514,0.230123487819665,9.62792619465182e-08,2.45819392203876e-07,"Oxidative phosphorylation"
"path:sey03070",34,"Up",0.17451031159658,0.230123487819665,3.66485820480275e-08,1.12764867840085e-07,"Bacterial secretion system"
"path:sey01503",36,"Up",0.199804821320811,0.260614984331493,1.91925190703746e-06,4.04053033060519e-06,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey00740",12,"Down",0.202555675519337,0.261362161960434,2.26860048894253e-05,3.88902940961577e-05,"Riboflavin metabolism"
"path:sey00561",12,"Up",0.208602263812759,0.266300762314161,7.26739444299203e-05,0.000121123240716534,"Glycerolipid metabolism"
"path:sey00550",26,"Up",0.225845666420959,0.285278736531738,1.19688041877936e-08,4.95260862943184e-08,"Peptidoglycan biosynthesis"
"path:sey03410",14,"Up",0.249094798540753,0.311368498175941,6.47122257363189e-07,1.46518246950156e-06,"Base excision repair"
"path:sey00541",26,"Down",0.264578373755959,0.327313452069227,1.98505869213916e-08,6.4380281907216e-08,"O-Antigen nucleotide sugar biosynthesis"
"path:sey00471",5,"Up",0.27556032136267,0.337420801668576,0.205544226022225,0.244210961610564,"D-Glutamine and D-glutamate metabolism"
"path:sey01053",8,"Up",0.287325489151218,0.348273320183295,0.338567134686858,0.382194104998994,"Biosynthesis of siderophore group nonribosomal peptides"
"path:sey00360",7,"Down",0.30376893525334,0.364522722304008,0.0389828395454511,0.0497653270792993,"Phenylalanine metabolism"
"path:sey00240",43,"Down",0.324589971077999,0.385651450785742,5.13104935535018e-13,6.15725922642021e-11,"Pyrimidine metabolism"
"path:sey00430",3,"Down",0.338213699147835,0.397898469585689,0.270994831077567,0.312686343551038,"Taurine and hypotaurine metabolism"
"path:sey01200",107,"Up",0.347861448573284,0.405275474065962,8.96618685822019e-08,2.33900526736179e-07,"Carbon metabolism"
"path:sey00564",27,"Up",0.378081422000904,0.436247794616428,1.45416516329302e-07,3.63541290823256e-07,"Glycerophospholipid metabolism"
"path:sey05100",10,"Up",0.401714848055755,0.459102683492291,0.186585634587656,0.226164405560796,"Bacterial invasion of epithelial cells"
"path:sey00680",29,"Down",0.432386751976756,0.489494436200101,2.0975008301618e-07,5.03400199238832e-07,"Methane metabolism"
"path:sey00250",33,"Up",0.446548293438127,0.500801824416591,1.90937774703765e-10,2.08295754222289e-09,"Alanine, aspartate and glutamate metabolism"
"path:sey00520",48,"Up",0.511135038691488,0.562945027023313,3.94354484540204e-12,2.36612690724123e-10,"Amino sugar and nucleotide sugar metabolism"
"path:sey00590",2,"Up",0.511341732879509,0.562945027023313,1,1,"Arachidonic acid metabolism"
"path:sey01054",1,"Down",0.555357680416929,0.605452456066558,0.555357680416929,0.595026086160996,"Nonribosomal peptide structures"
"path:sey00473",4,"Down",0.560043521861566,0.605452456066558,0.392428980831326,0.436032200923695,"D-Alanine metabolism"
"path:sey00565",1,"Up",0.578864583778404,0.62021205404829,0.578864583778404,0.614723451800075,"Ether lipid metabolism"
"path:sey03420",8,"Up",0.609988655849897,0.647775563734403,0.000946539704734966,0.00137914809003982,"Nucleotide excision repair"
"path:sey00340",12,"Up",0.618659500146075,0.651220526469553,4.63698994672313e-05,7.83716610713768e-05,"Histidine metabolism"
"path:sey00030",36,"Down",0.629912986510997,0.657300507663649,1.73135111640449e-08,5.93606097052969e-08,"Pentose phosphate pathway"
"path:sey00130",21,"Down",0.686485919333253,0.710157847586124,3.86654246849432e-09,2.0944116127095e-08,"Ubiquinone and other terpenoid-quinone biosynthesis"
