"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",176,"Up",1.03479943051096e-08,7.64145906645728e-07,3.9620658785397e-10,3.36437580872427e-09,"Two-component system"
"path:sey00640",35,"Up",1.27357651107621e-08,7.64145906645728e-07,2.00119745972318e-10,2.1831245015162e-09,"Propanoate metabolism"
"path:sey02060",39,"Up",4.81542380635505e-08,1.92616952254202e-06,1.61578699444746e-10,1.9546305995067e-09,"Phosphotransferase system (PTS)"
"path:sey00910",21,"Up",8.11926613835372e-08,2.43577984150611e-06,6.50602000537012e-10,3.90361200322207e-09,"Nitrogen metabolism"
"path:sey02010",166,"Up",2.99856904612702e-07,7.00318482238396e-06,9.81851577631924e-10,5.18779777557525e-09,"ABC transporters"
"path:sey00051",40,"Up",3.50159241119198e-07,7.00318482238396e-06,5.05059370541627e-10,3.36437580872427e-09,"Fructose and mannose metabolism"
"path:sey00280",10,"Up",4.09976897521654e-07,7.0281753860855e-06,7.72673751654733e-05,0.000125298446214281,"Valine, leucine and isoleucine degradation"
"path:sey00790",24,"Down",1.59220338189153e-06,2.38830507283729e-05,7.00055233691192e-10,4.00031562109252e-09,"Folate biosynthesis"
"path:sey01120",253,"Up",1.9938797872227e-06,2.6585063829636e-05,1.19320521567977e-08,3.7680164705677e-08,"Microbial metabolism in diverse environments"
"path:sey01501",20,"Up",2.36422522849241e-06,2.83707027419089e-05,1.51049612411267e-09,7.25038139574081e-09,"beta-Lactam resistance"
"path:sey00410",9,"Up",2.86845244377499e-06,3.12922084775454e-05,4.36018948929103e-05,7.26698248215172e-05,"beta-Alanine metabolism"
"path:sey00053",15,"Up",3.34893891194528e-06,3.34893891194528e-05,7.02974506909127e-06,1.29779908967839e-05,"Ascorbate and aldarate metabolism"
"path:sey00650",31,"Up",4.04711577372336e-06,3.48273144907328e-05,1.03755955511505e-09,5.18779777557525e-09,"Butanoate metabolism"
"path:sey00633",8,"Up",4.27779242284265e-06,3.48273144907328e-05,0.00454329787003662,0.00605773049338216,"Nitrotoluene degradation"
"path:sey01220",10,"Up",4.65248009127743e-06,3.48273144907328e-05,0.00018637477997755,0.000286730430734693,"Degradation of aromatic compounds"
"path:sey00220",17,"Up",4.9421727919274e-06,3.48273144907328e-05,2.29979370197494e-08,5.81009830062401e-08,"Arginine biosynthesis"
