"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",15,"Up",7.95278034768093e-09,9.54333641721712e-07,1.62367554635969e-08,9.74205327815816e-07,"PhoPQ"
"path:sey01503",36,"Up",4.62948225189511e-05,0.00277768935113706,3.19348668762664e-12,3.83218402515196e-10,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey02020",176,"Up",0.00088352110534251,0.0353408442137004,1.41776459595719e-06,3.40263503029725e-05,"Two-component system"
"path:sey00550",26,"Up",0.0239333616738053,0.609080462894077,0.00320195465273137,0.0384234558327764,"Peptidoglycan biosynthesis"
"path:sey00480",24,"Up",0.0282129572423863,0.609080462894077,0.00525202105484343,0.0572947751437465,"Glutathione metabolism"
"path:sey00440",3,"Up",0.0304540231447038,0.609080462894077,0.737789861348392,1,"Phosphonate and phosphinate metabolism"
"path:sey00020",27,"Down",0.0424627348603632,0.706879281883994,0.525714343095442,1,"Citrate cycle (TCA cycle)"
"path:sey01040",3,"Down",0.0471252854589329,0.706879281883994,1,1,"Biosynthesis of unsaturated fatty acids"
"path:sey00520",48,"Up",0.0736746193054012,0.930530881202997,5.76722962725096e-08,2.30689185090038e-06,"Amino sugar and nucleotide sugar metabolism"
"path:sey00430",3,"Down",0.083329220232381,0.930530881202997,0.940321113666385,1,"Taurine and hypotaurine metabolism"
"path:sey00620",55,"Down",0.0852986641102747,0.930530881202997,0.397864749983342,1,"Pyruvate metabolism"
"path:sey05132",33,"Up",0.127864125898372,0.974199392551378,0.124952596004909,0.999620768039268,"Salmonella infection"
"path:sey00540",39,"Up",0.137644669193951,0.974199392551378,3.6187545941327e-07,1.08562637823981e-05,"Lipopolysaccharide biosynthesis"
"path:sey00740",12,"Up",0.141203918629192,0.974199392551378,0.000146516323308659,0.00293032646617318,"Riboflavin metabolism"
"path:sey00473",4,"Down",0.145309216566935,0.974199392551378,0.994809574916272,1,"D-Alanine metabolism"
"path:sey00564",27,"Up",0.147657653329105,0.974199392551378,0.000233584013141388,0.00400429736813808,"Glycerophospholipid metabolism"
"path:sey03430",25,"Down",0.162400312438693,0.974199392551378,0.895003335383814,1,"Mismatch repair"
"path:sey00860",31,"Down",0.163313998938672,0.974199392551378,0.620676554499226,1,"Porphyrin and chlorophyll metabolism"
"path:sey00627",4,"Up",0.165505143603163,0.974199392551378,1,1,"Aminobenzoate degradation"
"path:sey01502",8,"Up",0.185461008595208,0.974199392551378,0.0229783027912695,0.229783027912695,"Vancomycin resistance"
"path:sey01240",152,"Down",0.201317837078972,0.974199392551378,0.601136279763071,1,"Biosynthesis of cofactors"
"path:sey00300",13,"Down",0.226112305792814,0.974199392551378,0.792040240285071,1,"Lysine biosynthesis"
"path:sey00900",12,"Down",0.2276059640212,0.974199392551378,0.699735299359402,1,"Terpenoid backbone biosynthesis"
"path:sey01200",107,"Down",0.230550629867383,0.974199392551378,0.722947932647969,1,"Carbon metabolism"
"path:sey01501",20,"Up",0.232498929794276,0.974199392551378,0.620215269436436,1,"beta-Lactam resistance"
"path:sey00785",3,"Down",0.232649209015484,0.974199392551378,1,1,"Lipoic acid metabolism"
"path:sey00053",15,"Up",0.243572771823375,0.974199392551378,0.193881620561409,1,"Ascorbate and aldarate metabolism"
"path:sey02060",39,"Up",0.255871891320343,0.974199392551378,0.675967715724272,1,"Phosphotransferase system (PTS)"
"path:sey03440",29,"Down",0.281746990202504,0.974199392551378,0.773884700263034,1,"Homologous recombination"
"path:sey01053",8,"Up",0.281897082542985,0.974199392551378,0.523094198492422,1,"Biosynthesis of siderophore group nonribosomal peptides"
"path:sey00364",1,"Up",0.28550915525018,0.974199392551378,0.28550915525018,1,"Fluorobenzoate degradation"
"path:sey00623",1,"Up",0.28550915525018,0.974199392551378,0.28550915525018,1,"Toluene degradation"
"path:sey00472",2,"Up",0.29290960878737,0.974199392551378,1,1,"D-Arginine and D-ornithine metabolism"
"path:sey01220",10,"Up",0.299548907879303,0.974199392551378,0.988984663611563,1,"Degradation of aromatic compounds"
"path:sey00261",8,"Up",0.311217281664505,0.974199392551378,0.985246609510963,1,"Monobactam biosynthesis"
"path:sey01212",20,"Down",0.311659725778642,0.974199392551378,0.755606044085851,1,"Fatty acid metabolism"
"path:sey00626",4,"Up",0.331118139613478,0.974199392551378,1,1,"Naphthalene degradation"
"path:sey00270",35,"Down",0.342832606122144,0.974199392551378,0.673954649756052,1,"Cysteine and methionine metabolism"
"path:sey02040",45,"Down",0.381253103667137,0.974199392551378,0.410821826116705,1,"Flagellar assembly"
"path:sey00052",28,"Up",0.406630037581198,0.974199392551378,0.405317218233958,1,"Galactose metabolism"
"path:sey00680",29,"Down",0.409848885001541,0.974199392551378,0.334676254720445,1,"Methane metabolism"
"path:sey00030",36,"Down",0.417642516363406,0.974199392551378,0.92016556396079,1,"Pentose phosphate pathway"
"path:sey00040",29,"Up",0.424556888314466,0.974199392551378,0.0335317948658205,0.309524260299881,"Pentose and glucuronate interconversions"
"path:sey00330",23,"Up",0.429290191070012,0.974199392551378,0.701515462717044,1,"Arginine and proline metabolism"
"path:sey00790",24,"Down",0.438286489116353,0.974199392551378,0.398951186240493,1,"Folate biosynthesis"
"path:sey00401",4,"Down",0.448414101727866,0.974199392551378,1,1,"Novobiocin biosynthesis"
"path:sey00061",13,"Down",0.455209888439525,0.974199392551378,0.783204321520656,1,"Fatty acid biosynthesis"
"path:sey00400",23,"Up",0.456256258311986,0.974199392551378,0.000733665092424576,0.0110049763863686,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:sey02030",23,"Down",0.461978549362453,0.974199392551378,0.549087805039147,1,"Bacterial chemotaxis"
"path:sey02010",166,"Up",0.470772613751705,0.974199392551378,0.716930266007662,1,"ABC transporters"
"path:sey03030",19,"Down",0.477600665218567,0.974199392551378,0.966895213081177,1,"DNA replication"
"path:sey00590",2,"Down",0.477906069344835,0.974199392551378,1,1,"Arachidonic acid metabolism"
