"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",15,"Up",4.03527978942584e-12,4.84233574731101e-10,1.21419693537373e-10,1.21419693537373e-09,"PhoPQ"
"path:sey02020",176,"Up",2.95904274521574e-07,1.77542564712944e-05,2.29800689528284e-25,2.75760827433941e-23,"Two-component system"
"path:sey01503",36,"Up",6.57815935564589e-06,0.000263126374225836,5.10937054150842e-16,9.66285332856465e-15,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey00250",33,"Down",1.67792004539005e-05,0.000503376013617014,2.19444986995836e-09,2.02564603380772e-08,"Alanine, aspartate and glutamate metabolism"
"path:sey00440",3,"Up",7.46230251829019e-05,0.00179095260438965,0.126797344633939,0.217366876515324,"Phosphonate and phosphinate metabolism"
"path:sey03440",29,"Down",0.00029638544694369,0.0059277089388738,0.0119043879914268,0.0297609699785669,"Homologous recombination"
"path:sey03430",25,"Down",0.00042259112107272,0.00724441921838949,0.0577182251633599,0.108270898356155,"Mismatch repair"
"path:sey00261",8,"Up",0.00118517367510838,0.0177776051266257,0.00124750493431074,0.00440295859168496,"Monobactam biosynthesis"
"path:sey03030",19,"Down",0.00148102836375292,0.0197470448500389,0.0365982176959141,0.0770488793598191,"DNA replication"
"path:sey01240",152,"Down",0.00250752713647687,0.0295162734078159,3.33920312856552e-05,0.000190811607346601,"Biosynthesis of cofactors"
"path:sey00230",68,"Down",0.00270565839571646,0.0295162734078159,0.000144602961609673,0.000694094215726433,"Purine metabolism"
"path:sey02060",39,"Up",0.0029849024208824,0.029849024208824,0.00231770199446685,0.00713139075220571,"Phosphotransferase system (PTS)"
"path:sey00970",26,"Down",0.00506597031192031,0.0454046516076813,0.00501015055558493,0.0136640469697771,"Aminoacyl-tRNA biosynthesis"
"path:sey00240",43,"Down",0.00534969299096783,0.0454046516076813,0.0047922235217137,0.0133736470373406,"Pyrimidine metabolism"
"path:sey00900",12,"Down",0.00567558145096016,0.0454046516076813,0.0626001290764723,0.114738557553147,"Terpenoid backbone biosynthesis"
"path:sey03018",16,"Down",0.00783317857899503,0.0587488393424627,7.71856585553322e-05,0.000385928292776661,"RNA degradation"
