"","S1","S11","S21","genename"
"6S RNA",100853,70761,90592,"6S RNA"
"tmRNA",63157,49676,61716,"tmRNA"
"SL1344_1311",41339,29680,33729,"lpp"
"RnpB",31951,29469,34935,"RnpB"
"Spot42",39536,28910,26280,"Spot42"
"SL1344_4085",7393,7879,6853,"tufB"
"CsrB",7471,6663,6614,"CsrB"
"SL1344_4091",6341,6809,6577,"rplL"
"SL1344_3412",6214,6930,5669,"tufA"
"SL1344_1270",6117,5978,5523,"rpl20"
"SibC",5160,4474,7343,"SibC"
"SL1344_3387",5297,6160,5180,"prlA"
"SL1344_4267",4325,5132,4999,"groEL"
"StyR-44a",4970,4065,4007,"StyR-44a"
"SL1344_3316",4350,4808,3864,"rpsI"
"SL1344_3413",4250,4690,4020,"fusA"
"4.5S",4453,3765,4672,"4.5S"
"StyR-44c",4687,3828,3937,"StyR-44c"
"SL1344_1133",4287,4100,3882,"acpP"
"StyR-44d",4433,3670,3869,"StyR-44d"
"SL1344_1010",3660,4259,3658,"ompA"
"StyR-44e",4186,3511,3657,"StyR-44e"
"StyR-44f",4059,3326,3452,"StyR-44f"
"SL1344_0918",3627,3796,3332,"rpsA"
"SL1344_3382",3518,3852,3269,"pez"
"SL1344_P2_0053",3800,2934,3851,"pndC"
"StyR-44g",3926,3150,3326,"StyR-44g"
"StyR-44b",3904,3098,3398,"StyR-44b"
"SL1344_2620",3742,3412,3027,"clpB"
"GcvB",3446,3267,3133,"GcvB"
"SL1344_0596",2591,3314,3431,"ahpC"
"SL1344_0808",3257,2941,2820,"ompX"
"SL1344_3183",3002,2677,3227,"rpsU"
"SL1344_2646",2949,2981,2757,"rpl19"
"SL1344_1888",3334,2122,2535,"fliC"
"SL1344_4327",2610,2864,2505,"rplI"
"SL1344_0012",2776,2722,2465,"dnaK"
"SL1344_3694",2713,2553,2575,"rpmB"
"SL1344_4093",2412,2806,2484,"rpoC"
"SL1344_0445",2636,2369,2511,"hupB"
"OxyS",1744,2045,3610,"OxyS"
"SL1344_4090",2579,2458,2297,"rplJ"
"SL1344_3276",2550,2353,2362,"rplU"
"SL1344_1127",2406,2273,2312,"yceD"
"GlmZ",2720,1839,2346,"GlmZ"
"SL1344_3493",2340,2081,2305,"glpD"
"SL1344_3383",2067,2457,2067,"rpsD"
"SL1344_3693",2128,2265,2005,"rpmG"
"SL1344_3275",2269,2204,1866,"rpmA"
"SL1344_1128",1951,2100,2185,"rpl32"
"SL1344_4092",1829,2186,1946,"rpoB"
"SL1344_4089",1901,2148,1887,"rplA"
"SL1344_3264",1928,1958,2017,"secG"
"SL1344_3256",1925,1840,1968,"rpsO"
"SL1344_3381",1878,1908,1773,"rplQ"
"SL1344_0217",1819,1944,1739,"rpsB"
"SL1344_3806",1705,1895,1720,"rpmH"
"SL1344_0187",1860,1771,1521,"dksA"
"SL1344_3860",1594,1478,1825,"comM"
"SL1344_0218",1562,1696,1561,"tsf"
"SL1344_3397",1527,1689,1549,"rplN"
"SL1344_0044",1512,1554,1426,"rpsT"
"SL1344_3859",1529,1459,1464,"yifE"
"SL1344_3254",1600,1363,1454,"nlpI"
"SL1344_3398",1346,1739,1280,"rpsQ"
"SL1344_3395",1373,1656,1329,"rplE"
"SL1344_2647",1440,1404,1439,"trmD"
"SL1344_3414",1435,1420,1411,"rpsG"
"GlmY",1224,1431,1597,"GlmY"
"SL1344_3415",1487,1411,1311,"rpsL"
"SL1344_0122",1503,1186,1480,"ftsI"
"SL1344_3404",1331,1556,1282,"rplB"
"SibA",1487,1114,1433,"SibA"
"STnc1460",1475,1186,1331,"STnc1460"
"SL1344_3385",1277,1423,1286,"rpsM"
"SL1344_3317",1304,1270,1374,"rplM"
"SL1344_4295",1387,1264,1286,"hfq"
"SL1344_3407",1179,1466,1269,"rplC"
"SL1344_2045",1111,1471,1256,"yeeF"
"SL1344_3951A",1382,1142,1300,"yshB"
"SL1344_4116",1135,1223,1449,"yjaB"
"SL1344_3268",1252,1354,1139,"ftsH"
"SL1344_3393",1165,1422,1155,"rpsH"
"SL1344_4299",1248,1285,1193,"purA"
"SL1344_3384",1197,1368,1158,"rpsK"
