gene	WT MEP	&Delta;dam MEP	gap	WT IEP	&Delta;hilA IEP	&Delta;hilC IEP	&Delta;hilD IEP	&Delta;hilE IEP	gap	WT ESP	&Delta;hilD ESP	&Delta;barA-sirA ESP	&Delta;fliZ ESP	&Delta;fur ESP	&Delta;hfq ESP	gap	WT LSP	&Delta;rpoE LSP	&Delta;rpoS LSP	gap	WT InSPI2	&Delta;hilD InSPI2	&Delta;phoB-R InSPI2	&Delta;phoP-Q InSPI2	&Delta;ompR-envZ InSPI2	&Delta;slyA InSPI2	&Delta;ssrA InSPI2	&Delta;ssrB InSPI2	&Delta;ssrA-B InSPI2	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
pagP	163	173		88	121	74	90	162		75	35	66	47	54	2		9	8	7		515	402	548	19	219	127	265	201	243	pagP		CDS	691643	692215	+	antimicrobial peptide resistance and lipid A acylation protein	STM474_0649	SL1344_0616
ybjX	267	439		223	276	358	227	300		121	106	88	78	171	1		19	19	7		429	395	454	2	441	318	367	345	421	ybjX		CDS	974052	975020	-	hypothetical virK protein	STM474_0927	SL1344_0879
pipD	5	5		34	25	27	18	39		22	18	20	19	42	8		4	4	3		20	13	17	3	10	8	8	7	9	pipD		CDS	1136960	1138429	-	hypothetical secreted peptidase	STM474_1086	SL1344_1033
phoP	220	276		446	433	269	229	592		302	132	162	229	193	36		26	28	26		643	513	577	2	277	166	244	224	236	phoP		CDS	1275542	1276216	-	transcriptional regulatory protein PhoP, regulator of virulence determinants	STM474_1229	SL1344_1169
pagD	1	2		9	9	1	0	16		21	2	1	4	56	0		3	6	0		91	47	60	0	2	1	8	5	7	pagD		CDS	1288029	1288292	-	hypothetical outer membrane virulence protein (PagD)	STM474_1242	SL1344_1183
pagC	16	29		172	187	55	20	451		973	49	54	196	591	6		45	58	2		2,128	1,404	1,627	5	191	3	291	235	269	pagC		CDS	1289191	1289661	+	outer membrane invasion protein (PagC)	STM474_1244	SL1344_1184
ssrB	5	10		22	18	19	10	33		90	15	12	26	70	24		6	6	9		389	294	383	38	23	24	113	0	0	ssrB		CDS	1433019	1433657	-	two-component response regulator	STM474_1397	SL1344_1325
slyB	511	604		570	613	469	525	783		400	322	318	531	258	119		472	563	260		1,220	1,147	1,087	47	574	294	633	529	535	slyB		CDS	1477220	1477687	-	outer membrane lipoprotein SlyB precursor	STM474_1452	SL1344_1377
ompX	890	1,494		639	578	763	518	688		389	391	246	382	820	586		338	531	165		2,308	1,870	2,089	319	897	798	935	786	1,012	ompX		CDS	898795	899310	+	outer membrane protein x precursor	STM474_0858	SL1344_0808
rstA	167	191		188	253	185	207	237		115	147	128	98	181	47		27	27	31		389	308	386	71	304	284	288	287	269	rstA		CDS	1508142	1508873	-	hypothetical two-component response regulator	STM474_1482	SL1344_1405
pcgL	10	18		15	17	12	9	24		22	10	11	17	33	3		4	4	2		146	85	123	3	23	11	22	20	23	pdgL	pcgL	CDS	1646807	1647577	-	D-alanyl-D-alanine dipeptidase	STM474_1612	SL1344_1530
ugtL	8	18		87	74	28	22	193		290	50	40	96	500	17		95	102	75		1,301	758	1,272	33	57	9	76	60	69	ugtL		CDS	1648099	1648497	-	hypothetical membrane protein	STM474_1613	SL1344_1531
pagK	13	26		56	70	29	19	212		424	86	133	362	1,084	16		97	76	61		1,764	1,767	899	35	219	38	396	364	339	pagK		CDS	1920747	1920947	+	bacteriophage encoded pagK (phoPQ-activated protein)	STM474_1894	SL1344_1799
pmrD	328	394		690	661	529	463	917		368	233	271	236	373	55		28	32	21		751	648	773	36	308	292	362	350	279	pmrD		CDS	2409034	2409291	-	polymyxin B resistance protein	STM474_2400	SL1344_2273
pgtE	6	7		10	13	11	12	22		24	10	10	11	34	7		8	10	7		70	38	52	6	11	11	13	14	10	pgtE		CDS	2503771	2504709	-	outer membrane protease E	STM474_2494	SL1344_2363
virK	91	152		201	234	79	51	481		252	44	59	105	206	1		9	11	11		2,328	1,937	2,491	6	572	118	753	590	734	virK		CDS	2950949	2951878	+	virulence protein	STM474_2915	SL1344_2764
mig-14	177	164		253	289	162	98	487		265	70	61	135	202	1		6	7	15		1,342	1,260	1,363	8	603	65	643	560	635	mig-14		CDS	2952171	2953067	+	hypothetical transcriptional regulator	STM474_2916	SL1344_2765
mgtC	2	9		1	3	1	1	6		4	3	3	4	4	2		3	3	2		33	29	21	1	8	7	11	7	10	mgtC		CDS	3985803	3986498	-	Mg(2+) transport ATPase protein C	STM474_3938	SL1344_3729
mgtA	6	11		7	10	7	9	10		6	7	5	4	2	3		1	2	1		5	6	6	3	6	5	6	5	5	mgtA		CDS	4720272	4722980	+	Mg(2+) transport ATPase, P-type	STM474_4654	SL1344_4387
MgrR	5,174	7,290		3,733	3,161	3,230	3,382	4,432		7,923	7,919	8,176	7,577	6,945	35		5,695	6,412	8,842		11,891	14,002	13,510	239	11,233	13,589	12,195	14,263	13,901	MgrR	STnc560	sRNA	1550746	1550844	+			MgrR
phoQ	127	131		100	105	101	81	123		155	100	122	141	99	24		9	7	9		274	246	286	0	152	123	153	143	124	phoQ		CDS	1274079	1275542	-	sensor protein PhoQ, regulator of virulence determinants	STM474_1228	SL1344_1168
PinT	385	609		4,542	5,080	1,178	1,187	7,929		5,163	878	1,809	2,318	4,756	64		2,560	2,387	3,174		25,229	14,809	15,885	724	2,266	1,095	3,065	3,069	2,618	PinT		sRNA	4580486	4580566	+			PinT
