gene	WT MEP	&Delta;dam MEP	gap	WT IEP	&Delta;hilA IEP	&Delta;hilC IEP	&Delta;hilD IEP	&Delta;hilE IEP	gap	WT ESP	&Delta;hilD ESP	&Delta;barA-sirA ESP	&Delta;fliZ ESP	&Delta;fur ESP	&Delta;hfq ESP	gap	WT LSP	&Delta;rpoE LSP	&Delta;rpoS LSP	gap	WT InSPI2	&Delta;hilD InSPI2	&Delta;phoB-R InSPI2	&Delta;phoP-Q InSPI2	&Delta;ompR-envZ InSPI2	&Delta;slyA InSPI2	&Delta;ssrA InSPI2	&Delta;ssrB InSPI2	&Delta;ssrA-B InSPI2	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
orf48	2	2		7	5	7	7	4		4	4	6	5	3	11		1	1	1		3	3	3	2	3	3	3	2	3	orf48		CDS	1418592	1419935	-	hypothetical amino acid permease	STM474_1384	SL1344_1313
orf32	1	1		5	4	4	5	2		3	4	6	4	3	4		0	1	0		1	2	2	1	2	1	1	2	1	orf32		CDS	1419957	1420850	-	hypothetical hydrolase	STM474_1385	SL1344_1314
orf245	1	1		9	8	10	9	6		10	8	15	14	5	19		1	2	1		1	2	2	2	3	1	1	2	2	orf245		CDS	1420909	1421646	-	hypothetical protein	STM474_1386	SL1344_1315
SL1316	0	1		8	8	9	10	5		7	5	9	10	3	14		3	6	2		1	1	1	1	2	1	1	1	1	orf408		CDS	1421658	1422884	-	hypothetical ribokinase/regulatory protein	STM474_1387	SL1344_1316
ttrA	2	1		1	1	2	1	1		1	1	1	1	1	1		1	1	0		1	1	1	1	1	1	1	1	1	ttrA		CDS	1423207	1426269	-	tetrathionate reductase subunit A	STM474_1388	SL1344_1317
ttrC	1	1		0	1	0	1	1		1	1	1	1	0	2		0	0	0		1	1	1	0	0	0	1	1	0	ttrC		CDS	1426262	1427284	-	tetrathionate reductase subunit C (membrane protein)	STM474_1389	SL1344_1318
ttrB	0	0		0	0	0	1	0		1	1	1	1	0	1		0	1	0		1	1	0	0	1	1	1	1	0	ttrB		CDS	1427285	1428037	-	tetrathionate reductase subunit B	STM474_1390	SL1344_1319
ttrS	16	15		43	43	53	49	28		30	38	45	35	11	58		1	1	2		9	8	12	8	8	12	10	10	7	ttrS		CDS	1428201	1429979	+	hypothetical histidine kinase, two component regulatory protein	STM474_1391	SL1344_1320
ttrR	15	11		24	29	24	27	21		19	25	25	21	9	42		2	3	1		9	8	9	6	6	9	7	7	5	ttrR		CDS	1429936	1430574	+	hypothetical two-component response regulator	STM474_1392	SL1344_1321
SL1322	80	101		131	111	134	158	115		63	70	69	66	34	117		6	6	6		54	51	58	57	57	68	59	60	50	orf7		CDS	1430672	1430884	+	conserved hypothetical protein	STM474_1393	SL1344_1322
orf319	20	25		50	48	107	65	36		52	77	70	81	121	35		31	30	1		31	27	34	21	31	41	26	24	27	orf319		CDS	1430980	1431939	-	hypothetical pathogenicity island protein	STM474_1394	SL1344_1323
orf242	18	17		9	14	17	13	11		19	14	16	12	18	17		3	3	3		100	54	90	22	22	23	30	16	25	orf242		CDS	1432112	1432840	-	hypothetical transcriptional regulator	STM474_1396	SL1344_1324
