gene	WT MEP	&Delta;dam MEP	gap	WT IEP	&Delta;hilA IEP	&Delta;hilC IEP	&Delta;hilD IEP	&Delta;hilE IEP	gap	WT ESP	&Delta;hilD ESP	&Delta;barA-sirA ESP	&Delta;fliZ ESP	&Delta;fur ESP	&Delta;hfq ESP	gap	WT LSP	&Delta;rpoE LSP	&Delta;rpoS LSP	gap	WT InSPI2	&Delta;hilD InSPI2	&Delta;phoB-R InSPI2	&Delta;phoP-Q InSPI2	&Delta;ompR-envZ InSPI2	&Delta;slyA InSPI2	&Delta;ssrA InSPI2	&Delta;ssrB InSPI2	&Delta;ssrA-B InSPI2	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
SL1344_2742	0	0		0	0	0	0	0		0	1	0	0	0	0		0	0	0		1	1	0	0	0	1	1	1	0	STM2758		CDS	2918445	2919986	-	PTS system, glucose-specific IIbc component	STM474_2893	SL1344_2742
SL1344_0066A	2	2		2	3	0	1	3		1	0	1	1	0	1		0	0	0		3	2	3	1	2	2	2	2	4	STM0065		CDS	75091	75438	+	hypothetical viral protein (pseudogene)		SL1344_0066A
SL1344_1133	7,645	8,173		10,900	14,751	9,828	13,174	15,652		3,390	4,452	4,127	4,544	1,602	6,383		471	446	565		5,306	6,429	4,496	7,404	7,973	4,912	7,915	6,992	7,372	acpP		CDS	1236255	1236491	+	acyl carrier protein	STM474_1193	SL1344_1133
SL1344_3018	56	49		47	49	59	55	41		26	32	30	27	16	36		1	2	1		37	32	35	28	39	36	34	28	26	recJ		CDS	3222669	3224402	-	single-stranded DNA-specific exonuclease	STM474_3189	SL1344_3018
SL1344_1339	6	8		14	12	8	12	13		8	10	7	6	10	6		2	2	4		129	74	120	8	5	7	5	7	5	sseG		CDS	1445606	1446295	+	Type III secretion system effector protein-modulates the positioning of the SCV	STM474_1411	SL1344_1339
SL1344_4495	27	22		13	15	18	14	14		17	17	24	22	19	14		5	6	1		17	15	14	6	7	8	8	8	8	deoA		CDS	4842915	4844237	+	thymidine phosphorylase	STM474_4773	SL1344_4495
SL1344_1472	4	2		16	16	18	17	9		6	3	7	5	2	6		2	4	3		12	10	10	2	3	2	4	3	3	STM1543		CDS	1575173	1576459	-	membrane transport protein	STM474_1554	SL1344_1472
SL1344_2692	0	0		0	0	0	0	0		0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	STM2721		CDS	2873445	2874278	-	hypothetical capsid protein	STM474_2844	SL1344_2692
SL1344_2624	207	141		5,360	2,980	4,029	1,457	3,323		2,051	2,285	2,184	1,858	922	5,133		347	523	445		193	188	224	164	180	345	212	184	172	yfiA		CDS	2808081	2808419	+	hypothetical sigma(54) modulation protein	STM474_2778	SL1344_2624
SL1344_2223C	1	1		0	1	2	2	1		5	0	2	1	0	4		0	0	0		1	0	0	1	0	0	1	0	1	ccmE2	ccmE	CDS	2348631	2349110	-	protoheme transport protein		SL1344_2223C
SL1344_2759	3	2		1	2	2	2	1		1	1	1	1	91	1		1	1	0		1	2	1	1	1	1	1	1	1	iroC		CDS	2940149	2943802	+	hypothetical ABC transporter protein	STM474_2909	SL1344_2759
SL1344_0745	0	0		0	0	0	0	0		0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	dcoB	oadB2	CDS	831173	832474	+	oxaloacetate decarboxylase beta chain (ec 4.1.1.3)		SL1344_0745
SL1344_4361	2	3		6	6	7	6	5		3	3	4	3	2	16		1	2	1		3	2	2	3	2	2	2	2	2	iolC		CDS	4692998	4694935	-	Myo-inositol metabolism	STM474_4626	SL1344_4361
AmgR	3	3		1	1	1	1	1		4	4	3	4	6	3		4	4	2		5	6	6	2	3	3	5	4	4	AmgR		sRNA	3985660	3986859	+			AmgR
SL1344_3727	49	52		127	117	117	88	140		100	74	74	69	57	82		22	32	17		76	70	72	81	66	77	79	72	57	cigR		CDS	3982063	3982542	-	hypothetical inner membrane protein	STM474_3936	SL1344_3727
SL1344_4387	6	11		7	10	7	9	10		6	7	5	4	2	3		1	2	1		5	6	6	3	6	5	6	5	5	mgtA		CDS	4720272	4722980	+	Mg(2+) transport ATPase, P-type	STM474_4654	SL1344_4387
