gene	EEP	MEP	LEP	ESP	LSP	gap	25&deg;C	gap	Cold shock (15&deg;C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	Low Fe2+ shock	Anaerobic shock	gap	Anaerobic growth	Oxygen shock	gap	NonSPI2	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	gap	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
yaiB	97	138	361	534	81		231		113	92	229	492	523	318	491		345	358		218	695	1,047	232	347		yaiB		CDS	436585	436851	+	conserved hypothetical protein	STM474_0398	SL1344_0378
apbA	30	35	29	27	13		27		29	27	24	50	50	38	38		36	44		28	23	52	40	32		apbA		CDS	486266	487177	-	2-dehydropantoate 2-reductase	STM474_0454	SL1344_0428
pagP	274	163	110	60	13		97		122	139	348	594	227	101	75		81	79		180	475	500	265	210		pagP		CDS	691643	692215	+	antimicrobial peptide resistance and lipid A acylation protein	STM474_0649	SL1344_0616
ybiJ	30	32	6	8	13		9		55	19	61	59	25	44	7		12	56		3	10	55	46	32		ybiJ		CDS	889717	889977	-	hypothetical exported protein	STM474_0849	SL1344_0799
bssS	168	231	176	209	101		225		446	159	235	3,227	185	331	1,115		587	264		166	162	287	540	993		bssS	yceP	CDS	1203793	1204050	-	conserved hypothetical protein	STM474_1157	SL1344_1098
pagC	12	16	143	1,168	53		12		18	22	16	116	10	13	5		63	209		165	1,998	1,600	383	88		pagC		CDS	1289191	1289661	+	outer membrane invasion protein (PagC)	STM474_1244	SL1344_1184
SL1344_1186	10	5	13	15	5		9		27	7	5	25	2	4	15		19	21		9	10	45	5	19		STM1250		CDS	1291945	1292217	+	hypothetical protein	STM474_1250	SL1344_1186
SL1344_1197	23	14	54	47	42		13		12	12	18	226	41	38	21		16	76		18	36	67	9	25		STM1261		CDS	1302170	1302496	+	conserved hypothetical protein	STM474_1261	SL1344_1197
sseG	8	6	6	8	2		6		6	5	5	9	6	7	19		9	7		6	119	104	11	29		sseG		CDS	1445606	1446295	+	Type III secretion system effector protein-modulates the positioning of the SCV	STM474_1411	SL1344_1339
ydgE	23	16	22	16	0		5		22	13	22	103	26	19	23		18	52		13	2	1	1	2		ydgE		CDS	1517453	1517782	+	hypothetical membrane protein	STM474_1491	SL1344_1413
steA	85	109	153	222	38		70		107	109	297	204	205	142	211		323	143		33	112	649	601	91		steA		CDS	1626357	1626989	-	Type III secretion system effector protein	STM474_1596	SL1344_1514
steB	6	4	36	132	12		4		11	3	11	19	3	3	2		29	41		17	31	31	6	19		steB		CDS	1676474	1676875	+	Type III secretion system effector protein		SL1344_1559
SL1344_1602	44	46	81	143	72		24		39	29	104	289	75	61	20		46	82		304	471	625	222	267		STM1672		CDS	1722495	1723607	+	hypothetical protein	STM474_1685	SL1344_1602
narK	1	1	4	49	8		1		1	3	2	2	2	3	701		10	4		4	1	9	4	16		narK		CDS	1819397	1820794	-	nitrite extrusion protein (nitrite facilitator)	STM474_1782	SL1344_1693
SL1344_1786	28	24	30	19	4		21		33	19	31	18	24	20	21		33	33		30	51	51	21	26		SL1786		CDS	1911711	1912187	+	hypothetical protein	STM474_1881	SL1344_1786
pagO	5	4	9	14	12		4		8	8	10	30	8	6	2		4	12		16	129	146	14	15		pagO		CDS	1917075	1917989	+	inner membrane protein (PagO)	STM474_1888	SL1344_1793
pagK	14	13	79	367	65		13		7	11	85	83	53	17	24		75	78		84	2,000	3,526	427	244		pagK		CDS	1920747	1920947	+	bacteriophage encoded pagK (phoPQ-activated protein)	STM474_1894	SL1344_1799
SL1344_1872	172	114	129	148	19		76		128	135	193	192	116	128	69		113	190		103	139	126	55	83		STM1939		CDS	1990157	1990462	-	Conserved hypothetical protein	STM474_1971	SL1344_1872
pmrD	292	328	440	379	36		309		296	315	687	1,079	659	358	331		362	381		530	709	842	486	201		pmrD		CDS	2409034	2409291	-	polymyxin B resistance protein	STM474_2400	SL1344_2273
virK	104	91	233	238	11		61		88	80	964	454	206	89	33		77	343		342	2,337	1,691	290	220		virK		CDS	2950949	2951878	+	virulence protein	STM474_2915	SL1344_2764
mig-14	123	177	274	255	7		76		124	120	557	418	228	160	28		77	332		457	1,361	552	132	152		mig-14		CDS	2952171	2953067	+	hypothetical transcriptional regulator	STM474_2916	SL1344_2765
tdcC	9	5	12	6	2		3		8	6	12	8	6	5	1,176		292	19		14	2	4	4	5		tdcC		CDS	3430739	3432070	-	threonine/serine transporter	STM474_3397	SL1344_3215
mgtB	6	5	5	3	1		7		4	3	17	19	6	6	6		4	5		5	10	765	3	4		mgtB		CDS	3982857	3985583	-	Magnesium transport ATPase, P-type 2	STM474_3937	SL1344_3728
hslS	87	206	36	42	6		40		270	53	136	1,450	143	832	52		28	189		105	67	49	60	403		hslS	ibpB	CDS	4030692	4031126	-	heat shock protein B	STM474_3984	SL1344_3775
cpxP	135	216	320	502	1,309		162		2,024	209	35	1,148	123	112	65		172	398		214	4	12	8	9		cpxP		CDS	4292034	4292534	+	extracytoplasmic stress protein for protein-mediated toxicities	STM474_4242	SL1344_4009
SL1344_4014	4	5	10	6	1		2		10	9	5	3	16	3	3		1	2		5	7	5	1	3		STM4065		CDS	4297043	4298377	+	hypothetical sugar transport protein	STM474_4247	SL1344_4014
SL1344_4015	4	8	10	5	0		3		8	4	2	4	12	5	2		2	2		5	4	3	1	1		STM4066		CDS	4298388	4299347	+	hypothetical carbohydrate kinase	STM474_4248	SL1344_4015
mgtA	22	6	13	7	1		8		10	7	33	20	10	7	9		5	12		11	5	44	2	4		mgtA		CDS	4720272	4722980	+	Mg(2+) transport ATPase, P-type	STM474_4654	SL1344_4387
AmgR	1	3	3	4	6		2		2	2	5	18	2	3	3		3	4		3	5	15	5	9		AmgR		sRNA	3985660	3986859	+			SL1344_AmgR
RyhB-1	207	125	36	38	3,683		64		316	404	114	52	1,127	20,623	57		26	29		104	30	28	17,163	897		SraI, IS176, RfrA		sRNA	3736723	3736818	-			SL1344_RyhB-1
RyhB-2	161	109	22	37	7,840		103		230	248	103	115	776	3,330	41		24	46		217	18	10	3,260	319		isrE, RfrB		sRNA	1309727	1309937	-			SL1344_RyhB-2
STnc740	76	58	79	119	164		78		86	119	71	293	100	95	94		69	72		181	120	144	181	255		STnc740		sRNA	2240283	2240366	-			SL1344_STnc740
dnaK	323	785	104	107	9		138		1,204	64	307	1,102	626	1,213	159		86	374		266	283	157	155	275		dnaK		CDS	11593	13509	+	Chaperone protein dnaK	STM474_0013	SL1344_0012
SL1344_0082	10	10	15	24	16		14		15	23	24	32	29	20	16		17	28		31	92	166	44	23		STM0081		CDS	94134	94550	+	probable secreted protein	STM474_0086	SL1344_0082
pagN	20	17	51	97	58		26		38	31	45	87	42	27	52		25	36		64	332	389	60	50		pagN		CDS	349371	350090	-	possible outer membrane adhesin	STM474_0321	SL1344_0302
htpG	256	771	76	61	2		77		736	62	234	1,059	820	1,207	110		43	239		176	144	61	28	70		htpG		CDS	543414	545288	+	heat shock protein HtpG	STM474_0507	SL1344_0480
ramA	22	15	14	16	5		11		10	18	11	324	41	32	21		16	30		6	6	15	9	8		ramA		CDS	638504	638845	+	transcriptional activator RamA	STM474_0601	SL1344_0569
kdpD	8	8	9	7	1		3		8	6	7	8	11	10	10		10	10		11	28	45	11	11		kdpD		CDS	766424	769108	-	sensor protein KdpD	STM474_0725	SL1344_0685
kdpC	5	7	6	4	1		2		4	3	7	4	6	7	7		8	6		6	24	47	12	9		kdpC		CDS	769105	769689	-	potassium-transporting ATPase C chain	STM474_0726	SL1344_0686
kdpB	1	0	1	1	0		1		1	1	1	3	1	1	2		1	1		1	30	46	10	4		kdpB		CDS	769698	771746	-	potassium-transporting ATPase B chain	STM474_0727	SL1344_0687
kdpA	0	1	1	0	0		0		1	0	0	4	1	0	0		0	1		0	47	58	10	5		kdpA		CDS	771767	773446	-	potassium-transporting ATPase A chain	STM474_0728	SL1344_0688
kdpF	0	0	4	2	4		0		5	0	0	30	4	1	0		1	1		2	163	445	15	21		kdpF		CDS	773446	773535	-	conserved sORF		SL1344_0688A
ydiR	7	6	8	4	1		5		7	3	11	10	5	4	2		2	12		21	34	14	1	3		ydiR		CDS	1390406	1391341	-	hypothetical electron transfer flavoprotein subunit	STM474_1358	SL1344_1287
sufA	38	31	6	8	75		10		20	16	17	27	111	324	3		5	19		39	11	21	1,233	15		sufA		CDS	1409167	1409535	+	conserved hypothetical protein	STM474_1373	SL1344_1303
ynhA	25	16	5	7	7		7		8	2	7	14	41	132	6		7	15		25	11	16	16	20		ynhA		CDS	1414270	1414686	+	conserved hypothetical protein	STM474_1378	SL1344_1308
SL1344_1795	3	2	6	8	2		1		3	3	7	11	3	1	1		1	6		12	101	65	2	5		STM1864		CDS	1918290	1918904	+	hypothetical membrane protein	STM474_1890	SL1344_1795
pipB2	13	9	35	82	7		10		14	9	28	104	15	12	12		10	38		38	2,067	1,958	562	313		pipB2		CDS	2949378	2950430	-	Type III secretion system effector protein, Contributes to Sif formation	STM474_2914	SL1344_2763
ygaM	4	20	110	179	169		22		11	12	7	368	84	45	74		93	262		63	158	361	24	105		ygaM		CDS	2971885	2972223	+	conserved hypothetical protein	STM474_2939	SL1344_2786
SL1344_2789	0	1	1	2	0		1		0	3	0	2	2	3	1		1	0		1	0	1	1	3		SL2789		CDS	2974158	2974334	+	hypothetical protein	STM474_2942	SL1344_2789
